# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	29.934139119837926	0.0	33.27918323796652	0.0	39.524263966740264	0.0	109.01478453973135	0.0	43.97864767583993	0.0	52.44507522868716	0.0	29.51537941377284	0.0	43.74263825667275	0.0	26.92459012687515	0.0	50.851408540757895	0.0	87.64445138430057	0.0	33.81958246851638	0.0	59.1000869594899	0.0	116.38869872914744	0.0	50.13911656919337	0.0	50.706259111516275	0.0	38.586156463075916	0.0	31.798238674335575	0.0	33.73448322028445	0.0	31.189071145655266	0.0	80.15345289966363	0.0	37.95717601533063	0.0	46.8434423324751	0.0	60.11145180496771	0.0	35.82453783190779	0.0	90.98553903342543	0.0	57.518353417595904	0.0	64.47331618899571	0.0	58.584079963481535	0.0	80.62017108126686	0.0	39.403828016016185	0.0	50.23587419531352	0.0	104.21173719059249	0.0	42.697296044178955	0.0	46.85905820721545	0.0	60.27150401158984	0.0	39.47553890602664	0.0	41.64508294852235	0.0	39.490964023951584	0.0	49.01630601826417	0.0	77.71891942080042	0.0	93.67666898951693	0.0	46.864013107209175	0.0	48.813331562466146	0.0	51.787253622842165	0.0	45.19668260889006	0.0	70.7817918584891	0.0	34.838766134141714	0.0	38.51200435702382	0.0	41.383831957446944	0.0
974	0.8779314642893178	0.0	0.8733743754476138	0.0	0.8793494413832174	0.0	0.8660009386757662	0.0	0.8754094689979676	0.0	0.8849266413339363	0.0	0.867457750828545	0.0	0.8652127318278975	0.0	0.8776970012656684	0.0	0.8790194953577987	0.0	0.876884387641165	0.0	0.8679815533515336	0.0	0.8715325258172881	0.0	0.8757994955690036	0.0	0.8772502549038051	0.0	0.8754719615444873	0.0	0.8684084925098917	0.0	0.8834019652259061	0.0	0.8680567835912486	0.0	0.866747673769774	0.0	0.8706342719236192	0.0	0.8854969557448731	0.0	0.8764091143230397	0.0	0.8686928024473803	0.0	0.8758124176623062	0.0	0.8782712063764186	0.0	0.8694903634730833	0.0	0.8722788537284182	0.0	0.8684266980463378	0.0	0.8866104877699887	0.0	0.8933225463653505	0.0	0.8681545832063895	0.0	0.8814287002362159	0.0	0.8773264685318466	0.0	0.8807368759399175	0.0	0.871599348702384	0.0	0.8853371078857138	0.0	0.8791494381349452	0.0	0.8651549393261102	0.0	0.8761325593816819	0.0	0.8782202989898954	0.0	0.8709930574088592	0.0	0.8770219744480995	0.0	0.874994440285719	0.0	0.8863946476218548	0.0	0.8716121686650986	0.0	0.8705715036124265	0.0	0.8799413671547187	0.0	0.87607502709844	0.0	0.8693888947893126	0.0
1257	0.49675974631853737	0.0	0.4993005217997	0.0	0.4917970432314823	0.0	0.49454763676349195	0.0	0.4963748262865808	0.0	0.4981479428398599	0.0	0.4977525389383401	0.0	0.4984721791665329	0.0	0.498520401666571	0.0	0.49636400952349313	0.0	0.49887588533702054	0.0	0.4980077082142468	0.0	0.4993310727367839	0.0	0.49852969881349124	0.0	0.4992538716254549	0.0	0.49784294980266136	0.0	0.49731431641421303	0.0	0.49887959805523663	0.0	0.4975399167401729	0.0	0.49491423966626813	0.0	0.4966087659457582	0.0	0.4963190462403263	0.0	0.4956187251800205	0.0	0.5008853287168237	0.0	0.5007168234929176	0.0	0.4932662926095142	0.0	0.4999626495116125	0.0	0.49508175378059976	0.0	0.5005663206938794	0.0	0.49817501028495015	0.0	0.49524464289508374	0.0	0.4994173182439026	0.0	0.495981018775191	0.0	0.49538512982334276	0.0	0.5001726575804076	0.0	0.4960480647373912	0.0	0.49364644134330365	0.0	0.5010492826588312	0.0	0.49808266475780816	0.0	0.49606891705009365	0.0	0.49513098859726945	0.0	0.4954661417554221	0.0	0.4994533931783071	0.0	0.49659623928459845	0.0	0.500892161811809	0.0	0.4980807239886858	0.0	0.4980539808215034	0.0	0.4969819790481581	0.0	0.4965268639384374	0.0	0.49462231803422885	0.0
1622	0.3737174322289038	0.0	0.3738113573191403	0.0	0.37568565204420445	0.0	0.37231318247848244	0.0	0.3724444830812067	0.0	0.37194542816441556	0.0	0.3728058140550171	0.0	0.37110832048433207	0.0	0.372793217943616	0.0	0.37212043379836723	0.0	0.37179329531555927	0.0	0.3733300556684662	0.0	0.37089117269091076	0.0	0.3727245109782228	0.0	0.3724921807373647	0.0	0.37317452553004427	0.0	0.3738484046188366	0.0	0.37236327522110485	0.0	0.3722543480010742	0.0	0.3712316821778245	0.0	0.37192204411458	0.0	0.3734918477082023	0.0	0.37378522275096837	0.0	0.37249106313959596	0.0	0.3728500975574599	0.0	0.37361003583814467	0.0	0.3757754621802837	0.0	0.3722601650746529	0.0	0.37316632748742823	0.0	0.37322678260729847	0.0	0.37033440994393385	0.0	0.37348246151233033	0.0	0.37440726117731415	0.0	0.3732444931522544	0.0	0.3707622327794919	0.0	0.3738895325860769	0.0	0.37252185279839356	0.0	0.37429490514427044	0.0	0.3715205355222134	0.0	0.3715800099882178	0.0	0.3739835403839241	0.0	0.372804042396534	0.0	0.37162682768002225	0.0	0.37093459661630884	0.0	0.3722956113186703	0.0	0.3718169467446102	0.0	0.37147153273592587	0.0	0.3727332608505326	0.0	0.37244679583613227	0.0	0.3728855972045	0.0
2094	0.3123521098709907	0.0	0.31191655444127536	0.0	0.31170785324690226	0.0	0.31105379220012275	0.0	0.312268321430952	0.0	0.3125862171469502	0.0	0.31199092407607976	0.0	0.31269486532895213	0.0	0.31132980211470396	0.0	0.3125958125348626	0.0	0.3123889292043172	0.0	0.3119822122601618	0.0	0.3128814956326737	0.0	0.31231607731142874	0.0	0.3111135024221857	0.0	0.31236559930070407	0.0	0.31250054644238023	0.0	0.31171636618062354	0.0	0.3126779542383368	0.0	0.31180450875262505	0.0	0.31146442359088944	0.0	0.31261544799739815	0.0	0.3120309810830498	0.0	0.3109314597415197	0.0	0.3116500215122847	0.0	0.31402849207758976	0.0	0.31292058714710896	0.0	0.3114354545311786	0.0	0.3119862752284361	0.0	0.31155975477313297	0.0	0.3118198657135533	0.0	0.3122283467779836	0.0	0.3123213002362915	0.0	0.3112959257028651	0.0	0.3116537244987032	0.0	0.3112394823922169	0.0	0.31282448421842635	0.0	0.3116967922067016	0.0	0.31247465429405363	0.0	0.31197734528304727	0.0	0.3123940657893828	0.0	0.3120100150829266	0.0	0.3110705454809156	0.0	0.3117895329733955	0.0	0.31151953809395033	0.0	0.3113136252796855	0.0	0.3125512274760681	0.0	0.3118580051042566	0.0	0.3105601308493784	0.0	0.31222532816177	0.0
2703	0.2765483026254936	0.0	0.27662182122644896	0.0	0.2768408158979271	0.0	0.2770908403857416	0.0	0.27668091232386116	0.0	0.2770014506670861	0.0	0.27676241276278984	0.0	0.2770397608603681	0.0	0.2770434830570815	0.0	0.27635991729158993	0.0	0.27711972489775577	0.0	0.27607990739731014	0.0	0.27723135954182493	0.0	0.2769470165151009	0.0	0.27734015911765425	0.0	0.2768942239307118	0.0	0.27681577294958293	0.0	0.27679776778990345	0.0	0.27694557712849294	0.0	0.27707664585173136	0.0	0.27666808982745367	0.0	0.2767214903567913	0.0	0.27756385675288564	0.0	0.2766398138582238	0.0	0.27710063320422507	0.0	0.2768190841269621	0.0	0.27759354423877497	0.0	0.2765866205998349	0.0	0.27685150119856106	0.0	0.2775454200224083	0.0	0.27602610524298954	0.0	0.2767911650911852	0.0	0.27724020719119935	0.0	0.27760010186852796	0.0	0.27725196171261496	0.0	0.2768122921110145	0.0	0.2765488676882126	0.0	0.2768563731761038	0.0	0.2770845651633383	0.0	0.2768595392898658	0.0	0.27722484580475176	0.0	0.27690335481494827	0.0	0.2769341512198406	0.0	0.2773105213369004	0.0	0.27634801161583283	0.0	0.2770695850021614	0.0	0.2768945505484931	0.0	0.2774708586412104	0.0	0.2773466140044512	0.0	0.2770430052871344	0.0
3488	0.25498981695769674	0.0	0.254539463389164	0.0	0.25423832342811103	0.0	0.2545502745300838	0.0	0.25468942039811904	0.0	0.2544462670091664	0.0	0.25479981747359914	0.0	0.25483173982379265	0.0	0.2550660365740827	0.0	0.25473658115062336	0.0	0.2550118105515003	0.0	0.2552747017348469	0.0	0.2551799794246819	0.0	0.25480645036238303	0.0	0.2548454150167726	0.0	0.25483233423004586	0.0	0.25489017108904993	0.0	0.254749218676881	0.0	0.25515240208823575	0.0	0.25459031184392145	0.0	0.2547202013409477	0.0	0.2548393255434155	0.0	0.2552946732106232	0.0	0.2546108305477805	0.0	0.25521555410481644	0.0	0.2552266575184204	0.0	0.255088674449695	0.0	0.2542934886485747	0.0	0.25511793456318455	0.0	0.25506042901845954	0.0	0.25456449029556744	0.0	0.2547937716183321	0.0	0.25487242371555763	0.0	0.25517980707408294	0.0	0.2546039332833924	0.0	0.25454094322374277	0.0	0.2547712382146438	0.0	0.2550950554034128	0.0	0.25466957761779146	0.0	0.25484979741269037	0.0	0.25499017407140323	0.0	0.25514588756946927	0.0	0.2540575512746445	0.0	0.2550665026886713	0.0	0.2547316698547441	0.0	0.2553132141119068	0.0	0.25501358817118047	0.0	0.2547945490936958	0.0	0.2553477340071553	0.0	0.2548391695729175	0.0
4502	0.23996749130342862	0.0	0.24012751109605232	0.0	0.2400934078613434	0.0	0.2398056070443168	0.0	0.24038388853776238	0.0	0.23992531893461555	0.0	0.2400064848590696	0.0	0.23979118983437897	0.0	0.24015233808558037	0.0	0.2400283319704434	0.0	0.24040340992379927	0.0	0.2397817385304744	0.0	0.2405215116581523	0.0	0.24044286422847297	0.0	0.23975655215300565	0.0	0.2403410207157133	0.0	0.2401726757522858	0.0	0.23987619459608128	0.0	0.2396143079036317	0.0	0.24004391913907885	0.0	0.24003344688031567	0.0	0.24022061610396137	0.0	0.23999703335914274	0.0	0.23999346057454218	0.0	0.2402794556956215	0.0	0.24004358714904048	0.0	0.2398926873094355	0.0	0.23993408941519329	0.0	0.24028953020526572	0.0	0.2399258062638659	0.0	0.24042293943997758	0.0	0.24024741595669502	0.0	0.24026884649124966	0.0	0.24010399650603206	0.0	0.24017161810480755	0.0	0.24012345440007205	0.0	0.2399996588206209	0.0	0.2401179743616957	0.0	0.2395756082666726	0.0	0.24022931507289969	0.0	0.23969942507470765	0.0	0.24005731272800251	0.0	0.24067948885618398	0.0	0.23982819665143634	0.0	0.2400388895049003	0.0	0.2401985644421621	0.0	0.2404109259372313	0.0	0.24025652342229264	0.0	0.24005502449749327	0.0	0.2399814973086899	0.0
5811	0.23005718712159562	0.0	0.22948337122421408	0.0	0.22974054121436438	0.0	0.2295658838901685	0.0	0.2297859465050812	0.0	0.22993117028916146	0.0	0.22928965016967118	0.0	0.22975886392885414	0.0	0.22985379842401907	0.0	0.2294571675980389	0.0	0.22991297015686205	0.0	0.2293704374600661	0.0	0.2294303155365575	0.0	0.22961861505513567	0.0	0.22975134716316295	0.0	0.22992194307064673	0.0	0.2299756345707967	0.0	0.2297480704367417	0.0	0.22981238069928045	0.0	0.22954060581470756	0.0	0.22959255333756282	0.0	0.22986556150743415	0.0	0.2294395238161161	0.0	0.2298746476308444	0.0	0.2296678716082131	0.0	0.2298801197759911	0.0	0.22954245900007705	0.0	0.22971305218718263	0.0	0.229802147758482	0.0	0.22934569592324686	0.0	0.22975635755146503	0.0	0.2292820443002777	0.0	0.22981289081929226	0.0	0.22962590425850174	0.0	0.2295177563201815	0.0	0.22942572891331592	0.0	0.22936234793095733	0.0	0.229675197965135	0.0	0.2299002508940268	0.0	0.22975384597062523	0.0	0.22969513843388115	0.0	0.22959188198060174	0.0	0.22969671885205306	0.0	0.2297434360330682	0.0	0.22984166094822905	0.0	0.22980328092585062	0.0	0.22959233070174165	0.0	0.22973912015992853	0.0	0.22963247135236678	0.0	0.22967329612582027	0.0
7500	0.2224903845695066	0.0	0.2221914519528466	0.0	0.22225130570920582	0.0	0.22218442694625817	0.0	0.22208140717556643	0.0	0.22208307090537277	0.0	0.22223936978500675	0.0	0.22248166238025377	0.0	0.22231082559186502	0.0	0.22241194869341055	0.0	0.2220978361170123	0.0	0.22237218393310101	0.0	0.22235427067101232	0.0	0.22203895599039067	0.0	0.22229287050525154	0.0	0.22232730332194828	0.0	0.22239170233611694	0.0	0.2223715371678989	0.0	0.2223694135308157	0.0	0.2221331146118871	0.0	0.22232796275765654	0.0	0.22233887872319966	0.0	0.2223230367863129	0.0	0.22225746081343395	0.0	0.2222155632233771	0.0	0.22225483070523525	0.0	0.222284149188035	0.0	0.2220512001423649	0.0	0.22216192035483087	0.0	0.222176257617679	0.0	0.22262346847027326	0.0	0.22240018015623825	0.0	0.22231476210521808	0.0	0.22219594138321433	0.0	0.22229031380411834	0.0	0.22239430634824203	0.0	0.22223315343744024	0.0	0.22229913762252648	0.0	0.22224330461530623	0.0	0.22243664066479474	0.0	0.2222214432817422	0.0	0.2218960325210966	0.0	0.2222470637017794	0.0	0.22230142666167824	0.0	0.22240856572177992	0.0	0.22227122668151567	0.0	0.2223137730960926	0.0	0.22222273623271607	0.0	0.22230788390821113	0.0	0.22207414749628848	0.0
