# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	4.991613682287711	0.0	5.000458034275033	0.0	5.00862200180344	0.0	5.000074040179232	0.0	5.004123327378664	0.0	4.970927853350882	0.0	4.9976327754770296	0.0	5.01000860670513	0.0	4.988939508506246	0.0	5.002114469161384	0.0	5.006568881492684	0.0	5.013783515839484	0.0	5.00089449932333	0.0	5.00123700470002	0.0	5.0084264872440425	0.0	5.011842264675852	0.0	5.006625076594083	0.0	4.986639226249179	0.0	4.994343714138821	0.0	4.9966207035500645	0.0	5.012994244517512	0.0	4.990058395071545	0.0	4.997652615119119	0.0	5.027189257201242	0.0	4.9969937088694385	0.0	5.001300577956529	0.0	4.997560829965458	0.0	4.984775144547299	0.0	5.004249697089704	0.0	4.986844795783501	0.0	5.0031183359394245	0.0	4.981879270609226	0.0	4.983478357561925	0.0	5.021388651497914	0.0	4.9938244828083445	0.0	4.999449451351573	0.0	5.006563785075539	0.0	5.013273158490624	0.0	4.998027974768383	0.0	5.003593888090627	0.0	4.993959015630401	0.0	5.006299682361996	0.0	4.997081985845309	0.0	5.002904529794667	0.0	5.000255720146167	0.0	5.000167813476028	0.0	5.011570533417573	0.0	5.006232662731265	0.0	4.992509748530343	0.0	4.987534857078319	0.0
974	4.976840261663001	0.0	5.010559684821829	0.0	5.010457720202812	0.0	5.009397158937117	0.0	5.002657080952864	0.0	5.012661316447011	0.0	4.984748633209944	0.0	5.007481485941364	0.0	4.993820055791091	0.0	4.999183825404254	0.0	5.001058136503808	0.0	4.995800623520012	0.0	4.984121772056901	0.0	5.005218031637063	0.0	4.991593707191941	0.0	5.002228269176326	0.0	4.9952334820305815	0.0	5.001418200088736	0.0	4.986720510409483	0.0	4.996165715278394	0.0	5.003128532648414	0.0	5.00267468047669	0.0	5.008873496508538	0.0	5.002614814112897	0.0	4.983555803918331	0.0	5.001324640462284	0.0	4.996612653873908	0.0	5.0035345401015405	0.0	4.972917677387446	0.0	5.002110079826106	0.0	4.9872851874636135	0.0	5.004192238477349	0.0	5.00251270986989	0.0	5.008006386705904	0.0	4.984135249881411	0.0	5.016756599004267	0.0	5.011860433123051	0.0	5.012919239969646	0.0	4.978254545034709	0.0	4.989643697530091	0.0	4.9978958803503595	0.0	5.0079919119861005	0.0	4.990006453029131	0.0	5.001118836557582	0.0	4.987585411914813	0.0	4.986904667588216	0.0	4.998372453485128	0.0	5.004727354008155	0.0	5.001949775658595	0.0	5.005481631883039	0.0
1257	4.988499976002158	0.0	4.996586870295081	0.0	4.996191360649702	0.0	5.003146578789473	0.0	4.993029338589105	0.0	5.003351981744779	0.0	5.0007252462043486	0.0	5.005507536165731	0.0	4.979091779093014	0.0	4.998126853708972	0.0	4.996501460367936	0.0	4.9848165420193205	0.0	4.9981741434454765	0.0	5.002981900269558	0.0	5.0010341966393	0.0	5.005325633151509	0.0	4.9965217278810465	0.0	5.005706599013975	0.0	4.996196962250638	0.0	5.00353606591617	0.0	5.01273842113181	0.0	5.001419460194222	0.0	5.010565247980321	0.0	4.998585993488553	0.0	5.004521968565164	0.0	5.012779542019954	0.0	5.007366683527973	0.0	4.982505208676003	0.0	4.99059720159603	0.0	4.996092967405298	0.0	5.010997803360516	0.0	5.01379876833596	0.0	5.003935029263547	0.0	5.00083298180707	0.0	4.995702920100109	0.0	4.991523106184428	0.0	4.9872737406208705	0.0	4.999227670598995	0.0	5.01620936463524	0.0	5.003887648153313	0.0	5.005140039088886	0.0	5.000538204339056	0.0	4.993971826861732	0.0	5.009849282702895	0.0	5.000759312908664	0.0	5.003142450606373	0.0	5.018180624382107	0.0	4.9889863518279665	0.0	5.0026944289872555	0.0	5.015029853169311	0.0
1622	4.994677690252634	0.0	5.006929702814811	0.0	4.995263802456554	0.0	5.004104303966998	0.0	5.002939080029224	0.0	5.002392017537052	0.0	5.007365558738187	0.0	5.014508651295592	0.0	4.992055018669624	0.0	5.011986217287338	0.0	4.999177210569283	0.0	4.999600765408949	0.0	4.999879554015984	0.0	5.001639116423744	0.0	4.99070938689291	0.0	5.005500428186416	0.0	5.003566981128852	0.0	5.001972171897013	0.0	4.996997792693013	0.0	4.998396732360476	0.0	4.995657700175598	0.0	4.9933056144925265	0.0	4.997312234823249	0.0	5.005898587323538	0.0	4.994520927949462	0.0	5.005543973664608	0.0	4.999493413685602	0.0	5.004481787541365	0.0	5.002927016024139	0.0	5.012335068777977	0.0	4.992054821510764	0.0	5.003009887837283	0.0	5.009402363928609	0.0	4.997494353683672	0.0	4.997922733501648	0.0	4.990861420813147	0.0	4.996925717289332	0.0	4.999164277164284	0.0	5.012331296944051	0.0	5.003083360386543	0.0	5.01727571099623	0.0	4.991415331784319	0.0	4.9907906079346995	0.0	4.992591385170968	0.0	4.999094222976066	0.0	5.00283647090483	0.0	5.002199509190492	0.0	4.985124573344968	0.0	5.003520150679552	0.0	5.004299540165522	0.0
2094	4.9951100216081485	0.0	5.001944254698239	0.0	5.004247696224535	0.0	4.998977790191055	0.0	5.000519767832008	0.0	4.999540758847069	0.0	5.00253614632976	0.0	5.009482481034344	0.0	4.9978995690431445	0.0	5.004811564182733	0.0	5.00203856233812	0.0	4.999852754196622	0.0	5.005331373060064	0.0	4.991346051381356	0.0	4.998937429226893	0.0	5.008676342675202	0.0	5.002375255755154	0.0	5.00662706052793	0.0	5.0042763374859325	0.0	4.99380797023417	0.0	4.999096878576555	0.0	4.999213720577474	0.0	4.996996002611981	0.0	5.003066743650559	0.0	4.994972852568939	0.0	4.995433168883295	0.0	4.995938050762406	0.0	4.997958502473767	0.0	4.985210441283609	0.0	5.000013695839898	0.0	4.998204443474287	0.0	5.0039964470786416	0.0	4.9993107005737585	0.0	4.995864919617797	0.0	5.0037805494472805	0.0	4.99273635576041	0.0	4.998720927729403	0.0	5.00349700727597	0.0	4.998813024126392	0.0	4.9898759637196175	0.0	4.999214498722215	0.0	5.003031119994816	0.0	4.987926010414804	0.0	4.994558482278649	0.0	5.014061920019984	0.0	5.002939793366883	0.0	4.994740213911501	0.0	4.998275714510386	0.0	4.996522153901124	0.0	5.0078534418211795	0.0
2703	4.996788127300829	0.0	4.994767083731713	0.0	5.0005237915585425	0.0	5.002482993001767	0.0	5.001326396533162	0.0	4.9988449943523054	0.0	5.002763936491698	0.0	5.00385778724093	0.0	5.006112863016777	0.0	4.9988226463746965	0.0	5.001202300673668	0.0	5.002807151883775	0.0	4.999960578847486	0.0	4.994096603375005	0.0	4.993823870786473	0.0	4.992823053036622	0.0	5.001264866914018	0.0	5.002830210885717	0.0	4.989934194864454	0.0	4.999669810888868	0.0	4.9955915659345145	0.0	4.998472108815807	0.0	4.992697742038727	0.0	5.0023514903138375	0.0	4.992238741474117	0.0	4.9985580626705834	0.0	4.987627373350373	0.0	5.0070097496416	0.0	5.002712820545823	0.0	5.003098276615	0.0	5.007359055598661	0.0	5.005973454558671	0.0	4.999642543444089	0.0	4.995554135918073	0.0	5.000510937271881	0.0	5.002935837108297	0.0	4.997700689405568	0.0	4.9972415212483	0.0	4.996046393378549	0.0	4.997979793797371	0.0	4.999658354884208	0.0	5.011014872170545	0.0	4.996897552520263	0.0	5.00209797520195	0.0	5.004249601042032	0.0	4.998321663266861	0.0	5.000332427355486	0.0	4.993800635736608	0.0	4.9974235968737	0.0	4.992731546114005	0.0
3488	4.997148387973649	0.0	4.99811330280068	0.0	4.998245004430213	0.0	4.995450316582514	0.0	5.010781018625157	0.0	5.001519319147402	0.0	5.004905324211591	0.0	4.99621555818722	0.0	5.008763197741946	0.0	5.007440599696526	0.0	4.992898617876137	0.0	4.991186146510438	0.0	5.000710626164296	0.0	4.995334047008464	0.0	5.003252024211437	0.0	4.9998593165135405	0.0	5.002530198212571	0.0	4.996334107009941	0.0	4.9976652021245345	0.0	5.002141389390623	0.0	4.994191526553553	0.0	4.993394199113366	0.0	4.992494986787037	0.0	5.000409255356694	0.0	4.993313053273681	0.0	4.998425821872457	0.0	4.99417411498363	0.0	5.005536644641084	0.0	5.000915681527828	0.0	4.996659268927439	0.0	5.003386130421445	0.0	5.00015286226782	0.0	5.002275215752982	0.0	5.004511887809861	0.0	5.005040768791356	0.0	5.00181641105875	0.0	5.005234230038151	0.0	4.9993271294160815	0.0	4.998632035682233	0.0	4.991661148083829	0.0	5.00006210188977	0.0	5.005333823881604	0.0	4.9968275370630275	0.0	5.002473856003032	0.0	5.00196733979634	0.0	4.9957109494809195	0.0	4.99658060694679	0.0	4.98857054115696	0.0	4.994454148397713	0.0	4.9976975310472795	0.0
4502	5.005570384370032	0.0	4.999504946739227	0.0	4.9987327352157065	0.0	5.003361123877363	0.0	5.004327298933542	0.0	5.000801211155298	0.0	4.99110131728845	0.0	5.006474744193245	0.0	4.993223896188045	0.0	4.9937051743079115	0.0	4.999860403205152	0.0	5.003307104549556	0.0	5.00474762222755	0.0	4.993451851546627	0.0	4.997204345152985	0.0	4.99764043224756	0.0	4.997944644718215	0.0	5.007781652007934	0.0	5.005010839581817	0.0	5.000648583146349	0.0	4.996355917003292	0.0	4.999677787710123	0.0	4.993139636191519	0.0	4.994939627107239	0.0	5.0030258332130995	0.0	5.00177554569781	0.0	4.998394391591284	0.0	4.998203205773332	0.0	5.00088132933612	0.0	5.00286669710054	0.0	4.998464456287454	0.0	4.9948747913419025	0.0	4.99807270069453	0.0	4.992058257918305	0.0	4.989538820708697	0.0	4.994168890743504	0.0	5.003201116737589	0.0	5.000528403549289	0.0	4.996073208695917	0.0	4.999076555593428	0.0	4.999734685940831	0.0	4.990377063189471	0.0	5.001708427455523	0.0	4.999741743657436	0.0	5.000753472743877	0.0	4.999712964510957	0.0	5.002694387749356	0.0	4.995781695219169	0.0	4.998062701756977	0.0	5.001817425413084	0.0
5811	5.0034505180759075	0.0	4.993617993600798	0.0	5.001194911329374	0.0	4.998299825947036	0.0	4.998393387023297	0.0	5.001349273009101	0.0	5.00107235801618	0.0	5.003788241966427	0.0	4.9982191453101645	0.0	5.005592874108296	0.0	4.998758723587056	0.0	5.003691857862064	0.0	4.99908672258328	0.0	5.002756037244226	0.0	5.000081787185315	0.0	4.99959055110177	0.0	4.996135061350655	0.0	5.000084206569394	0.0	4.9976523299364874	0.0	5.0024606866991705	0.0	4.9978675767768	0.0	5.003117299945853	0.0	4.9990591822381525	0.0	5.000728985705862	0.0	4.996798300243726	0.0	5.000945132315405	0.0	5.003879294747965	0.0	4.994724660714535	0.0	5.003429185696676	0.0	5.001518086140685	0.0	4.993611461192248	0.0	5.001893749566836	0.0	4.999920656426601	0.0	4.996857749272893	0.0	5.002556197067151	0.0	4.998800142878373	0.0	4.997426468446348	0.0	5.003010049576623	0.0	4.997961084649284	0.0	5.001726602233566	0.0	5.0051218981324155	0.0	5.003038199882836	0.0	4.998399231088649	0.0	5.004707703588034	0.0	4.999916720315355	0.0	5.003089754395831	0.0	4.993262078701168	0.0	4.997196366409823	0.0	5.001673244278173	0.0	5.004911796977559	0.0
7500	5.001159879080503	0.0	4.999000710897951	0.0	5.000656965060606	0.0	5.006751475230398	0.0	4.999203393448011	0.0	5.003096621389472	0.0	5.006069344128673	0.0	5.002044365766021	0.0	5.003740564213232	0.0	4.998628429960562	0.0	4.998321728170957	0.0	4.996140635239872	0.0	5.001792824541614	0.0	5.00407477816527	0.0	4.997970010215642	0.0	4.996653468064504	0.0	4.99967732829704	0.0	5.004852875041308	0.0	4.999495770037982	0.0	5.00076940076798	0.0	4.998382379928949	0.0	5.000163404657113	0.0	4.995708860376926	0.0	4.998323406814686	0.0	5.000547823408767	0.0	5.001649236030039	0.0	4.9986758754209015	0.0	4.998993610368252	0.0	5.002470620200836	0.0	4.996647894466417	0.0	4.999927590170969	0.0	4.991643209969889	0.0	5.0000702259803695	0.0	4.99646649127107	0.0	4.999244939777686	0.0	4.999348931909337	0.0	5.00190817500375	0.0	5.000613241935448	0.0	5.0019253563148345	0.0	4.993370780884691	0.0	5.007755100506237	0.0	4.997309377181788	0.0	5.004332408538091	0.0	5.000456180484764	0.0	4.998164401351814	0.0	4.999013792940293	0.0	4.999639770433798	0.0	5.004448429794934	0.0	5.001247995038769	0.0	5.000418381284983	0.0
