# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	27.908134889746314	0.0	76.16615659709456	0.0	37.576526962176594	0.0	47.42357265221544	0.0	93.04566716593553	0.0	34.45163870416943	0.0	35.30406144713806	0.0	42.28559596464866	0.0	130.38241406988365	0.0	43.19570702314972	0.0	32.73256463704334	0.0	168.4292459787253	0.0	74.15855203629675	0.0	65.85371371314976	0.0	33.95200102792682	0.0	44.8208042597464	0.0	74.67832409668605	0.0	113.43723025407559	0.0	61.8154226913899	0.0	93.82869206701925	0.0	26.692334861295798	0.0	57.45297765553608	0.0	25.691428991483715	0.0	42.56485825507174	0.0	27.521743236803847	0.0	37.1052219067219	0.0	74.21575164784072	0.0	73.88343199876067	0.0	31.778982485409312	0.0	34.30533280246595	0.0	23.858481812707332	0.0	64.05720262309023	0.0	35.38563581550702	0.0	43.47950243737902	0.0	46.97647166648609	0.0	50.702870863599315	0.0	51.45097348209358	0.0	44.82326427456988	0.0	41.68518964866495	0.0	59.26113530849588	0.0	84.9066663055875	0.0	49.256239821160776	0.0	38.82762428491817	0.0	33.24728836670199	0.0	67.58268396441339	0.0	71.94131115422307	0.0	47.147452588581075	0.0	44.24358527387226	0.0	38.403314672673865	0.0	35.56370993751799	0.0
974	0.8846431710191107	0.0	0.8724553435678433	0.0	0.8777687832761131	0.0	0.8623177191001332	0.0	0.8654545671042753	0.0	0.8807426696790331	0.0	0.874202794310656	0.0	0.8749586542330988	0.0	0.8691616727040767	0.0	0.8672958466530999	0.0	0.880577736474559	0.0	0.8743872245455026	0.0	0.8921274761855005	0.0	0.8700314297136841	0.0	0.8816493960469088	0.0	0.8803931253952293	0.0	0.8719972278082265	0.0	0.8888257731824261	0.0	0.878575788490195	0.0	0.8812945393239028	0.0	0.862860704166601	0.0	0.878986352238838	0.0	0.877877282499888	0.0	0.8714280318438858	0.0	0.8765174223633768	0.0	0.8769174821477896	0.0	0.8792824055874774	0.0	0.877247994588146	0.0	0.876715528990745	0.0	0.8793529575610507	0.0	0.8792465362304788	0.0	0.8785471718897052	0.0	0.8715178711664026	0.0	0.867105688450848	0.0	0.8864551665189643	0.0	0.8766935789282432	0.0	0.8707319626063478	0.0	0.883163301013706	0.0	0.8795758334568536	0.0	0.8647717898006786	0.0	0.8638032423647792	0.0	0.868564198179515	0.0	0.8812554970194394	0.0	0.8766177362963496	0.0	0.8826869942719368	0.0	0.8788860216407803	0.0	0.8792038002034216	0.0	0.8902245862193421	0.0	0.8742891156788746	0.0	0.8802679612549267	0.0
1257	0.4974992155689508	0.0	0.49909343202107576	0.0	0.4969120524594998	0.0	0.4937632505005331	0.0	0.4967671661030232	0.0	0.49644625758938804	0.0	0.49386231360172783	0.0	0.4978368993239289	0.0	0.49920488759981263	0.0	0.49897597545314937	0.0	0.49753285663488833	0.0	0.4975971112401521	0.0	0.4984840471471117	0.0	0.49623240348330366	0.0	0.49755995813249715	0.0	0.49682081931658795	0.0	0.49988030368841774	0.0	0.4961849189554667	0.0	0.49936021160842925	0.0	0.49599231238232855	0.0	0.4972206115856574	0.0	0.49516412243678526	0.0	0.49580228403239973	0.0	0.4988128305954064	0.0	0.49931021796441855	0.0	0.49755640207430374	0.0	0.4955814653285585	0.0	0.4991429691519684	0.0	0.49710194685945	0.0	0.49455993129263637	0.0	0.49975960635361905	0.0	0.49494068435521316	0.0	0.49726484258708553	0.0	0.4950244879423823	0.0	0.4992234955015423	0.0	0.4983215263199998	0.0	0.5004390281899421	0.0	0.4976789499580065	0.0	0.4970149745234653	0.0	0.49679559108203347	0.0	0.4941796633073141	0.0	0.4965326493246701	0.0	0.500119492646237	0.0	0.5006942588372442	0.0	0.4962608615723314	0.0	0.49850341142521	0.0	0.4944006485654943	0.0	0.49808464861143564	0.0	0.49861682734530766	0.0	0.49824124369420636	0.0
1622	0.37330742313565285	0.0	0.37143705140421646	0.0	0.37206420103285465	0.0	0.37216565368120796	0.0	0.37262009193379536	0.0	0.3715980719668188	0.0	0.37290632414108066	0.0	0.37187742899295656	0.0	0.3724964350859462	0.0	0.37154335181058284	0.0	0.3716148720459777	0.0	0.3707832745572942	0.0	0.3717226096386542	0.0	0.3728923403580084	0.0	0.37335693204506704	0.0	0.3726096407235664	0.0	0.37282877521648305	0.0	0.37254066202206293	0.0	0.37279966321269103	0.0	0.3728109231347644	0.0	0.37252815939192274	0.0	0.3731875184203408	0.0	0.3720315662042359	0.0	0.3711872284767848	0.0	0.3736577854916471	0.0	0.3728639283217579	0.0	0.3726279168829619	0.0	0.37161333111691797	0.0	0.3726638655819332	0.0	0.372785877780091	0.0	0.3738954138078843	0.0	0.37085087021750085	0.0	0.37197888655963485	0.0	0.3723783176208798	0.0	0.37335191386342725	0.0	0.3738119232589931	0.0	0.37281605585762567	0.0	0.373176610369257	0.0	0.37039114343407814	0.0	0.3730354729565306	0.0	0.3712755096025499	0.0	0.37184253410186413	0.0	0.37378062326489697	0.0	0.37287100426966957	0.0	0.3719572023633732	0.0	0.37327140747144755	0.0	0.372543140237874	0.0	0.3725667232667257	0.0	0.37233163472937697	0.0	0.3725975381306269	0.0
2094	0.3120211266575246	0.0	0.3115856660241532	0.0	0.3117652330190374	0.0	0.3126166923697541	0.0	0.3116243852994047	0.0	0.31237144047240517	0.0	0.31150660526134605	0.0	0.3109986378619468	0.0	0.3115931378299218	0.0	0.31131575804032274	0.0	0.31178434550259787	0.0	0.3124292199364689	0.0	0.3116629576137892	0.0	0.31279358428991255	0.0	0.31244386292151116	0.0	0.31083189705694036	0.0	0.31195858646027425	0.0	0.3114169448351573	0.0	0.31131701189879674	0.0	0.3119314126628877	0.0	0.31259459868715944	0.0	0.3115600253795411	0.0	0.3124326136125067	0.0	0.31137912390542716	0.0	0.31137309080598824	0.0	0.31249546196211475	0.0	0.3119729923071528	0.0	0.31144296389373494	0.0	0.3130741895290441	0.0	0.31169837548173357	0.0	0.3125048389268291	0.0	0.31197545865963244	0.0	0.311665283784139	0.0	0.3127771077980055	0.0	0.3113667669165997	0.0	0.312488651575538	0.0	0.31332704954746254	0.0	0.3120291848285795	0.0	0.31198615714127154	0.0	0.3123302629851854	0.0	0.3120902363313929	0.0	0.312471220486717	0.0	0.31274550309105825	0.0	0.3122775123353673	0.0	0.31133043787179965	0.0	0.31182635327497543	0.0	0.31264715903851453	0.0	0.3121764943891871	0.0	0.3116509333669257	0.0	0.31159250061977356	0.0
2703	0.2775222205865065	0.0	0.2765728843735355	0.0	0.2769906150391286	0.0	0.2761905844149139	0.0	0.27747337993276333	0.0	0.2773256217603563	0.0	0.27665702823551225	0.0	0.2770250792566411	0.0	0.27633813258413986	0.0	0.2773041341478055	0.0	0.2769665905173079	0.0	0.2772544078313258	0.0	0.27707580115796077	0.0	0.27707714092045066	0.0	0.27718258782224287	0.0	0.2777806750432674	0.0	0.2771027600389447	0.0	0.2768565858231694	0.0	0.27748954989222	0.0	0.2767284601435119	0.0	0.27716030230705674	0.0	0.2771137647439307	0.0	0.2775299797542572	0.0	0.2764673406345653	0.0	0.27756514315907627	0.0	0.27674697506785256	0.0	0.2783061437457841	0.0	0.27664660914573985	0.0	0.276417635507177	0.0	0.27712287344879416	0.0	0.27654489519496517	0.0	0.27680557307022285	0.0	0.2766373784557312	0.0	0.2770667117885383	0.0	0.2770666018276097	0.0	0.27661223692174836	0.0	0.2767175492774553	0.0	0.27699137739111307	0.0	0.27715999046603224	0.0	0.27691309713311374	0.0	0.27705754838160296	0.0	0.2761723442610658	0.0	0.276788539307592	0.0	0.2766827293823718	0.0	0.2767295699261394	0.0	0.27664773614992727	0.0	0.27718477912341155	0.0	0.27717497721635537	0.0	0.2772607913830855	0.0	0.27747937754501134	0.0
3488	0.25506221987315264	0.0	0.25519425911398047	0.0	0.2549117040483939	0.0	0.25523690178262004	0.0	0.25454137092983387	0.0	0.2549216356711637	0.0	0.25484399588628276	0.0	0.2551336622086104	0.0	0.2543153508202253	0.0	0.25468255570599696	0.0	0.2552307255897968	0.0	0.25535302779480934	0.0	0.25489177063400065	0.0	0.25539630888867226	0.0	0.2548143253735367	0.0	0.2550804037181794	0.0	0.2549359444614018	0.0	0.2552093516639824	0.0	0.2549287128809577	0.0	0.25489076942022254	0.0	0.25516548696170227	0.0	0.25517712205454807	0.0	0.25528284541572616	0.0	0.25478615072884814	0.0	0.25512928517820055	0.0	0.2549660538981951	0.0	0.25509094274640454	0.0	0.25447145953272426	0.0	0.25491205499742275	0.0	0.2547754084611285	0.0	0.2546125301124518	0.0	0.2549814557582655	0.0	0.2546353258925298	0.0	0.2542938823818786	0.0	0.2546239337550569	0.0	0.2548093875944521	0.0	0.254829445489357	0.0	0.25511136142504365	0.0	0.2552186640636778	0.0	0.2552599649687912	0.0	0.25478909568006813	0.0	0.2547210585016331	0.0	0.2552589265895317	0.0	0.2546999553829122	0.0	0.2550681217884259	0.0	0.2554032776504512	0.0	0.2549267184466646	0.0	0.2555421194174135	0.0	0.2550659655161413	0.0	0.25478458018264	0.0
4502	0.23979496635859637	0.0	0.24005923106503693	0.0	0.24018758870940382	0.0	0.2399968643173753	0.0	0.23984897756250598	0.0	0.2401224898370277	0.0	0.24028319692737948	0.0	0.23986130215481405	0.0	0.24049201228900047	0.0	0.24022634233088536	0.0	0.24012166590796524	0.0	0.23988768554283116	0.0	0.23984980145450285	0.0	0.24052531180894252	0.0	0.2400965587499921	0.0	0.2403982433664859	0.0	0.24013879071982655	0.0	0.23965048875621528	0.0	0.23974290536821605	0.0	0.23991022685559332	0.0	0.24007325570736177	0.0	0.24037897155299626	0.0	0.24038448948894992	0.0	0.24011339730672626	0.0	0.2399452853332102	0.0	0.23988882351645935	0.0	0.24019496425003808	0.0	0.2401032405740952	0.0	0.24002475837926682	0.0	0.23969411177828018	0.0	0.24030338325795333	0.0	0.24026765145812176	0.0	0.24005565396142448	0.0	0.2404125852945906	0.0	0.24041596083025638	0.0	0.2401699911116093	0.0	0.24008112670394433	0.0	0.24010485329659942	0.0	0.24033201347730362	0.0	0.24007343655316898	0.0	0.23998173078991805	0.0	0.24041168294903173	0.0	0.24007443331890757	0.0	0.23993477735696198	0.0	0.23984774833997474	0.0	0.2400417498285327	0.0	0.23990200227737268	0.0	0.2402868841374735	0.0	0.24034228184599526	0.0	0.24000113364535128	0.0
5811	0.2295512438451364	0.0	0.22986767075277237	0.0	0.22954708071663116	0.0	0.2297667368072647	0.0	0.2297321435387683	0.0	0.22959426543356345	0.0	0.229499127828293	0.0	0.2294784743563668	0.0	0.22985089444867735	0.0	0.22932845018418502	0.0	0.22950516164483584	0.0	0.22961116597966102	0.0	0.22961286009904477	0.0	0.22953116343415567	0.0	0.22969060037094574	0.0	0.22973147790801415	0.0	0.22984379308939762	0.0	0.22979393224623637	0.0	0.2298014665903288	0.0	0.22944583946044478	0.0	0.22978002801795985	0.0	0.22962686881905045	0.0	0.22976916725158625	0.0	0.22969000785229968	0.0	0.22980482733767404	0.0	0.22955405963440045	0.0	0.2294395597932456	0.0	0.22996591488109214	0.0	0.22950265110728962	0.0	0.22940326896240204	0.0	0.22998260735189988	0.0	0.229683395329232	0.0	0.2296448801897782	0.0	0.22986467164442478	0.0	0.22970141314238007	0.0	0.22974871935031235	0.0	0.2298124636957778	0.0	0.2295140787594531	0.0	0.22999244072529312	0.0	0.22952576496565325	0.0	0.22943740667985776	0.0	0.22940564749713266	0.0	0.2296930336850033	0.0	0.22964561289416785	0.0	0.22970548203168126	0.0	0.2295016674845922	0.0	0.23002807625791283	0.0	0.22979274561411966	0.0	0.2294679376194521	0.0	0.22943357832839895	0.0
7500	0.22226235623180784	0.0	0.22222206143475765	0.0	0.2222365095841533	0.0	0.2219177168925032	0.0	0.2221810371893597	0.0	0.22211867468049967	0.0	0.22193275379404473	0.0	0.22219509709742363	0.0	0.22201371716197013	0.0	0.22230726130845307	0.0	0.22231355779772363	0.0	0.2224961024884213	0.0	0.22215029681584791	0.0	0.2221086922172094	0.0	0.22237997378588117	0.0	0.22243116145108616	0.0	0.2222855554456646	0.0	0.22199044661599052	0.0	0.22212530595315017	0.0	0.22220370521188776	0.0	0.22227707635798602	0.0	0.2222872310457955	0.0	0.22242187420189946	0.0	0.2222593373585652	0.0	0.2222039007711369	0.0	0.22207131618057963	0.0	0.22231281107312614	0.0	0.22241867201379373	0.0	0.22219530533168338	0.0	0.2225111924818231	0.0	0.22232335396603992	0.0	0.22257278117403304	0.0	0.22228939726264185	0.0	0.22244400843736714	0.0	0.22229068340316488	0.0	0.22229264025473366	0.0	0.22216667396026873	0.0	0.22216621902769865	0.0	0.22216311403452182	0.0	0.2224171377650071	0.0	0.22196719341330617	0.0	0.2223976992536393	0.0	0.22214037583721966	0.0	0.22232419909234144	0.0	0.222366487718273	0.0	0.22231159212989798	0.0	0.22226788394517397	0.0	0.2220595113910245	0.0	0.2222088114323914	0.0	0.22224186553508798	0.0
