# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	5.01639988005749	0.0	5.0150220097143015	0.0	5.009988742086325	0.0	5.010939126996608	0.0	4.99541676982055	0.0	5.003955705341079	0.0	4.997035413721103	0.0	5.0051127274039	0.0	4.999772711395297	0.0	5.003094937899207	0.0	5.012143303843303	0.0	4.99124566907599	0.0	4.998212166483905	0.0	5.003839412138559	0.0	5.00591053599102	0.0	5.008579313522357	0.0	4.999640624466683	0.0	4.99449263202469	0.0	5.002326079504862	0.0	4.9977478329547	0.0	5.002656825046676	0.0	4.990545686885461	0.0	5.002902573458121	0.0	5.006643594966276	0.0	4.996436374804712	0.0	4.990613363303706	0.0	4.99636304271353	0.0	4.982231185128174	0.0	5.0022341893755975	0.0	4.996757933202264	0.0	4.997056930457809	0.0	4.998936987933798	0.0	5.002210631853548	0.0	5.009929137763421	0.0	5.011264697268812	0.0	5.007654182578305	0.0	4.995464303303502	0.0	4.993137202796105	0.0	4.982668349951251	0.0	4.990350705958418	0.0	5.008524414478179	0.0	5.000021575341176	0.0	5.006556593560451	0.0	4.995899827819651	0.0	4.99357539257163	0.0	4.998899741735452	0.0	4.992985090219443	0.0	5.003749366208474	0.0	5.004425969737647	0.0	5.0134740486295435	0.0
889	4.988820226257022	0.0	5.012215927561056	0.0	4.991468630459326	0.0	5.004278601765874	0.0	5.011306849780152	0.0	5.00060705345983	0.0	5.019690559158264	0.0	5.00199146005169	0.0	4.9969264807708935	0.0	5.005465808562544	0.0	4.995032387223228	0.0	5.00702469234184	0.0	5.008778934121716	0.0	5.001298323374451	0.0	4.990759752310739	0.0	4.991746190719985	0.0	5.012112383872632	0.0	5.014311102879182	0.0	5.013412538473698	0.0	5.013617715476983	0.0	4.985501021375813	0.0	4.990904180841658	0.0	5.000448816625894	0.0	4.993210474280097	0.0	5.0092674351956665	0.0	4.997930426219402	0.0	4.997646207263783	0.0	5.0047675576564545	0.0	4.995102523020777	0.0	4.986059242499095	0.0	4.9902944221485255	0.0	5.006895553414325	0.0	5.000443383039245	0.0	4.996744311717786	0.0	4.994159595267987	0.0	4.998682887603619	0.0	4.9866152148761955	0.0	5.010923468400338	0.0	5.000078757420041	0.0	4.9960138628100115	0.0	4.989011175734259	0.0	5.009668283715672	0.0	4.999910136576303	0.0	5.0074270668455645	0.0	5.025549968908491	0.0	4.9995486870809245	0.0	5.009902991213775	0.0	4.984619351018004	0.0	5.012486042476349	0.0	5.004171828262057	0.0
1048	5.009719745393589	0.0	4.993026476269821	0.0	5.013111817245239	0.0	4.996607127187733	0.0	5.001430566496543	0.0	5.021138886278599	0.0	4.994209027205151	0.0	4.991598938787447	0.0	5.000517187377765	0.0	5.007162802774556	0.0	4.993709386759417	0.0	4.992102622284373	0.0	4.990658043951319	0.0	5.0044699973140885	0.0	4.991566174945359	0.0	4.997537061160183	0.0	4.999383325797274	0.0	4.995007942365909	0.0	5.022446196627049	0.0	5.016211367230702	0.0	5.002774572482769	0.0	5.000016749493387	0.0	5.002048090037741	0.0	5.001522495682435	0.0	4.996273328204071	0.0	4.991174306330683	0.0	5.008374399998594	0.0	5.003253388475474	0.0	5.006979767406065	0.0	5.000704488764828	0.0	5.006436245061326	0.0	5.009786504170751	0.0	4.991818141442061	0.0	5.008959862680678	0.0	5.0109624271917435	0.0	4.998959008982538	0.0	5.002565709994877	0.0	4.995560413601363	0.0	4.985000611314011	0.0	5.008872885348555	0.0	4.998211821819561	0.0	4.992703863775925	0.0	5.010229472524556	0.0	5.020699017566559	0.0	5.0001630489757165	0.0	4.995123700802875	0.0	5.0147679780078045	0.0	5.002436593926935	0.0	5.003130614369211	0.0	4.99875449615495	0.0
1234	4.9877676816406025	0.0	4.997916395541734	0.0	5.005977032708901	0.0	4.995853887833125	0.0	5.007919568494154	0.0	5.00369058363818	0.0	4.9996162606573655	0.0	4.986949593660236	0.0	4.9930458863638885	0.0	4.9924574328269316	0.0	4.987726195812394	0.0	5.001249560661745	0.0	4.990181870352048	0.0	5.002429157986142	0.0	4.986730930015032	0.0	4.994520136189469	0.0	4.986091374842147	0.0	4.983243054832447	0.0	4.9925845922754	0.0	4.998103874472935	0.0	4.996815099634433	0.0	4.994164587556028	0.0	4.997530874246975	0.0	5.004728707460092	0.0	4.99628231492057	0.0	5.006273429103156	0.0	4.994841182398144	0.0	4.990632151706779	0.0	4.997415592417094	0.0	5.003009615751715	0.0	4.998265283730035	0.0	4.983570630518957	0.0	4.996674974233311	0.0	5.0020708641567735	0.0	4.998267262575223	0.0	5.001426926175985	0.0	4.999688976219295	0.0	4.989794628490999	0.0	5.000559045586686	0.0	5.002131575112965	0.0	5.002888006914643	0.0	4.9982556434932	0.0	5.005450605080434	0.0	4.997817392381774	0.0	5.000840067918339	0.0	4.9942431738646285	0.0	5.000378200986425	0.0	4.9957717920640015	0.0	5.004532461862581	0.0	5.009590537266558	0.0
1454	4.990715466211669	0.0	4.998746092318273	0.0	5.00433245505211	0.0	4.997418402799744	0.0	4.996638432651864	0.0	4.995687369399552	0.0	4.997771465389586	0.0	5.003521274245141	0.0	5.004737705918526	0.0	4.996563597584213	0.0	5.003852045209995	0.0	5.000148889995835	0.0	5.014060002861168	0.0	5.001470870835829	0.0	5.007846241618241	0.0	4.999170243222756	0.0	4.990500694852194	0.0	4.992404333702358	0.0	5.004331722736659	0.0	4.998382377802059	0.0	5.006227547022493	0.0	4.996317088333967	0.0	4.982661175777852	0.0	4.988236135121121	0.0	5.001931563970439	0.0	4.993760030112278	0.0	5.009180939209259	0.0	5.002337656475164	0.0	5.004302184246901	0.0	5.001344721843662	0.0	4.996197629171113	0.0	4.997902850867601	0.0	4.9997433063104495	0.0	5.008631880804971	0.0	4.990598618829396	0.0	4.996813566591702	0.0	4.998642593020536	0.0	5.0086521213536965	0.0	5.006799039321973	0.0	4.989667893018737	0.0	5.006307648865046	0.0	5.009471120399966	0.0	5.006036621878154	0.0	5.010453312329122	0.0	5.008666437393539	0.0	4.996153193327508	0.0	5.000900445074299	0.0	4.99937949904128	0.0	4.992914216112027	0.0	4.994850392853796	0.0
1714	5.004106706172495	0.0	4.993905496824114	0.0	4.998594839413608	0.0	4.999447484165973	0.0	4.99647347031548	0.0	4.994657302229584	0.0	5.00869368412592	0.0	4.999098218718172	0.0	5.009877600901781	0.0	4.996417960224073	0.0	4.998104762317582	0.0	4.995979706013975	0.0	5.006484618539392	0.0	5.00631531380052	0.0	5.002302964009563	0.0	4.998619226590698	0.0	4.997579806461688	0.0	4.9955234037934035	0.0	5.005605658660717	0.0	5.012142578997173	0.0	4.999477643306509	0.0	4.989954699791939	0.0	4.994840372996092	0.0	5.004492968727227	0.0	4.989953271228789	0.0	4.995950897010895	0.0	5.004718140789431	0.0	4.992363645211848	0.0	5.001525981212485	0.0	5.004120498090689	0.0	4.998422120464798	0.0	4.991928513161067	0.0	5.005020263733126	0.0	4.994882115474281	0.0	5.0057076596454655	0.0	5.003377884686944	0.0	4.9966594433729306	0.0	5.004698375371423	0.0	5.003440963482748	0.0	5.00460154246629	0.0	4.9919905326977165	0.0	4.991536728447788	0.0	5.000329948487703	0.0	5.011049488938308	0.0	5.008780690254641	0.0	5.007302349939915	0.0	5.004782536307247	0.0	4.987474165385243	0.0	5.00022548555184	0.0	5.0031339431319815	0.0
2019	4.997670500659258	0.0	5.005275318200569	0.0	5.012645703581765	0.0	5.0124704709261305	0.0	5.011661168045757	0.0	4.994113830235728	0.0	5.000063405322615	0.0	4.994660074594513	0.0	4.987964114037881	0.0	5.007533591054801	0.0	4.9974821555765985	0.0	4.99928368435178	0.0	4.997120487113414	0.0	4.997935675977094	0.0	5.006472940229399	0.0	4.992326102784133	0.0	4.998628025645592	0.0	4.990993989390895	0.0	5.005985871431842	0.0	5.001272714990619	0.0	5.004117933371899	0.0	5.006675052022702	0.0	5.000714212477908	0.0	4.998897549549822	0.0	4.9941136725397035	0.0	4.988315678006909	0.0	4.992551366637436	0.0	4.995416246816768	0.0	4.989483904808851	0.0	4.987249710063179	0.0	5.000472748061658	0.0	5.009972650111529	0.0	5.005403271629158	0.0	4.988950315678241	0.0	5.001250471423935	0.0	4.999809621777039	0.0	4.999943088443148	0.0	5.007296636015997	0.0	4.997589723663693	0.0	5.001293077791003	0.0	4.999214169441748	0.0	5.000292885720652	0.0	4.99311719342682	0.0	5.0039312141111125	0.0	4.997926088939126	0.0	4.99299140534302	0.0	4.9951958348724235	0.0	4.999869039350225	0.0	5.001629838880882	0.0	4.99614502248645	0.0
2379	5.0043720599170145	0.0	4.99967054454809	0.0	4.9997814691556846	0.0	5.001946849327243	0.0	4.992816621334113	0.0	4.99907927418997	0.0	5.001929135645922	0.0	5.006470818107622	0.0	4.992393482892826	0.0	4.992391874367011	0.0	4.994205998454871	0.0	5.0001637056758845	0.0	4.997151953882534	0.0	5.00696194282364	0.0	5.0065512287024	0.0	4.996457625919712	0.0	4.996931447796071	0.0	5.0043338290085515	0.0	5.009549058051581	0.0	4.995908099593049	0.0	5.005873909281722	0.0	4.999862635771967	0.0	5.002313160657617	0.0	4.9915621342098735	0.0	5.001497773725093	0.0	5.0033174379591445	0.0	4.997241784893985	0.0	4.991922341484064	0.0	5.004531674639076	0.0	4.995215981297574	0.0	4.997157461118024	0.0	4.993265406527345	0.0	4.9981068984606845	0.0	4.998157781504697	0.0	5.010444935268624	0.0	4.999841218252574	0.0	4.997182827942669	0.0	5.003743301854175	0.0	5.004046176502353	0.0	4.997517683121456	0.0	5.005637670358499	0.0	4.996922457161028	0.0	4.99192463555047	0.0	4.999963776939149	0.0	5.006230992216232	0.0	5.0000030636063375	0.0	5.011334769174909	0.0	4.997204085785875	0.0	5.002269063094403	0.0	5.001455147282866	0.0
2803	4.9957293111780245	0.0	4.991249326137825	0.0	4.993734304036974	0.0	5.001078428077689	0.0	5.004808180937605	0.0	5.003384505064429	0.0	4.996717965301858	0.0	5.000563957467056	0.0	4.995697578141357	0.0	4.998891391763357	0.0	5.00624315020873	0.0	4.999614824559827	0.0	4.994520440219676	0.0	4.994001631191533	0.0	5.003195949555496	0.0	5.003942294195244	0.0	4.99764462917121	0.0	5.009974819422287	0.0	5.003372683328524	0.0	4.994616656673611	0.0	5.004049713154575	0.0	4.997904616131458	0.0	4.99405018090034	0.0	4.997592344875189	0.0	5.010802589791969	0.0	4.996975030094826	0.0	4.9921098802355335	0.0	4.989377766953429	0.0	5.000909604724668	0.0	4.997347154239941	0.0	5.0004866665114545	0.0	5.011241323315192	0.0	4.996337666163585	0.0	4.991303796132187	0.0	5.001329656927074	0.0	4.9936639866533366	0.0	5.002598153578955	0.0	5.001928120868327	0.0	4.994196189103799	0.0	5.0052326674383805	0.0	4.9962789179903275	0.0	5.002818641232942	0.0	4.99365592392762	0.0	5.001269972351843	0.0	5.002929349526485	0.0	5.005396964122185	0.0	4.9930471313467795	0.0	4.993958096875447	0.0	4.995427785592504	0.0	5.001234055738406	0.0
3303	4.995260275347283	0.0	4.9988560754105045	0.0	5.004245049033981	0.0	5.0047113875398255	0.0	4.99911256411841	0.0	5.00243356351178	0.0	5.001017083631132	0.0	5.000798757403657	0.0	4.992387493780784	0.0	4.99683403232518	0.0	5.003608609156146	0.0	4.998576520922537	0.0	5.002475393999797	0.0	4.988575436240762	0.0	5.0038151716553685	0.0	4.995135641257388	0.0	4.999908447607267	0.0	4.998095797798597	0.0	4.991393438472243	0.0	5.00383400380699	0.0	5.00038159257061	0.0	5.003849634577332	0.0	4.999122662263108	0.0	4.996642391201224	0.0	4.995811451896104	0.0	4.996240202176427	0.0	4.99834127701843	0.0	5.00012045207089	0.0	4.999127791352902	0.0	4.997925328064814	0.0	5.005056820765544	0.0	5.004654176657845	0.0	5.00093132793917	0.0	5.002763810666355	0.0	4.991946332007182	0.0	5.000466432618509	0.0	5.001701214770548	0.0	5.003232565128308	0.0	4.998153903641131	0.0	5.00623449453716	0.0	4.999387457143236	0.0	4.995782137779763	0.0	5.001737573399613	0.0	5.000412574982222	0.0	5.001333844033464	0.0	4.998293989543255	0.0	5.000772467148617	0.0	4.99705149342045	0.0	5.0018120763747556	0.0	5.006181844695854	0.0
