# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	33.94179681574296	0.0	34.172026560528096	0.0	34.09433381774909	0.0	71.09489507316393	0.0	103.22882147396513	0.0	26.34414159844063	0.0	33.27831201496014	0.0	49.635791782496966	0.0	38.262651198110824	0.0	86.22991639166865	0.0	39.343982005495135	0.0	62.967831105871205	0.0	35.68826594032782	0.0	48.33177662258667	0.0	67.21925222413552	0.0	48.792764024869065	0.0	32.48128083120524	0.0	45.26114980610833	0.0	38.08520364336902	0.0	37.87926965380528	0.0	26.67425436114306	0.0	30.40175808663987	0.0	40.77211505484095	0.0	31.315682562232055	0.0	25.9167422115565	0.0	38.50359826611131	0.0	51.119407924060624	0.0	31.97640181417088	0.0	33.356671569676394	0.0	38.82997713603131	0.0	42.72709819075738	0.0	23.78329606710885	0.0	44.53700869489428	0.0	27.998181094012388	0.0	52.56436753227512	0.0	38.682218406312565	0.0	34.58460632074656	0.0	43.3682792705248	0.0	41.64836733285176	0.0	44.831015326260676	0.0	32.6688719007543	0.0	60.86171202650464	0.0	72.60437877223802	0.0	34.59959871185294	0.0	37.55529787789693	0.0	40.62053319275639	0.0	45.10453002060189	0.0	43.51463438904911	0.0	52.08829477340907	0.0	146.97086093061654	0.0
974	0.8692862158674777	0.0	0.8698652952730785	0.0	0.8711419714487962	0.0	0.8879900951130177	0.0	0.8861368928952229	0.0	0.8743583590597049	0.0	0.8890797034758867	0.0	0.8734086476294278	0.0	0.8754241350596973	0.0	0.8753145338326553	0.0	0.872118839642294	0.0	0.8717274510474472	0.0	0.863086140728036	0.0	0.8710151623749554	0.0	0.8645192631629582	0.0	0.8702286439425406	0.0	0.8852242195954735	0.0	0.8797027538376515	0.0	0.8805777797776909	0.0	0.8698046485729407	0.0	0.8811828088302521	0.0	0.8667329522652251	0.0	0.8686008239003474	0.0	0.8797239678159368	0.0	0.8616809706079648	0.0	0.8849903239838448	0.0	0.8757064003086786	0.0	0.8743942034678509	0.0	0.8759113935493359	0.0	0.872119046978088	0.0	0.8803585792844096	0.0	0.8811258032418553	0.0	0.8709640550914549	0.0	0.8765887905172591	0.0	0.8731696779911957	0.0	0.8830006975126325	0.0	0.873295975276759	0.0	0.8725524695553976	0.0	0.8658663537302097	0.0	0.8748711103726805	0.0	0.8888320882728997	0.0	0.878729135101286	0.0	0.866196052340514	0.0	0.8589859636560407	0.0	0.8747024038996221	0.0	0.8810400786702521	0.0	0.8740571001600269	0.0	0.8734783481985781	0.0	0.8809136079148224	0.0	0.880821203954687	0.0
1257	0.4990076109812376	0.0	0.49823223151976964	0.0	0.5015568727255284	0.0	0.5009786278445314	0.0	0.49685679948517253	0.0	0.49697302458338444	0.0	0.5002505436816731	0.0	0.4981855484407112	0.0	0.4923141868549748	0.0	0.4986884096351279	0.0	0.49746946101688544	0.0	0.4976692858473893	0.0	0.49969877196082585	0.0	0.4968226117088614	0.0	0.49682090564218084	0.0	0.5002942302915488	0.0	0.49625841424023853	0.0	0.49619882660796166	0.0	0.4937830206296564	0.0	0.4958480997852547	0.0	0.49910262538526307	0.0	0.49535930143466944	0.0	0.4963051974978295	0.0	0.49826033127646346	0.0	0.49741484438235034	0.0	0.5012080961736204	0.0	0.49918725876338477	0.0	0.4980268691676139	0.0	0.500241327937294	0.0	0.49927800080006457	0.0	0.500731419668979	0.0	0.49763477285025315	0.0	0.4957139986046357	0.0	0.49724374589889514	0.0	0.49633622028140156	0.0	0.498591195378548	0.0	0.49631419518826114	0.0	0.4981320138194316	0.0	0.4976019768351659	0.0	0.4956495991089417	0.0	0.4973143567915915	0.0	0.4983814820074417	0.0	0.49489210829960206	0.0	0.4972142591945665	0.0	0.4965367275779328	0.0	0.4966352730996919	0.0	0.49727337461632687	0.0	0.5014422562876729	0.0	0.49452100433998186	0.0	0.49627759204007005	0.0
1622	0.37194883053164646	0.0	0.37248622349143745	0.0	0.3717799178385004	0.0	0.3717832597367479	0.0	0.3730516976464014	0.0	0.3718964160050986	0.0	0.3729383875001172	0.0	0.3732577926127845	0.0	0.37168106808548995	0.0	0.37223598153915227	0.0	0.3735779145285311	0.0	0.37272698237825513	0.0	0.3707593223178911	0.0	0.37146329803174943	0.0	0.37360847079132525	0.0	0.3718555538465602	0.0	0.37273464956586627	0.0	0.3736961996725345	0.0	0.37352069756437883	0.0	0.37176858845994304	0.0	0.37368878136982875	0.0	0.3726430922202008	0.0	0.37285203540069084	0.0	0.37132657277611936	0.0	0.3731699717328365	0.0	0.37224628004927796	0.0	0.37252406204146443	0.0	0.3722237724551907	0.0	0.3726279556308998	0.0	0.3739189768387585	0.0	0.3727662387985101	0.0	0.37199381299247036	0.0	0.37392582235664923	0.0	0.3728801155871465	0.0	0.3726389380754633	0.0	0.37204011495642475	0.0	0.37413892984152397	0.0	0.3723135120598239	0.0	0.37181642894487127	0.0	0.3721635413490356	0.0	0.37116300146127656	0.0	0.37257641370864836	0.0	0.37178665052478665	0.0	0.3722396948004064	0.0	0.3721919480816402	0.0	0.37230679070295974	0.0	0.37201858105535274	0.0	0.3724467839686836	0.0	0.37232388599281374	0.0	0.3724495634361807	0.0
2094	0.3119436530786567	0.0	0.31197014029337866	0.0	0.31180095342715086	0.0	0.31186319550685887	0.0	0.31254601016769434	0.0	0.31156967838605115	0.0	0.31171242822572487	0.0	0.31213809226513056	0.0	0.3121164634147023	0.0	0.3127256616469407	0.0	0.312482640833048	0.0	0.3115675503457	0.0	0.3118324826453599	0.0	0.3123628651456104	0.0	0.31178027009685283	0.0	0.31188457694584615	0.0	0.311858873355714	0.0	0.3116751602718284	0.0	0.31162392796616206	0.0	0.312472576891384	0.0	0.3114454567344292	0.0	0.31178183506006674	0.0	0.3107676657486615	0.0	0.3124869567606429	0.0	0.3125145144061568	0.0	0.31398121728048295	0.0	0.3119935714655071	0.0	0.31160135705802583	0.0	0.3117802317635052	0.0	0.3128403612201568	0.0	0.31179991875146484	0.0	0.3114412817130788	0.0	0.3115940711452319	0.0	0.3124454695106775	0.0	0.31317780241429644	0.0	0.3117541333841836	0.0	0.3122821550220726	0.0	0.31190772480470513	0.0	0.31187769727527187	0.0	0.31263741738685724	0.0	0.31229078046139636	0.0	0.3111855578115832	0.0	0.3118811474098883	0.0	0.31184310710478025	0.0	0.31147337282547516	0.0	0.3114904464817934	0.0	0.31164253748003634	0.0	0.3124410934562552	0.0	0.3130058247705059	0.0	0.3117744301231777	0.0
2703	0.27711277790332234	0.0	0.2766344642772467	0.0	0.2767252369761187	0.0	0.27724175331803574	0.0	0.2764453016696681	0.0	0.276549900281074	0.0	0.27645445654762874	0.0	0.27719839428339305	0.0	0.27704150233763086	0.0	0.276793686277038	0.0	0.27759394271421406	0.0	0.2768987109242797	0.0	0.2768653273026088	0.0	0.2774722961947535	0.0	0.2773017110915655	0.0	0.27681752934038023	0.0	0.2765854243522583	0.0	0.2775163945063426	0.0	0.2771550820656296	0.0	0.2778724474134225	0.0	0.2772517304756655	0.0	0.277258359347973	0.0	0.27647512053658196	0.0	0.2768484818159724	0.0	0.2767270604775829	0.0	0.2772890223139318	0.0	0.27664293067532525	0.0	0.27674987426751985	0.0	0.27684570351068727	0.0	0.2775729004224872	0.0	0.27660016181282715	0.0	0.276989423479752	0.0	0.2772363856256152	0.0	0.2765930846831252	0.0	0.27618318558524885	0.0	0.27717548285138477	0.0	0.2770582406526242	0.0	0.27735845804053244	0.0	0.2769166342649434	0.0	0.2768633405254925	0.0	0.2768514313210876	0.0	0.2773343707699582	0.0	0.27721208623591465	0.0	0.2770400746478872	0.0	0.2773783360034745	0.0	0.27722025256544225	0.0	0.276616244614366	0.0	0.2769061132758527	0.0	0.27596531438637584	0.0	0.27749881241328545	0.0
3488	0.25509515631663376	0.0	0.2549922253469079	0.0	0.2550339355040312	0.0	0.25488613720913944	0.0	0.2547729803322008	0.0	0.25460199551893153	0.0	0.2548340095454921	0.0	0.255027977352454	0.0	0.2549611384161632	0.0	0.2548005246346142	0.0	0.2554351358873519	0.0	0.2551911299912301	0.0	0.25479321590157067	0.0	0.2547442615115817	0.0	0.25511862334983215	0.0	0.254738175000576	0.0	0.2547081162596418	0.0	0.2554804753688968	0.0	0.25494002681622807	0.0	0.2544402385597875	0.0	0.2554924971647221	0.0	0.2552173190630885	0.0	0.255133375070998	0.0	0.2551197230768743	0.0	0.2548656433080599	0.0	0.2547176529603395	0.0	0.2544378665487246	0.0	0.2549481037458952	0.0	0.2547348994266725	0.0	0.2550078403720073	0.0	0.254806441562081	0.0	0.2550086595835797	0.0	0.2553397925568584	0.0	0.2549068207805663	0.0	0.255403460451968	0.0	0.25515173236800864	0.0	0.2551235036471214	0.0	0.25493072578519993	0.0	0.254431576944996	0.0	0.255095362806807	0.0	0.25510431361348207	0.0	0.2546869531395298	0.0	0.255117765606415	0.0	0.2549541217311905	0.0	0.25502155476975963	0.0	0.2553392969194626	0.0	0.2552628064062297	0.0	0.25465060652697025	0.0	0.2547630761769733	0.0	0.25479461564112055	0.0
4502	0.24020768827271755	0.0	0.2396214215799195	0.0	0.24018186315926368	0.0	0.23995544036519345	0.0	0.24006094311815393	0.0	0.24044310474835773	0.0	0.24046891608095622	0.0	0.23992473013843277	0.0	0.24009827157585012	0.0	0.2400683151987839	0.0	0.23999745274150752	0.0	0.24026926782398175	0.0	0.240048254707102	0.0	0.24008028697445064	0.0	0.24004524681485548	0.0	0.24024099179806382	0.0	0.24036166726452546	0.0	0.23980585335071272	0.0	0.23967094370034941	0.0	0.23951123314346986	0.0	0.24024399008457917	0.0	0.24017627188822152	0.0	0.23980070047445914	0.0	0.2402938926174233	0.0	0.2398128996720089	0.0	0.23965858033994383	0.0	0.23984338287412038	0.0	0.2400755529598963	0.0	0.23986642674530026	0.0	0.24030701940670293	0.0	0.23994147307753225	0.0	0.24001751530229348	0.0	0.240010849953817	0.0	0.23974066893995988	0.0	0.2397865193264935	0.0	0.23970553789680935	0.0	0.24015134114885744	0.0	0.24040430380048397	0.0	0.2399970754494873	0.0	0.23964743490842724	0.0	0.23987954450545806	0.0	0.23979833855509242	0.0	0.23991385689452652	0.0	0.23951713294952356	0.0	0.23986092275547033	0.0	0.24019548922958567	0.0	0.23968435566845403	0.0	0.23953407785392694	0.0	0.24038219222972626	0.0	0.2400372755558827	0.0
5811	0.22981423010660795	0.0	0.22946018394138198	0.0	0.22951232837935817	0.0	0.22971217917744657	0.0	0.22966047675193407	0.0	0.22973554239155733	0.0	0.22968645391162454	0.0	0.22954633925707893	0.0	0.22979156232315115	0.0	0.22984925748682936	0.0	0.22968159098884175	0.0	0.2295934776724946	0.0	0.2297672645615959	0.0	0.2296696260588939	0.0	0.2297178758127056	0.0	0.22973514352412833	0.0	0.22969244171661007	0.0	0.2298935329279791	0.0	0.22974265381269796	0.0	0.22977101578437847	0.0	0.22975269724295416	0.0	0.22953372082794993	0.0	0.22988627356084726	0.0	0.22936833645829416	0.0	0.22981761775683243	0.0	0.22995922836028868	0.0	0.2299304210172021	0.0	0.22961663155965262	0.0	0.22964438937011247	0.0	0.22950608117848523	0.0	0.22943608649896266	0.0	0.22973880055815785	0.0	0.22928338918279512	0.0	0.22963930341695615	0.0	0.22924293252671052	0.0	0.22965084734234126	0.0	0.22984079582938816	0.0	0.22992308298688696	0.0	0.22978190175792676	0.0	0.22972743613506078	0.0	0.22937373401617286	0.0	0.2299872113166785	0.0	0.22951356039730672	0.0	0.22969962749657463	0.0	0.2301269407056299	0.0	0.22947779912455435	0.0	0.22985893890029638	0.0	0.22961850314024018	0.0	0.22969649462509104	0.0	0.22973324958540448	0.0
7500	0.22208877579999337	0.0	0.222322060180611	0.0	0.2222132770403358	0.0	0.2223563489451269	0.0	0.2222782754209007	0.0	0.2225207397036657	0.0	0.2222534092458488	0.0	0.2219529833678778	0.0	0.22232424583385507	0.0	0.22245230720602202	0.0	0.2223984046366376	0.0	0.22225196915609607	0.0	0.222116864998356	0.0	0.22224494438020315	0.0	0.22235780212821185	0.0	0.22232900768739858	0.0	0.2221936314409992	0.0	0.22215587845916754	0.0	0.22252867749501215	0.0	0.22234066216976414	0.0	0.22213770930653254	0.0	0.22210912469528918	0.0	0.2222691230679629	0.0	0.22230837480250829	0.0	0.22239463900026166	0.0	0.22243729341021226	0.0	0.22222153129742606	0.0	0.22202334865907658	0.0	0.22217876244218215	0.0	0.2222121383141497	0.0	0.22231326863691084	0.0	0.22215979782734302	0.0	0.22213133416769656	0.0	0.22214536283886768	0.0	0.22244064202381772	0.0	0.22226592404607182	0.0	0.22246814032453327	0.0	0.2223417632940128	0.0	0.22184100203362672	0.0	0.22204165641718934	0.0	0.2220928894594909	0.0	0.22239324378754463	0.0	0.22233481737823732	0.0	0.22205488246102792	0.0	0.2223660925070341	0.0	0.22208273227890404	0.0	0.22231814530211647	0.0	0.22224671286081457	0.0	0.22219994606675755	0.0	0.22214724447722628	0.0
