# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[a]_run28	std[a]_run28	mean[a]_run29	std[a]_run29	mean[a]_run30	std[a]_run30	mean[a]_run31	std[a]_run31	mean[a]_run32	std[a]_run32	mean[a]_run33	std[a]_run33	mean[a]_run34	std[a]_run34	mean[a]_run35	std[a]_run35	mean[a]_run36	std[a]_run36	mean[a]_run37	std[a]_run37	mean[a]_run38	std[a]_run38	mean[a]_run39	std[a]_run39	mean[a]_run40	std[a]_run40	mean[a]_run41	std[a]_run41	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27	mean[b]_run28	std[b]_run28	mean[b]_run29	std[b]_run29	mean[b]_run30	std[b]_run30	mean[b]_run31	std[b]_run31	mean[b]_run32	std[b]_run32	mean[b]_run33	std[b]_run33	mean[b]_run34	std[b]_run34	mean[b]_run35	std[b]_run35	mean[b]_run36	std[b]_run36	mean[b]_run37	std[b]_run37	mean[b]_run38	std[b]_run38	mean[b]_run39	std[b]_run39	mean[b]_run40	std[b]_run40	mean[b]_run41	std[b]_run41
755	0.0	0.0011005295803838211	0.0	0.0015365841505432152	0.0	0.002013362501841399	0.0	0.0017729993270254741	0.0	0.002484181286168358	0.0	0.0016478508999448944	0.0	0.0023831435478356873	0.0	0.0023910667141192974	0.0	0.0013698262801502493	0.0	0.002873409658831751	0.0	0.0019483466388708823	0.0	0.0018131711158457721	0.0	0.0018517438432701762	0.0	0.0019426008533459278	0.0	0.0016399129675689335	0.0	0.0018058126316495835	0.0	0.0024823708523776054	0.0	0.0022558031403999263	0.0	0.001212126750616153	0.0	0.0015434600380752736	0.0	0.0027180410717359805	0.0	0.0015083142653153224	0.0	0.001548564681721241	0.0	0.002194658419580729	0.0	0.002212781586488074	0.0	0.0014993225280504874	0.0	0.002111650135276202	0.0	0.0018384114920784774	0.0	0.0028682644694621503	0.0	0.002468532341464846	0.0	0.0013798541417320547	0.0	0.001507215372607382	0.0	0.002576578730236434	0.0	0.0018990167269839848	0.0	0.0014137031686548031	0.0	0.001527168295213945	0.0	0.001443489435344006	0.0	0.0032831922437255795	0.0	0.001182075448901171	0.0	0.0029326619158346235	0.0	0.0013211131258038802	0.0	0.0022442261954573354	0.0	0.0996532102140813	0.0	0.08638530620022948	0.0	0.058986466716241595	0.0	0.11953164287695803	0.0	0.08208655910846525	0.0	0.06553313992579266	0.0	0.11525017102401035	0.0	0.12249202936699971	0.0	0.11213513245468343	0.0	0.09992301328098523	0.0	0.09860665599125042	0.0	0.17222193367110442	0.0	0.12012023441406658	0.0	0.12101450142605152	0.0	0.09896583636151263	0.0	0.05909207150599123	0.0	0.05466301738178419	0.0	0.15476701052874836	0.0	0.08619836663052849	0.0	0.13305827905242323	0.0	0.11507533894642344	0.0	0.17834103875125598	0.0	0.08256425789571721	0.0	0.11018750467843445	0.0	0.11035569925765568	0.0	0.14095124310567425	0.0	0.1707567491597558	0.0	0.01581567112236499	0.0	0.09183441942752914	0.0	0.0890329848983223	0.0	0.12762254062587658	0.0	0.09912687582867255	0.0	0.06372596953926166	0.0	0.12012197486944688	0.0	0.08153094001396562	0.0	0.13518800824394397	0.0	0.0547266157960306	0.0	0.10329381496975978	0.0	0.1302749562483143	0.0	0.12080921241365863	0.0	0.11997088299454839	0.0	0.11293065007430152
974	0.0	0.0013727989764612794	0.0	0.0013410292494638466	0.0	0.0014055063907800756	0.0	0.0012930366047152518	0.0	0.001373434464654505	0.0	0.001334149844560008	0.0	0.001357783646969087	0.0	0.0014088700331245112	0.0	0.0015030426696728666	0.0	0.0012654056815976267	0.0	0.0013302034789000852	0.0	0.0013549237484028233	0.0	0.0013602912838797045	0.0	0.001436868574772995	0.0	0.0013396477726233444	0.0	0.001398850029098246	0.0	0.0014508466837953508	0.0	0.0013833911978433791	0.0	0.0013426162473612613	0.0	0.0014071025424370791	0.0	0.001479132299447827	0.0	0.0015626319555484588	0.0	0.00136796361718011	0.0	0.0014043536043825678	0.0	0.001469352511411084	0.0	0.0014825914351302824	0.0	0.0015149325574306514	0.0	0.0012758468863018808	0.0	0.0014636100552333606	0.0	0.0015187811953678671	0.0	0.00145146689380828	0.0	0.0013805988331023358	0.0	0.0012252485647151928	0.0	0.0013591694141265242	0.0	0.0014064259038216516	0.0	0.0015733584478467549	0.0	0.001451175597849838	0.0	0.0014002239811856951	0.0	0.001231249013423953	0.0	0.0014869595409071307	0.0	0.0014796749094400118	0.0	0.00134299299321028	0.0	0.07990186191783052	0.0	0.08357885948518419	0.0	0.07834018309400999	0.0	0.08124462697660378	0.0	0.07558188466796248	0.0	0.07926895888075688	0.0	0.08140657280941775	0.0	0.07842255514842252	0.0	0.07809545849770316	0.0	0.07952120090346065	0.0	0.07655537272246597	0.0	0.07943292234071249	0.0	0.07749213753411317	0.0	0.0841404478925676	0.0	0.07993383885728286	0.0	0.0843413593783442	0.0	0.07961187072603416	0.0	0.08714881418903005	0.0	0.08620139520685238	0.0	0.07719679352047015	0.0	0.08486555434430389	0.0	0.08381858193907145	0.0	0.08397819215587274	0.0	0.07809322028007663	0.0	0.07998007550672515	0.0	0.08663612156233097	0.0	0.07898394240975351	0.0	0.08071095046949082	0.0	0.0804297973287154	0.0	0.08347497167731661	0.0	0.08844486646028588	0.0	0.08034743548093315	0.0	0.0798027640995297	0.0	0.08018082512318542	0.0	0.0828344771108231	0.0	0.08073400600101759	0.0	0.07901793651661708	0.0	0.08688004124787083	0.0	0.08093686417572375	0.0	0.08280031390486368	0.0	0.08599060403239127	0.0	0.08004417512932452
1257	0.0	0.0013627811036281833	0.0	0.0014098811246326846	0.0	0.0013987493556373277	0.0	0.00141185156169268	0.0	0.001418995678946985	0.0	0.0013935590200219125	0.0	0.001431611302065766	0.0	0.0013856661619955203	0.0	0.0014076917741917853	0.0	0.0014467108543272517	0.0	0.0013076005708697793	0.0	0.0014412355509970545	0.0	0.0014815826374886365	0.0	0.0015562757668612646	0.0	0.0014469832412364707	0.0	0.0013798089189991061	0.0	0.0013532807549906318	0.0	0.0013626736301374828	0.0	0.0013508679665423856	0.0	0.0013418016415084426	0.0	0.0013954530238603805	0.0	0.0014569537215660033	0.0	0.0014217652042996564	0.0	0.0014385184855631495	0.0	0.0014583439358840109	0.0	0.0013714821362505046	0.0	0.0014243488594177897	0.0	0.00146964694079057	0.0	0.001408767134035524	0.0	0.0013885483375263687	0.0	0.0013899585872575713	0.0	0.001462711701852314	0.0	0.001416966837447559	0.0	0.0014029405776760473	0.0	0.0013629782401654025	0.0	0.001465612169535492	0.0	0.0014825003107660733	0.0	0.00138845379629466	0.0	0.0014252888905985795	0.0	0.0014913289563336476	0.0	0.0014363408257298388	0.0	0.0014415122141188908	0.0	0.08245956870253517	0.0	0.08353320379311739	0.0	0.08409580442290228	0.0	0.08530087406214613	0.0	0.08476769462513001	0.0	0.08623690976272087	0.0	0.0852721352717087	0.0	0.07816437276051497	0.0	0.08164307236156164	0.0	0.07824229788455728	0.0	0.07729226813940887	0.0	0.08401818046649603	0.0	0.08574625330377635	0.0	0.08530744121174025	0.0	0.0868458636584776	0.0	0.08920818422560593	0.0	0.07717190711767648	0.0	0.0806019746256639	0.0	0.078853003109082	0.0	0.08304493801127684	0.0	0.0824269302626288	0.0	0.08368242873534697	0.0	0.07949145346777933	0.0	0.07998177851625905	0.0	0.08152096136635596	0.0	0.0772662633558062	0.0	0.07929578539672981	0.0	0.08149330055502264	0.0	0.08101126193441523	0.0	0.07963865777845401	0.0	0.08277616651693818	0.0	0.08026433488213854	0.0	0.07922444287551476	0.0	0.08311306311825932	0.0	0.08363214018656223	0.0	0.07952859154841734	0.0	0.0847764824625079	0.0	0.07842359656576023	0.0	0.0875305544536328	0.0	0.07904044760088055	0.0	0.08305197556162179	0.0	0.0787730887993283
1622	0.0	0.00137654726165164	0.0	0.001413423509651238	0.0	0.001440045107764806	0.0	0.0013439374769392413	0.0	0.0014140310267853628	0.0	0.0013752377775007817	0.0	0.0013629020833222471	0.0	0.0014037128838005452	0.0	0.001444971145283791	0.0	0.0014281324997429887	0.0	0.0013512967319756462	0.0	0.0014183154570649587	0.0	0.0014915316176492444	0.0	0.0014232208553308925	0.0	0.0013440971629571888	0.0	0.0013827181986400775	0.0	0.001381814816628409	0.0	0.001436868319309806	0.0	0.0013490376341948448	0.0	0.0014410406757034918	0.0	0.0014181368890011877	0.0	0.001438743661648215	0.0	0.0014222130661999909	0.0	0.0014865555377299284	0.0	0.0014788816236798517	0.0	0.001398508431791556	0.0	0.0014902564673883538	0.0	0.0014673045586543875	0.0	0.0013706241711089542	0.0	0.0014035928583998186	0.0	0.0014313287611293984	0.0	0.0013932801655625786	0.0	0.0013792340911481676	0.0	0.0014172261816978496	0.0	0.001429617544643795	0.0	0.001380093907494364	0.0	0.0014572867311248578	0.0	0.0014505616066413465	0.0	0.001409909341403282	0.0	0.0014209231989470324	0.0	0.0014020095510220523	0.0	0.0013908436869843881	0.0	0.07908105070532202	0.0	0.08218678303522718	0.0	0.08103804702110597	0.0	0.08172321180605949	0.0	0.08135339005110157	0.0	0.08225954933632376	0.0	0.08068047924987763	0.0	0.08207853439638726	0.0	0.0804948490971046	0.0	0.08054783062650325	0.0	0.07988640553796526	0.0	0.08256983786871838	0.0	0.07969129951122533	0.0	0.08085316540770253	0.0	0.08183717629249691	0.0	0.08333206315789736	0.0	0.08273640176964442	0.0	0.08109810531298021	0.0	0.08066651200039289	0.0	0.08062384083354404	0.0	0.08080126550357362	0.0	0.07972038641501192	0.0	0.08215151305522236	0.0	0.07859500419670135	0.0	0.07863211374420048	0.0	0.08665828457490901	0.0	0.08214705548428428	0.0	0.07938162728648224	0.0	0.0776578178119446	0.0	0.08194395793167485	0.0	0.08081228138213632	0.0	0.08218404249784987	0.0	0.08241585468168192	0.0	0.08231912013620807	0.0	0.08119546618238864	0.0	0.0815492395109999	0.0	0.07909247377718784	0.0	0.0832518954943165	0.0	0.0799838277433632	0.0	0.080991277656383	0.0	0.08034169012033991	0.0	0.07795868614771981
2094	0.0	0.0013550604666505836	0.0	0.0013980346687241976	0.0	0.0014540089562566293	0.0	0.0014040650975324395	0.0	0.0014130140630996826	0.0	0.0013682284376133039	0.0	0.0014120439673831707	0.0	0.0014035768475794386	0.0	0.0014143386548659774	0.0	0.0014635152829875044	0.0	0.0013911699153618944	0.0	0.0014315894641663777	0.0	0.001422032308428781	0.0	0.0014552201275452785	0.0	0.0013450389823925783	0.0	0.0014214095387616852	0.0	0.0013963711873270894	0.0	0.001405393383229855	0.0	0.0014340546516372612	0.0	0.0014180563295688737	0.0	0.0013339185527547978	0.0	0.0014401690149534398	0.0	0.0014801163359558737	0.0	0.0014389496205065016	0.0	0.0014527211584886824	0.0	0.0014440602586420035	0.0	0.0014368276910086476	0.0	0.0013873851827739662	0.0	0.001393369244822306	0.0	0.0014312262361080089	0.0	0.0014582346935950946	0.0	0.001373209642527947	0.0	0.0014442919844206694	0.0	0.0013792618477696215	0.0	0.0014431717899073598	0.0	0.001415023191922112	0.0	0.0014412744505917974	0.0	0.0014354965782490026	0.0	0.0013852325141721457	0.0	0.0013985590176293112	0.0	0.0013847190455306558	0.0	0.0014141299840552165	0.0	0.0824822663766816	0.0	0.08068397549706112	0.0	0.08025317953602899	0.0	0.08404742041535174	0.0	0.08268680793928114	0.0	0.0820963608316395	0.0	0.08235904990777715	0.0	0.08125866929652234	0.0	0.08231736937183899	0.0	0.08123343393168911	0.0	0.0823406519634246	0.0	0.08024630433489743	0.0	0.07983963149474983	0.0	0.0820310779136684	0.0	0.08357476812455608	0.0	0.08153388433113593	0.0	0.08334101176767743	0.0	0.08010790353094871	0.0	0.08205111785227057	0.0	0.08086266698547992	0.0	0.08180955970631394	0.0	0.0813166633392971	0.0	0.08501170045435709	0.0	0.08451972414671996	0.0	0.081936728286239	0.0	0.0819380933946512	0.0	0.08156436541993485	0.0	0.08373046924402867	0.0	0.0809697738521491	0.0	0.08263692643315912	0.0	0.0817681409233704	0.0	0.0809218475467177	0.0	0.08119331289825465	0.0	0.08198697145355772	0.0	0.07965309570122821	0.0	0.07887019674895572	0.0	0.08236382761775116	0.0	0.08435057781442383	0.0	0.08203392378866324	0.0	0.08142684408660934	0.0	0.08382077152797268	0.0	0.0797102425649251
2703	0.0	0.001387338422237683	0.0	0.001359498791370007	0.0	0.0014233795642683035	0.0	0.0014094941849978966	0.0	0.0013850842262999096	0.0	0.0014488315427831286	0.0	0.0013815854421635164	0.0	0.0014137173348554852	0.0	0.001426661125764155	0.0	0.0013656331229777638	0.0	0.0014297965967034645	0.0	0.0014333799605533303	0.0	0.0014392546435634478	0.0	0.0014556897528013365	0.0	0.0013691705237770149	0.0	0.0013426228068831047	0.0	0.001384780741589031	0.0	0.0013864845440721473	0.0	0.0014187072953647636	0.0	0.0013923253044262236	0.0	0.0013860389362416897	0.0	0.0013967829091170929	0.0	0.0014648292665626068	0.0	0.0014357202454181185	0.0	0.0014019705616114713	0.0	0.0014596016134610667	0.0	0.0014478914884228785	0.0	0.001394781745000121	0.0	0.0014100950748452284	0.0	0.0014032792957859037	0.0	0.0013765274415581915	0.0	0.0013522877384529563	0.0	0.0014148695269796704	0.0	0.0014129987634436511	0.0	0.0013977491981335506	0.0	0.0014238734487226105	0.0	0.0014246002344831942	0.0	0.0014800091552619968	0.0	0.0014169272583962895	0.0	0.001441858803311051	0.0	0.001405887137815465	0.0	0.0014601521853777836	0.0	0.08026272890848189	0.0	0.08213392518708809	0.0	0.08206188214860764	0.0	0.08181631506930157	0.0	0.08352684734071866	0.0	0.08052885233772757	0.0	0.0824134218315215	0.0	0.082005755472836	0.0	0.08336456859538259	0.0	0.08136112688464608	0.0	0.0826720048793239	0.0	0.08144021447867252	0.0	0.08047366373900518	0.0	0.08281485527731852	0.0	0.08071187151396637	0.0	0.08196675152753587	0.0	0.08104685358478039	0.0	0.08106250912917891	0.0	0.07798664668314098	0.0	0.08129901386101628	0.0	0.08145054451285033	0.0	0.0794096153170317	0.0	0.08162749427410136	0.0	0.08140934749362444	0.0	0.08224449307305381	0.0	0.08065559366312515	0.0	0.08017810730042575	0.0	0.08171870426999353	0.0	0.08352403732353957	0.0	0.0794738461037	0.0	0.0836425657524484	0.0	0.08112205845884182	0.0	0.08415418142101892	0.0	0.08153964621046873	0.0	0.08338230151136203	0.0	0.08081632712612766	0.0	0.08002184314648297	0.0	0.08278686594252035	0.0	0.08057401813196449	0.0	0.08359091759144299	0.0	0.08103685962244761	0.0	0.08387400434768047
3488	0.0	0.0013558410517539527	0.0	0.0013711742312135019	0.0	0.001446158961900152	0.0	0.0014318151032075802	0.0	0.001409571731328845	0.0	0.0014141765730167827	0.0	0.0014193211488316014	0.0	0.001390506534444221	0.0	0.0013984052181542515	0.0	0.0014434306053751	0.0	0.0014124514501307557	0.0	0.0014171190883544604	0.0	0.0014625431985211088	0.0	0.0014276301159505279	0.0	0.0013771134408417803	0.0	0.0014038309306439868	0.0	0.001406438974944459	0.0	0.001403493140008099	0.0	0.0014138110978289568	0.0	0.0014200853631525837	0.0	0.0013776021211164525	0.0	0.0013876990464036696	0.0	0.0014267722809973035	0.0	0.001402082931744555	0.0	0.0014527018540708393	0.0	0.0014540788979258983	0.0	0.0014368982960581403	0.0	0.0014252499983153082	0.0	0.0013595941256642364	0.0	0.0013991056382354442	0.0	0.0013866919808403714	0.0	0.0014028037561432196	0.0	0.0013984678924595334	0.0	0.0013772627440033478	0.0	0.0014061326835254709	0.0	0.001388684187317078	0.0	0.0014375260994577504	0.0	0.0014800747679844092	0.0	0.0014611354527535507	0.0	0.0014089338326716712	0.0	0.0014285671471592916	0.0	0.0014523862055184694	0.0	0.08082647275173317	0.0	0.08183409194532194	0.0	0.07906966641531879	0.0	0.0820462592094437	0.0	0.08151913484685877	0.0	0.08207116770536879	0.0	0.08074234888046279	0.0	0.08205302199544925	0.0	0.08147416405350394	0.0	0.08059683363578667	0.0	0.0807671276148482	0.0	0.07898384544071059	0.0	0.08386565203295059	0.0	0.0796362388999642	0.0	0.08243054497999416	0.0	0.08047751480484722	0.0	0.08555966554187537	0.0	0.08121913529271628	0.0	0.0817758558888789	0.0	0.08283587517233204	0.0	0.08048667663052295	0.0	0.0794347550128271	0.0	0.08248253298842503	0.0	0.08381309149259669	0.0	0.08073185495830915	0.0	0.08175521754098701	0.0	0.08515691880236041	0.0	0.07938333429887516	0.0	0.08209014510474694	0.0	0.08148945669914914	0.0	0.0822138310854577	0.0	0.08236774441856999	0.0	0.08222091222963947	0.0	0.083770720213549	0.0	0.08162973531465073	0.0	0.08252757683370157	0.0	0.08220168918861147	0.0	0.08333638527281713	0.0	0.08131137297289674	0.0	0.08167350566719804	0.0	0.08376201874879471	0.0	0.08300140924077368
4502	0.0	0.0013892013822928706	0.0	0.0013763637929942037	0.0	0.0014003654994245347	0.0	0.0014627298394533183	0.0	0.0014155982354409112	0.0	0.0013974146689309725	0.0	0.0013937603767686026	0.0	0.0013809338363316443	0.0	0.0014120101742058017	0.0	0.0014047258254055934	0.0	0.0014035177440911311	0.0	0.0013745138036963468	0.0	0.0014500394804129971	0.0	0.001425726104493088	0.0	0.0013914032939480489	0.0	0.0013653084956879303	0.0	0.0014180875071433028	0.0	0.001426361944918961	0.0	0.0014321270980744416	0.0	0.0013766447061592556	0.0	0.0014276810874041962	0.0	0.0014504159151146943	0.0	0.001439220848461816	0.0	0.0014428658478052034	0.0	0.0014149498742517482	0.0	0.0014399640316545969	0.0	0.0014191434080289237	0.0	0.0014372730917799957	0.0	0.001398473711592118	0.0	0.0013976164707117159	0.0	0.0013768535573156126	0.0	0.0013851440088739272	0.0	0.0014129161567471174	0.0	0.0013882844538717143	0.0	0.0013919629038095837	0.0	0.0013967950059593384	0.0	0.0014324230379033382	0.0	0.0014239065452721386	0.0	0.0013915832451777868	0.0	0.0013920940018724692	0.0	0.0014411308970242657	0.0	0.0014374916336537937	0.0	0.08220805602717586	0.0	0.08059820113405414	0.0	0.08191869878886973	0.0	0.08167133730444744	0.0	0.08337638918960202	0.0	0.08268306717008904	0.0	0.08002275895997335	0.0	0.08089587965251456	0.0	0.08236038421972472	0.0	0.08247349918348931	0.0	0.07907910092245471	0.0	0.08208557382088985	0.0	0.0814909948101496	0.0	0.0817608912825528	0.0	0.08232387363123106	0.0	0.08149932224696202	0.0	0.08223185101176782	0.0	0.08191953719468535	0.0	0.08139659299476092	0.0	0.08160094622138378	0.0	0.08117825067647512	0.0	0.08151473315690957	0.0	0.08020390064362208	0.0	0.08268924576325469	0.0	0.08100603724507133	0.0	0.08146056949432078	0.0	0.08210983060510113	0.0	0.08257577867031467	0.0	0.08184871897772726	0.0	0.08045547246692991	0.0	0.08122983182062438	0.0	0.08024168451251498	0.0	0.08068402916444861	0.0	0.08150507692758158	0.0	0.08145597207487063	0.0	0.08227552882326308	0.0	0.08234229267153018	0.0	0.08210289613357391	0.0	0.08172045732981637	0.0	0.08277781627218873	0.0	0.08139277170447688	0.0	0.08377777985944651
5811	0.0	0.0013919925608581367	0.0	0.0013779929127287472	0.0	0.0013952948199859707	0.0	0.0013965571193071567	0.0	0.0014306092826678965	0.0	0.001410478652516997	0.0	0.001370094904244279	0.0	0.0013969958392890055	0.0	0.0014468804840965142	0.0	0.001453778891460272	0.0	0.0014085421360627206	0.0	0.0014070435379058728	0.0	0.0014581700197127546	0.0	0.001436407826060982	0.0	0.0013806718141930728	0.0	0.001375937150802233	0.0	0.001402352501009481	0.0	0.001407508817664814	0.0	0.0013894165764554182	0.0	0.0014245652571552388	0.0	0.0014070547312061536	0.0	0.0014296849274435723	0.0	0.0014423423588819251	0.0	0.0014309433499457072	0.0	0.0014375252576554192	0.0	0.001443533405860039	0.0	0.0014445974847361537	0.0	0.0014368789300894763	0.0	0.0014070960754409688	0.0	0.0014055065760976353	0.0	0.0013697565140820787	0.0	0.0013862404057845403	0.0	0.001395353449374947	0.0	0.0013801561901683951	0.0	0.0014167963039873176	0.0	0.001392830412890442	0.0	0.0014044339137381844	0.0	0.0014300254157731359	0.0	0.0014536681695457524	0.0	0.0014147381478871927	0.0	0.0014345860871004975	0.0	0.0014290137590944037	0.0	0.08311754778374625	0.0	0.08182370615591661	0.0	0.08159312311852356	0.0	0.08226674435956713	0.0	0.0808207597381545	0.0	0.08079664171489896	0.0	0.08238900251331671	0.0	0.08294734552986315	0.0	0.08196354151704013	0.0	0.08380292119101013	0.0	0.08178734150045877	0.0	0.08116569860109704	0.0	0.08097351906586481	0.0	0.08173592716604294	0.0	0.0816951004438517	0.0	0.08137705263685636	0.0	0.08031928164608367	0.0	0.08230188619402463	0.0	0.0821091439587831	0.0	0.08313926272124167	0.0	0.08314505457766896	0.0	0.08158566568816694	0.0	0.08110659531158454	0.0	0.0799097270140421	0.0	0.0827529763944387	0.0	0.0807482996169929	0.0	0.08204373524996623	0.0	0.08268336792952685	0.0	0.08059437428572472	0.0	0.0815253911745589	0.0	0.08189559546663064	0.0	0.08157307449542638	0.0	0.08156693635850504	0.0	0.0811094906585447	0.0	0.08138830146702943	0.0	0.08192120632882068	0.0	0.08104204048122271	0.0	0.08273703012390275	0.0	0.08202265481720404	0.0	0.08088514683497898	0.0	0.08105416122265265	0.0	0.08127321526736393
7500	0.0	0.0013693904165842977	0.0	0.0013834822236792515	0.0	0.0014061292126587661	0.0	0.0014173690364311486	0.0	0.0014060678768811345	0.0	0.0013985242604980467	0.0	0.0013899609040426183	0.0	0.0014078895335917648	0.0	0.0014486439498253864	0.0	0.0014296075382358743	0.0	0.001387054547849864	0.0	0.0013852640545404052	0.0	0.0014437275630400548	0.0	0.0014457464269664096	0.0	0.0013990964363881416	0.0	0.0013725562999079809	0.0	0.001392382489632897	0.0	0.0014340591808259182	0.0	0.0013830297756063968	0.0	0.0013923627503038267	0.0	0.0014123427205713303	0.0	0.0014091369782616209	0.0	0.0014470949424574486	0.0	0.0014281383936306541	0.0	0.0014276939552468704	0.0	0.0014438498735289298	0.0	0.0014301250866382625	0.0	0.0014322762999214934	0.0	0.0013877719887123528	0.0	0.0013846679001933144	0.0	0.0013930283376753754	0.0	0.0013923439320264726	0.0	0.001392512340976617	0.0	0.0014131371017205836	0.0	0.0014282263971453926	0.0	0.0013940081660981012	0.0	0.001435301995904274	0.0	0.001466661079972469	0.0	0.0014137311700930474	0.0	0.001414293405384875	0.0	0.0014213724277307332	0.0	0.0014452460392059582	0.0	0.08068152219833753	0.0	0.0806408276111299	0.0	0.08144756112987679	0.0	0.08145655418613745	0.0	0.08117493633517482	0.0	0.08151372617577683	0.0	0.08311273070065575	0.0	0.08226778326831019	0.0	0.08245858723077445	0.0	0.08138681631461371	0.0	0.0814882121000047	0.0	0.0821442162469506	0.0	0.08227444651021305	0.0	0.08206630660689099	0.0	0.08214731068028479	0.0	0.0816555492165715	0.0	0.08064920321924288	0.0	0.08193791804408895	0.0	0.08116086705587391	0.0	0.08147897054531428	0.0	0.08145835716837059	0.0	0.08280618469825425	0.0	0.08134536802995454	0.0	0.08053173023633912	0.0	0.08236271023092848	0.0	0.08201290127498334	0.0	0.08167126303980576	0.0	0.0814574088221318	0.0	0.08163153200515047	0.0	0.08094380568355783	0.0	0.08177852405762716	0.0	0.08244355511607987	0.0	0.08098022733988638	0.0	0.08058086570772292	0.0	0.08176484964510504	0.0	0.08156529686314494	0.0	0.08255694777721602	0.0	0.08172797619674951	0.0	0.08281742060861062	0.0	0.082615086780865	0.0	0.08122263291715194	0.0	0.08109001876962968
