# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	5.003663727953535	0.0	5.007465953110009	0.0	5.004726305816869	0.0	4.9878048835449835	0.0	4.992565769989634	0.0	4.992571624258848	0.0	4.996877051970189	0.0	4.998946624930412	0.0	5.002642213605594	0.0	4.996962448450843	0.0	4.993475663407382	0.0	5.004017023713224	0.0	4.981284296246244	0.0	4.996340486008983	0.0	5.01582722073656	0.0	5.01794028068254	0.0	5.00810303725839	0.0	5.008529735048606	0.0	4.987330528062906	0.0	4.994804113695218	0.0	4.996101122260824	0.0	4.9962710352300075	0.0	4.98912551121916	0.0	4.996337913097447	0.0	4.994912232192425	0.0	5.01027399885307	0.0	4.98743077876539	0.0	4.99029321138605	0.0	4.990258565189826	0.0	5.001313999814918	0.0	4.992605983962154	0.0	4.982463941985049	0.0	5.004496236764338	0.0	4.997232140927008	0.0	4.990245080308114	0.0	5.0050034490151285	0.0	4.993284298453881	0.0	5.00533337697153	0.0	5.004661494304832	0.0	4.998044968462257	0.0	4.988185185327097	0.0	4.9864594968966065	0.0	5.0098565612975685	0.0	4.992884477444845	0.0	4.99156506111696	0.0	4.992437749796922	0.0	5.004083237386678	0.0	4.982540942873711	0.0	4.988971151620906	0.0	5.011904321057487	0.0
974	5.0066238223744515	0.0	5.009932683490374	0.0	4.998406013465211	0.0	5.004775878741084	0.0	4.9966490892898605	0.0	4.992412043539057	0.0	5.005045320953655	0.0	4.993753455519694	0.0	4.986223087319387	0.0	5.016264068071136	0.0	5.005020708131966	0.0	4.992456937501681	0.0	4.99776678452748	0.0	5.002311245440555	0.0	4.996668863173895	0.0	5.009344852235019	0.0	5.0073789102104245	0.0	5.002354072521954	0.0	4.98706464294089	0.0	4.994051732488124	0.0	4.9923786325548365	0.0	5.004069855884808	0.0	4.99328282557961	0.0	4.995020808335082	0.0	5.004822931653946	0.0	4.995539047948582	0.0	4.996375583171155	0.0	4.993768555201798	0.0	5.009253592801817	0.0	5.008171014732985	0.0	4.996592473031849	0.0	5.002961194024189	0.0	5.009898219811641	0.0	5.003947641241472	0.0	4.990227658239543	0.0	5.0003020415778705	0.0	4.9749933762578245	0.0	4.997228523346518	0.0	5.001562382234651	0.0	4.99282262729856	0.0	5.002421533717214	0.0	5.011855091351271	0.0	5.001945021665522	0.0	4.998968375761549	0.0	5.0038105167941955	0.0	4.9988186751803	0.0	5.01178429099683	0.0	5.010993810506142	0.0	5.00256272423536	0.0	5.0029794605323135	0.0
1257	4.996797670652006	0.0	5.004218786226486	0.0	5.001125250517972	0.0	5.000197054549086	0.0	4.995513364878707	0.0	5.002003653046243	0.0	4.990368203238585	0.0	5.004720051675888	0.0	5.008754262994639	0.0	4.9965549834513014	0.0	4.9925749263860455	0.0	4.996277255313438	0.0	4.990951679631797	0.0	4.987881465391116	0.0	4.993718012475801	0.0	5.002258613064009	0.0	4.991763267043731	0.0	5.006634960858473	0.0	4.9919091634820285	0.0	5.009078597443785	0.0	5.00122527820564	0.0	4.9923208911977195	0.0	5.010181099978492	0.0	4.998406548975208	0.0	4.996253154676651	0.0	4.999747463931673	0.0	5.003560498880112	0.0	5.0048486716899925	0.0	5.015254481007016	0.0	4.992581011635258	0.0	4.98744804840029	0.0	5.00039321620358	0.0	4.999864178284806	0.0	4.99933127562708	0.0	5.006580752044695	0.0	5.004197072030525	0.0	5.004023090008347	0.0	5.012345257502111	0.0	5.009190365787333	0.0	5.0127391675964414	0.0	4.988224785056647	0.0	4.991576326206972	0.0	5.001795238921933	0.0	4.998344321793675	0.0	5.005803468728068	0.0	5.001865568556237	0.0	4.995545902890459	0.0	5.006596752432318	0.0	4.987407770243051	0.0	4.999705056872254	0.0
1622	5.009775178562137	0.0	4.99972038065681	0.0	5.000385788528305	0.0	5.007295989579594	0.0	4.9894049340719	0.0	4.99325564706565	0.0	5.000652772437116	0.0	5.001766967254467	0.0	4.995074375359356	0.0	5.004255934652406	0.0	4.998900087950228	0.0	4.994734765690107	0.0	4.985003579555592	0.0	4.9943262799731585	0.0	5.003915575250885	0.0	4.998896346457743	0.0	4.995153856731826	0.0	4.996091233370506	0.0	4.996500350426464	0.0	4.998061122107148	0.0	4.995874057138587	0.0	5.012181531812792	0.0	4.99487332349413	0.0	5.004945174242884	0.0	5.003522347324347	0.0	4.99731197623666	0.0	4.992902405288585	0.0	4.995963645676255	0.0	4.998660404496477	0.0	4.995084418229503	0.0	4.994839049060639	0.0	5.001420288749338	0.0	4.993385573840481	0.0	4.9854835628558325	0.0	4.9972910917930795	0.0	5.000939601767577	0.0	5.002774794176029	0.0	4.995873678375368	0.0	4.998203998089181	0.0	5.0231175912610375	0.0	5.0004284599878455	0.0	5.006042660549092	0.0	5.000201408165163	0.0	5.001476963784311	0.0	4.994376438415553	0.0	5.00561083576701	0.0	4.997373964612869	0.0	5.000576460004893	0.0	4.99877152265724	0.0	5.000290767825698	0.0
2094	5.003229387232598	0.0	4.994120770838558	0.0	4.990009142806962	0.0	4.993693086868825	0.0	5.000837209951706	0.0	4.992832951815768	0.0	4.99289269319499	0.0	5.000703970771986	0.0	5.000543474708242	0.0	5.002750876246189	0.0	5.004695260599915	0.0	4.995307240076182	0.0	5.005671188577151	0.0	4.9976124521303715	0.0	4.999755526603628	0.0	4.994936739269111	0.0	5.003731212166939	0.0	4.993072135106034	0.0	5.003868490156269	0.0	4.999420337875841	0.0	4.997603126443092	0.0	4.998867154645632	0.0	4.997744263984468	0.0	5.00776117344426	0.0	4.994116187702012	0.0	5.002100039357622	0.0	4.999456427507805	0.0	4.998223779814641	0.0	4.997408563249017	0.0	4.991799861558711	0.0	5.005094667837043	0.0	5.0065473496243245	0.0	5.00806039152695	0.0	4.996773705757328	0.0	5.001272868697313	0.0	4.999135307438219	0.0	5.003050986700065	0.0	4.996600641988556	0.0	5.004739491863062	0.0	4.996064336877568	0.0	4.999027572635523	0.0	4.997148996731341	0.0	4.997420720457921	0.0	5.002353003231642	0.0	5.011248652860077	0.0	4.993067539519269	0.0	4.997497445560172	0.0	5.00026577323233	0.0	4.994760891309042	0.0	5.003191204365637	0.0
2703	4.992799256782085	0.0	5.00128367807456	0.0	4.990300297929547	0.0	4.996898871234674	0.0	5.006865382875085	0.0	4.999288377829564	0.0	5.003275320107016	0.0	5.008413931532596	0.0	4.992337121450495	0.0	5.000133392039742	0.0	4.997702051540214	0.0	5.0013282060887985	0.0	4.997454483039011	0.0	5.003540170692051	0.0	4.9975822317528324	0.0	4.995765496170285	0.0	5.00228322518763	0.0	4.992315355271134	0.0	4.996438745471064	0.0	4.9998764370386874	0.0	4.9984023591292095	0.0	4.997356294408337	0.0	5.000980818611775	0.0	4.99657663822822	0.0	5.002269806951045	0.0	4.991875472594059	0.0	5.004545388815658	0.0	5.00449141540709	0.0	5.009962090058585	0.0	4.993754358610419	0.0	4.994806252621204	0.0	4.997321371097231	0.0	4.9993679869180285	0.0	4.999917832038189	0.0	4.994160729693648	0.0	5.006135099429733	0.0	5.002312398001725	0.0	4.997937561309127	0.0	4.999330089529244	0.0	4.992005327869371	0.0	5.0085997811127285	0.0	5.0025089613752725	0.0	5.001785434441611	0.0	5.002899027645887	0.0	4.997313858675433	0.0	4.992639553270088	0.0	4.999943909217486	0.0	5.008733943053412	0.0	4.998071186925408	0.0	5.00333799632419	0.0
3488	5.013231734688985	0.0	5.00834750666468	0.0	4.995718078621358	0.0	4.994404744033619	0.0	5.001032598613831	0.0	4.996347844978055	0.0	5.0018965395539405	0.0	5.005342661025006	0.0	5.002385509013544	0.0	5.000581079737829	0.0	5.002536668533709	0.0	5.00783726319252	0.0	5.001220397423308	0.0	4.9991659379594	0.0	5.0091160489092275	0.0	4.993398186407426	0.0	5.008268813443036	0.0	5.007602155515332	0.0	4.991485257946442	0.0	4.997325912965489	0.0	5.001963980750316	0.0	4.99725372798784	0.0	4.9969402179480875	0.0	5.003735689806308	0.0	4.995616964082765	0.0	4.998194800414751	0.0	4.9994793167870375	0.0	4.996698453973311	0.0	5.002111203829103	0.0	5.0051723482213895	0.0	4.993402103485736	0.0	4.99357790295067	0.0	4.998156310532178	0.0	5.003344259177134	0.0	5.0079751768956955	0.0	5.006881199433766	0.0	4.994095159465726	0.0	4.996925695375109	0.0	4.997920826018111	0.0	5.000810833460198	0.0	4.996111327831003	0.0	5.001289950398673	0.0	5.000956411218578	0.0	4.996373310663402	0.0	5.003767092681351	0.0	5.004843340189127	0.0	5.002924271595482	0.0	5.008430136194468	0.0	5.001211240005427	0.0	4.999502695039143	0.0
4502	4.997129579643912	0.0	4.993104296998042	0.0	4.991863357473402	0.0	5.002297283925785	0.0	4.9992173794236425	0.0	4.996949971342762	0.0	5.005327043177203	0.0	4.998839735925052	0.0	5.002433711379123	0.0	4.993551092765729	0.0	4.998838020874351	0.0	4.999499586987381	0.0	5.001061146698951	0.0	4.998775882964625	0.0	4.996706708176302	0.0	4.995342214555796	0.0	5.003134326186905	0.0	4.996671525263335	0.0	5.002155812345035	0.0	4.997195575366044	0.0	5.00402840026662	0.0	5.002084514518605	0.0	5.01068276770019	0.0	5.0034646946433385	0.0	5.0001991114766415	0.0	5.000920162801301	0.0	5.006761936751134	0.0	4.994926960619497	0.0	5.004676284965819	0.0	4.991838202509859	0.0	5.00006104332008	0.0	5.0047873602641415	0.0	4.998669938467211	0.0	4.993654223383181	0.0	4.997611379522012	0.0	4.999681624295345	0.0	4.998377621951274	0.0	4.999899388393216	0.0	5.003889002642504	0.0	4.996251099906724	0.0	5.001365064680231	0.0	4.997139826837525	0.0	5.005501106991574	0.0	4.995894088186228	0.0	4.9970991428423535	0.0	4.999738261597953	0.0	4.996338754282059	0.0	4.997665295945498	0.0	4.9980884886689125	0.0	4.998740425160974	0.0
5811	4.998066128901325	0.0	4.9962425613430534	0.0	4.998719404931232	0.0	5.000573452812953	0.0	4.998870917925904	0.0	5.005116316730363	0.0	5.000204822444884	0.0	5.005393984011307	0.0	5.001656235744992	0.0	4.996528109165524	0.0	5.005337436970159	0.0	4.999102181728422	0.0	5.003793818216637	0.0	5.00231560637195	0.0	4.999607063744834	0.0	4.997583294624499	0.0	5.000027639515012	0.0	4.99986752338955	0.0	5.006487654647673	0.0	5.001500105425654	0.0	4.9969202039166785	0.0	5.004649587108023	0.0	4.996193683034584	0.0	5.003629696786299	0.0	4.998738998381648	0.0	4.998181729413849	0.0	5.001294156631283	0.0	4.997061985692844	0.0	5.001063573405315	0.0	5.003507916577075	0.0	4.998698432180148	0.0	4.999156159444781	0.0	4.998371838227812	0.0	5.0043175861168185	0.0	4.99839997175706	0.0	5.0052274345621575	0.0	5.007705064715269	0.0	4.998211115333304	0.0	5.002474031470843	0.0	5.002254873937999	0.0	5.00202607475317	0.0	4.997692315324828	0.0	5.004174560479443	0.0	5.0018780058556	0.0	4.9964220281274425	0.0	5.003305351391059	0.0	5.0022771615214054	0.0	4.9949223273109675	0.0	5.004692675818349	0.0	5.002478278259979	0.0
7500	4.997247740819194	0.0	4.9961697076416485	0.0	4.995880676127662	0.0	5.002059388011424	0.0	4.999910194557099	0.0	5.000260457878004	0.0	5.001507332074706	0.0	5.001851030569396	0.0	5.000583272548563	0.0	4.994494066386513	0.0	5.000860099269146	0.0	5.002415326632694	0.0	4.9988626965551015	0.0	5.00418592441468	0.0	4.996425429718335	0.0	4.998110283052348	0.0	5.004627311208853	0.0	4.998787138256362	0.0	4.997628957339958	0.0	5.002613173490028	0.0	5.008069967920898	0.0	5.005435549136404	0.0	4.997614001412659	0.0	4.998987831509923	0.0	5.000291138963545	0.0	5.001972639528471	0.0	4.995419353414296	0.0	5.001987084460753	0.0	5.002599301925864	0.0	4.999249807302214	0.0	5.002467363222628	0.0	4.999204477862345	0.0	4.996275540577035	0.0	4.999311506214013	0.0	5.000138365223308	0.0	4.999586843235358	0.0	5.000661016035455	0.0	5.00052704414951	0.0	5.000822304177202	0.0	4.999958044388399	0.0	4.999704309642488	0.0	5.002004278545849	0.0	4.9976504786228855	0.0	4.999199881560929	0.0	5.002228217193576	0.0	4.998333257522187	0.0	4.997156703142816	0.0	4.9975453802156125	0.0	4.996062829746638	0.0	5.00552728383979	0.0
