# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27	mean[tr]_run28	std[tr]_run28	mean[tr]_run29	std[tr]_run29	mean[tr]_run30	std[tr]_run30	mean[tr]_run31	std[tr]_run31	mean[tr]_run32	std[tr]_run32	mean[tr]_run33	std[tr]_run33	mean[tr]_run34	std[tr]_run34	mean[tr]_run35	std[tr]_run35	mean[tr]_run36	std[tr]_run36	mean[tr]_run37	std[tr]_run37	mean[tr]_run38	std[tr]_run38	mean[tr]_run39	std[tr]_run39	mean[tr]_run40	std[tr]_run40	mean[tr]_run41	std[tr]_run41	mean[tr]_run42	std[tr]_run42	mean[tr]_run43	std[tr]_run43	mean[tr]_run44	std[tr]_run44	mean[tr]_run45	std[tr]_run45	mean[tr]_run46	std[tr]_run46	mean[tr]_run47	std[tr]_run47	mean[tr]_run48	std[tr]_run48	mean[tr]_run49	std[tr]_run49
755	63.10099052383494	0.0	59.37581382825552	0.0	43.05023090572631	0.0	105.22518654643235	0.0	42.38990260153761	0.0	43.8146403051491	0.0	43.2749275278189	0.0	36.25581774662391	0.0	48.03324299190695	0.0	32.674753763808795	0.0	64.57719181844935	0.0	40.14765601715375	0.0	49.71546512483861	0.0	37.9881816722638	0.0	49.04439755567972	0.0	23.67208918502519	0.0	41.03848149835107	0.0	37.81323830214376	0.0	41.68948210093356	0.0	50.018708903642136	0.0	39.079914797791254	0.0	64.47702047929101	0.0	40.52500628442563	0.0	33.487852271780035	0.0	42.22120451685146	0.0	26.06901110725759	0.0	41.378054177135496	0.0	29.61350643194631	0.0	41.69803054854577	0.0	54.27858262363613	0.0	82.82399261506973	0.0	60.71367474289906	0.0	46.069435072437024	0.0	67.98583886301317	0.0	72.50609117978534	0.0	43.767589034517336	0.0	30.857915019245596	0.0	35.04404267874456	0.0	33.49660718241661	0.0	38.84096104624567	0.0	66.01767907355926	0.0	58.31984545148406	0.0	29.352652409853768	0.0	51.81997632520447	0.0	36.304889676923224	0.0	57.02560030929792	0.0	40.277871803695504	0.0	30.92088739616135	0.0	39.83589255832185	0.0	39.55416108789266	0.0
974	0.8839709460444204	0.0	0.8644697687699742	0.0	0.8772860900103554	0.0	0.8782314223618771	0.0	0.8696352684980351	0.0	0.8854190059283837	0.0	0.8680299805363635	0.0	0.8815597170004291	0.0	0.8773497971794328	0.0	0.8862802610530628	0.0	0.8679213950631156	0.0	0.89024565963079	0.0	0.8720113454399786	0.0	0.8709274353783406	0.0	0.8876590943832495	0.0	0.8836703473526875	0.0	0.8809328940304598	0.0	0.8820672494255526	0.0	0.8750864070961466	0.0	0.8713616228055862	0.0	0.8821536349587396	0.0	0.8788792129574061	0.0	0.8814600367852554	0.0	0.8744105811160723	0.0	0.8734193592449607	0.0	0.8674196696405041	0.0	0.8760097145250675	0.0	0.8765603483636657	0.0	0.8750679466827602	0.0	0.8780463464703714	0.0	0.8744842835389676	0.0	0.8717899497428114	0.0	0.8668856223508152	0.0	0.8717545049919553	0.0	0.8750472113626827	0.0	0.8828650665671145	0.0	0.8750145140411777	0.0	0.8792344091932012	0.0	0.8766584230330247	0.0	0.870712074797246	0.0	0.8708129224665627	0.0	0.8770879555704033	0.0	0.8803213171847739	0.0	0.8736509144470589	0.0	0.8814778144598446	0.0	0.8890394826054582	0.0	0.859636705747377	0.0	0.8669095030790788	0.0	0.8790052954770227	0.0	0.8802605601223469	0.0
1257	0.49985706777307976	0.0	0.49647301745060457	0.0	0.4967288415962571	0.0	0.4940733936516241	0.0	0.4953630598273198	0.0	0.4976783504624913	0.0	0.4966411947665448	0.0	0.4958736968042965	0.0	0.49725828772619235	0.0	0.49870174327557604	0.0	0.4978568697739285	0.0	0.49628059808533437	0.0	0.4975533457870715	0.0	0.49936378337958603	0.0	0.4988749133591488	0.0	0.49646129493772695	0.0	0.4978359795388863	0.0	0.4978784943169043	0.0	0.4995304183609928	0.0	0.4974677202529609	0.0	0.49534173645807655	0.0	0.49908890721693916	0.0	0.4932131241808723	0.0	0.4963372852507694	0.0	0.4959326808649636	0.0	0.49842563277651264	0.0	0.4955994600581409	0.0	0.4967317069600905	0.0	0.4968611284190469	0.0	0.498572978604482	0.0	0.497329118288012	0.0	0.49602982593833306	0.0	0.4966475686810069	0.0	0.5001057952661495	0.0	0.4980097192403645	0.0	0.49563616170289665	0.0	0.49587977348280116	0.0	0.49840783425926877	0.0	0.4957447133430389	0.0	0.49552915116712953	0.0	0.49610773824673393	0.0	0.4994561976586671	0.0	0.4975293388875409	0.0	0.49694292708348775	0.0	0.49446107029543196	0.0	0.49740413824587965	0.0	0.49731224885658687	0.0	0.49603078894545	0.0	0.4979753368804835	0.0	0.4999733792729965	0.0
1622	0.37250927529144345	0.0	0.37329194378892666	0.0	0.373152349409625	0.0	0.3714697474812065	0.0	0.3729291801388262	0.0	0.37230854704278976	0.0	0.3719840012930778	0.0	0.37359956508236336	0.0	0.3733476244977873	0.0	0.3733629696423377	0.0	0.3725825163842516	0.0	0.372927370352434	0.0	0.3737817450159978	0.0	0.37195175854100787	0.0	0.37144507360355705	0.0	0.37291784615529333	0.0	0.3723019637942295	0.0	0.3743336291108103	0.0	0.3728987139431803	0.0	0.37378014403272314	0.0	0.37420338617581544	0.0	0.3714793145768164	0.0	0.37425597251539555	0.0	0.3712492582005425	0.0	0.3726939241859479	0.0	0.3731518763189981	0.0	0.37293324280044876	0.0	0.3726085371891544	0.0	0.3729437105241632	0.0	0.3716720113932805	0.0	0.3735702573302329	0.0	0.3727650745971427	0.0	0.374359722416802	0.0	0.37365179329403253	0.0	0.3737816586773972	0.0	0.3731039289276746	0.0	0.3715028941183899	0.0	0.3738454486218549	0.0	0.37309992937009534	0.0	0.3711731404614607	0.0	0.3721289207571693	0.0	0.3714309549397795	0.0	0.3720134325008042	0.0	0.3737224962405433	0.0	0.3733669788195717	0.0	0.37226349530453007	0.0	0.3726268154687578	0.0	0.37214560026370375	0.0	0.3726685244112024	0.0	0.37337709374547007	0.0
2094	0.31159757641272207	0.0	0.3128857843874961	0.0	0.31260317487489836	0.0	0.31195866641087505	0.0	0.3114916389181925	0.0	0.3123495831793415	0.0	0.31317559953224605	0.0	0.31135109990285015	0.0	0.3115289219695313	0.0	0.3116352406989563	0.0	0.3121093166593362	0.0	0.3120285262919631	0.0	0.3110227707088427	0.0	0.3119509721166575	0.0	0.312791291462497	0.0	0.311737236102931	0.0	0.3114949717847134	0.0	0.31268479135483807	0.0	0.31178546458187617	0.0	0.31167801800418976	0.0	0.3112641509106667	0.0	0.3118304460088911	0.0	0.31149556442844784	0.0	0.3108059703816657	0.0	0.3126776780976917	0.0	0.3119743833659475	0.0	0.3119603561113689	0.0	0.31273839500216527	0.0	0.31219747544888526	0.0	0.31270220356616385	0.0	0.3114566638153729	0.0	0.3111391917815234	0.0	0.31178021662378347	0.0	0.3119226551727588	0.0	0.3121279960686969	0.0	0.31174580173035504	0.0	0.31153876106609474	0.0	0.3121774012252329	0.0	0.31141966826762024	0.0	0.31276043737127035	0.0	0.3116841108997019	0.0	0.3125775548376457	0.0	0.3120871604855747	0.0	0.31273459563766803	0.0	0.3109709844078825	0.0	0.31275970104526596	0.0	0.3127397524220417	0.0	0.3114925195724853	0.0	0.3120986023121747	0.0	0.31204603333586584	0.0
2703	0.27753425194052256	0.0	0.27676150068612254	0.0	0.2771506357297189	0.0	0.27714805602997467	0.0	0.2766846645589688	0.0	0.2766304320047354	0.0	0.27668268388806655	0.0	0.27662882595389565	0.0	0.27744836138008716	0.0	0.2765821799939941	0.0	0.27711217340801647	0.0	0.27656632640005563	0.0	0.27735614573217776	0.0	0.27715520306703545	0.0	0.2771142548972087	0.0	0.27716570040049054	0.0	0.2766059671441998	0.0	0.2774939796987135	0.0	0.27748373564092393	0.0	0.27702494676170136	0.0	0.27696780149633166	0.0	0.27668449443403553	0.0	0.27725571827177303	0.0	0.27726180275023643	0.0	0.27677837024580376	0.0	0.277322919431674	0.0	0.2770232419546208	0.0	0.2766537449815805	0.0	0.276008707091591	0.0	0.2770840984579728	0.0	0.27688047395911397	0.0	0.27695541091179937	0.0	0.2773605082713365	0.0	0.27677173518036896	0.0	0.2773815120177556	0.0	0.2769804254775717	0.0	0.2769583033655067	0.0	0.2772674795486457	0.0	0.27724820182789	0.0	0.2773545820660597	0.0	0.27677153935631765	0.0	0.2766964091356391	0.0	0.27654757715935085	0.0	0.27635648484429065	0.0	0.2772271891972491	0.0	0.2775469397801844	0.0	0.27686123178177063	0.0	0.27639545320088676	0.0	0.27734683460386106	0.0	0.2767591878845421	0.0
3488	0.2541083028287935	0.0	0.2548014239056481	0.0	0.2550521921768338	0.0	0.25479471392004766	0.0	0.2548467137911989	0.0	0.25511428486307275	0.0	0.2546620599699623	0.0	0.2546793753387626	0.0	0.25491438484747225	0.0	0.25465645713986396	0.0	0.2548059377055133	0.0	0.2544746972337607	0.0	0.2545761417577099	0.0	0.25483915138525737	0.0	0.2546621152470938	0.0	0.25514594415238223	0.0	0.25465628416130554	0.0	0.25483194834081907	0.0	0.25534161700413355	0.0	0.2548972752270707	0.0	0.25464015512798716	0.0	0.2548972270806334	0.0	0.2551433938937931	0.0	0.25466728989232185	0.0	0.2551172986925457	0.0	0.2549374216186532	0.0	0.2550057414590869	0.0	0.25475243692696875	0.0	0.2545619414751893	0.0	0.25466611385797233	0.0	0.2554538786409728	0.0	0.2551645580481643	0.0	0.25514112735457883	0.0	0.2548566687168337	0.0	0.254662031728529	0.0	0.2545045339009523	0.0	0.2553387896344674	0.0	0.2551016370767617	0.0	0.25471781902200236	0.0	0.25486525126943754	0.0	0.255086816723404	0.0	0.25506552643759595	0.0	0.2549170972569355	0.0	0.25494252717229005	0.0	0.25486865797375	0.0	0.25462543659310766	0.0	0.25473842730394436	0.0	0.25442742857498063	0.0	0.25487023967136035	0.0	0.25488164760797455	0.0
4502	0.24000448826258738	0.0	0.24036241813504072	0.0	0.2405264449152362	0.0	0.2399407077553151	0.0	0.24024655967664413	0.0	0.24027176188612667	0.0	0.2398291293448407	0.0	0.24016762330572344	0.0	0.23981743838375094	0.0	0.2403077276615054	0.0	0.24006211319690335	0.0	0.2401018952229456	0.0	0.2398096113614644	0.0	0.24010646536240832	0.0	0.23982051688206327	0.0	0.23998363125396982	0.0	0.23985674770876653	0.0	0.24014834045671918	0.0	0.23991547281635228	0.0	0.24011031390126122	0.0	0.239906725807233	0.0	0.23976265851319076	0.0	0.2395465881689867	0.0	0.23998732504922188	0.0	0.23991294148783615	0.0	0.23980595391133824	0.0	0.23967604495791056	0.0	0.24028681249672315	0.0	0.23965765482590315	0.0	0.24046768212738953	0.0	0.23998021869668973	0.0	0.23978259844970617	0.0	0.24009520158711542	0.0	0.24033497417354582	0.0	0.24005547412694211	0.0	0.2400373486632557	0.0	0.23992341771161796	0.0	0.24026814416263084	0.0	0.23994695963745832	0.0	0.24025263825425985	0.0	0.23996891126292552	0.0	0.240402693400167	0.0	0.23972615794349228	0.0	0.24016531733523858	0.0	0.24025346352658447	0.0	0.24001347124157163	0.0	0.2400335785290299	0.0	0.2401019118905461	0.0	0.24004572602506902	0.0	0.24024768061245141	0.0
5811	0.22964234100552394	0.0	0.2298178453857804	0.0	0.22964994670999478	0.0	0.22967800580117448	0.0	0.2298595325491495	0.0	0.22967481919240443	0.0	0.22982013731906417	0.0	0.2295454063182739	0.0	0.22957576242698238	0.0	0.22985806302132808	0.0	0.22943154864608112	0.0	0.22977082549021216	0.0	0.22942207331151698	0.0	0.2297152806228964	0.0	0.22980627772984297	0.0	0.22981495571132032	0.0	0.22955499185839745	0.0	0.22967352985158407	0.0	0.22933636221069567	0.0	0.229579257757292	0.0	0.2297874173200143	0.0	0.22957110716713752	0.0	0.22979616930588087	0.0	0.22941238929352126	0.0	0.2298130907411877	0.0	0.22986997604948786	0.0	0.2296048948641762	0.0	0.2299413921829223	0.0	0.22950009077082392	0.0	0.2296818539064029	0.0	0.22990650770393337	0.0	0.2297247117731732	0.0	0.22983833275970478	0.0	0.22954041978179082	0.0	0.2297594885340813	0.0	0.22949925268357776	0.0	0.22935996863164754	0.0	0.2296972644683276	0.0	0.22957506094473976	0.0	0.2295267788947987	0.0	0.22964525913344755	0.0	0.22973643384575476	0.0	0.22968786550819695	0.0	0.22953255934547323	0.0	0.22991117695784077	0.0	0.22962559100684643	0.0	0.22957909767647355	0.0	0.22987873381014476	0.0	0.22960709166727816	0.0	0.22946602086729903	0.0
7500	0.22236641410658028	0.0	0.22243084014188014	0.0	0.22235101727370146	0.0	0.22212791565532977	0.0	0.22223688576762102	0.0	0.22220372614320832	0.0	0.22223204876860442	0.0	0.22219405425531136	0.0	0.22209644098243167	0.0	0.22245165062638528	0.0	0.2221217192006637	0.0	0.2222524069506023	0.0	0.2222477277086441	0.0	0.22202745186065523	0.0	0.22233494783093158	0.0	0.22233352337234055	0.0	0.22206273640281404	0.0	0.22237105566565205	0.0	0.22248921306634506	0.0	0.22212478053063955	0.0	0.2219320296538968	0.0	0.22203342046319577	0.0	0.2223508863145259	0.0	0.22232999747246626	0.0	0.22222134342223282	0.0	0.22214697560909902	0.0	0.22253616757964975	0.0	0.22210756734958492	0.0	0.22219074980480116	0.0	0.22241034223102227	0.0	0.222154430656954	0.0	0.2223056628140608	0.0	0.22248825334749425	0.0	0.22233552448070332	0.0	0.2222623087968581	0.0	0.2223057269825785	0.0	0.2222449517013212	0.0	0.22224125954765692	0.0	0.2222626706606793	0.0	0.22233370044426867	0.0	0.22237228460730235	0.0	0.2221526504778399	0.0	0.22229274636935056	0.0	0.22228733525755728	0.0	0.22222893041298578	0.0	0.2223277771665312	0.0	0.22246268286276222	0.0	0.22241054407280303	0.0	0.22241337200587216	0.0	0.2220309555949714	0.0
