# n_S	sigma(sigma^2_a)	sigma(sigma^2_b)	TJK13(a)	TJ14(a)	TJK13(b)	TJ14(b)
755	1.4697054336938864e-06	0.005556389160612013	1.1253688825250095e-08	7.957559681697613e-09	3.7512296084166986e-05	2.6525198938992047e-05
974	9.782255272075184e-07	0.003309069370360015	4.35084675873631e-08	0.0	0.00014502822529121036	0.0
1257	1.1165402405869865e-06	0.0036567295410276134	5.070639551995429e-08	0.0	0.00016902131839984766	0.0
1622	1.2133870315685272e-06	0.004058856036389242	5.1525399610298314e-08	0.0	0.00017175133203432776	0.0
2094	1.2872024899558622e-06	0.004233131539770371	4.954226771438869e-08	0.0	0.00016514089238129568	0.0
2703	1.335403933174066e-06	0.004511609741860528	4.626057202545794e-08	0.0	0.0001542019067515265	0.0
3488	1.4000213952344093e-06	0.0046959269308543905	4.244337239520997e-08	0.0	0.00014147790798403327	0.0
4502	1.4365172047803173e-06	0.004772555554554362	3.849173233989037e-08	0.0	0.00012830577446630126	0.0
5811	1.4466390399208725e-06	0.004781849678194533	3.463275684174202e-08	0.0	0.00011544252280580674	0.0
7500	1.4889101402932962e-06	0.004957429023619532	3.0987999863840915e-08	0.0	0.00010329333287946973	0.0
