# n_S	sigma(sigma^2_a)	sigma(sigma^2_b)	TJK13(a)	TJ14(a)	TJK13(b)	TJ14(b)
755	2.3774213810726312e-06	0.007994110575252445	2.8284271247461903e-06	2e-06	0.009428090415820637	0.006666666666666668
974	1.5859270329131864e-07	0.0006736277179740802	1.9069251784911844e-07	0.0	0.0006356417261637283	0.0
1257	1.7894872494900174e-07	0.0004600250199943083	1.2611333222388632e-07	0.0	0.00042037777407962114	0.0
1622	1.3761320859603913e-07	0.00044846697177484534	9.600307214746387e-08	0.0	0.0003200102404915463	0.0
2094	1.2965233845798194e-07	0.0004148221484492524	7.726674092862558e-08	0.0	0.00025755580309541864	0.0
2703	1.0530200972896433e-07	0.0003941500354421477	6.406769124181822e-08	0.0	0.0002135589708060608	0.0
3488	9.450986242958736e-08	0.00029995657384337206	5.409358170398288e-08	0.0	0.00018031193901327632	0.0
4502	1.1640045641319353e-07	0.00028305385976438297	4.620034326982575e-08	0.0	0.00015400114423275252	0.0
5811	9.379393708071369e-08	0.0003129677099218362	3.977393106355428e-08	0.0	0.00013257977021184763	0.0
7500	1.0619902381919369e-07	0.00028494537467566895	3.44367236186934e-08	0.0	0.00011478907872897801	0.0
