# n_S	sigma(sigma^2_a)	sigma(sigma^2_b)	TJK13(a)	TJ14(a)	TJK13(b)	TJ14(b)
755	2.6852832279217457e-06	0.007197026599442241	2.8284271247461903e-06	2e-06	0.009428090415820637	0.006666666666666668
974	1.8297640544563504e-07	0.000568316045876485	1.9069251784911844e-07	0.0	0.0006356417261637283	0.0
1257	1.0979287373077249e-07	0.0003909306704560346	1.2611333222388632e-07	0.0	0.00042037777407962114	0.0
1622	1.0174643754377081e-07	0.00030726987836010664	9.600307214746387e-08	0.0	0.0003200102404915463	0.0
2094	7.884763010285182e-08	0.0002643977437369731	7.726674092862558e-08	0.0	0.00025755580309541864	0.0
2703	6.068915377848067e-08	0.00017713333524429576	6.406769124181822e-08	0.0	0.0002135589708060608	0.0
3488	4.5725960331260136e-08	0.00016548097146602044	5.409358170398288e-08	0.0	0.00018031193901327632	0.0
4502	5.701296365851932e-08	0.00015897801840585596	4.620034326982575e-08	0.0	0.00015400114423275252	0.0
5811	4.488526398874839e-08	0.00012724518562100848	3.977393106355428e-08	0.0	0.00013257977021184763	0.0
7500	3.71079426696577e-08	0.00012459239686380433	3.44367236186934e-08	0.0	0.00011478907872897801	0.0
