# n_S	sigma(sigma^2_a)	sigma(sigma^2_b)	TJK13(a)	TJ14(a)	TJK13(b)	TJ14(b)
755	1.068415077422442e-08	2.8635384347913555e-05	1.1253688825250095e-08	7.957559681697613e-09	3.7512296084166986e-05	2.6525198938992047e-05
974	4.1747956843711106e-08	0.00012966717593481983	4.35084675873631e-08	0.0	0.00014502822529121036	0.0
1257	4.4144427734108376e-08	0.00015718151957030017	5.070639551995429e-08	0.0	0.00016902131839984766	0.0
1622	5.4607896769328026e-08	0.00016491350658438787	5.1525399610298314e-08	0.0	0.00017175133203432776	0.0
2094	5.0555909984723904e-08	0.0001695278414214131	4.954226771438869e-08	0.0	0.00016514089238129568	0.0
2703	4.3821072917030475e-08	0.00012790049484145855	4.626057202545794e-08	0.0	0.0001542019067515265	0.0
3488	3.5877897179904725e-08	0.0001298411063754027	4.244337239520997e-08	0.0	0.00014147790798403327	0.0
4502	4.750024743822443e-08	0.0001324522481719529	3.849173233989037e-08	0.0	0.00012830577446630126	0.0
5811	3.908339940087369e-08	0.00011079748606827615	3.463275684174202e-08	0.0	0.00011544252280580674	0.0
7500	3.33917051786705e-08	0.00011211488118908531	3.0987999863840915e-08	0.0	0.00010329333287946973	0.0
