# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[a]_run28	std[a]_run28	mean[a]_run29	std[a]_run29	mean[a]_run30	std[a]_run30	mean[a]_run31	std[a]_run31	mean[a]_run32	std[a]_run32	mean[a]_run33	std[a]_run33	mean[a]_run34	std[a]_run34	mean[a]_run35	std[a]_run35	mean[a]_run36	std[a]_run36	mean[a]_run37	std[a]_run37	mean[a]_run38	std[a]_run38	mean[a]_run39	std[a]_run39	mean[a]_run40	std[a]_run40	mean[a]_run41	std[a]_run41	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27	mean[b]_run28	std[b]_run28	mean[b]_run29	std[b]_run29	mean[b]_run30	std[b]_run30	mean[b]_run31	std[b]_run31	mean[b]_run32	std[b]_run32	mean[b]_run33	std[b]_run33	mean[b]_run34	std[b]_run34	mean[b]_run35	std[b]_run35	mean[b]_run36	std[b]_run36	mean[b]_run37	std[b]_run37	mean[b]_run38	std[b]_run38	mean[b]_run39	std[b]_run39	mean[b]_run40	std[b]_run40	mean[b]_run41	std[b]_run41
755	0.0	9.211212841220446e-05	0.0	0.00015050866955590013	0.0	0.00011634693821421956	0.0	0.00010028096659457296	0.0	0.00014911125867900316	0.0	0.00012243040154376987	0.0	0.00014108314272495335	0.0	0.0001238871065484463	0.0	0.00020829682481307983	0.0	0.00014874265761608604	0.0	0.00017975610446034927	0.0	5.8793770803184285e-05	0.0	0.00010265347684245453	0.0	0.00016428363752947072	0.0	0.00012024745663081988	0.0	0.0002681861046492477	0.0	0.00018154423409290598	0.0	0.00010059316094559534	0.0	0.00010833211269855312	0.0	0.00014263684571140387	0.0	6.428951536556554e-05	0.0	9.434409610995759e-05	0.0	0.00012125002169048505	0.0	8.527406725348528e-05	0.0	9.884373466610031e-05	0.0	9.7373210330441e-05	0.0	0.0001883714244916029	0.0	5.666506736871094e-05	0.0	0.00012857474389207845	0.0	0.0001019380521634246	0.0	0.00011505929539305905	0.0	0.00012810001507718266	0.0	0.00021475226517958385	0.0	0.00012819984528772912	0.0	0.00010556721958016881	0.0	0.00015864745056967322	0.0	0.00011323281592317682	0.0	0.00010404144285496299	0.0	0.00014075008105702733	0.0	9.309116982956211e-05	0.0	8.8043305873125e-05	0.0	0.00011275662625262581	0.0	0.006213490192346437	0.0	0.008728088480490687	0.0	0.009800475998210365	0.0	0.008050965101695248	0.0	0.009007619848047908	0.0	0.008010511123533754	0.0	0.007646948561600343	0.0	0.008391821626437625	0.0	0.009089307122074699	0.0	0.007432331729130322	0.0	0.008301221033564222	0.0	0.0047042604556089005	0.0	0.005135859725487614	0.0	0.0053661987727276015	0.0	0.007971748246193632	0.0	0.00537620670720514	0.0	0.007050251866743247	0.0	0.008367156824283923	0.0	0.008225382275032184	0.0	0.008312568569976784	0.0	0.007906780126807943	0.0	0.005669438284636156	0.0	0.007097541745704092	0.0	0.011428666542302476	0.0	0.010118103634064013	0.0	0.00631004913626218	0.0	0.006145302168006317	0.0	0.004338217585575529	0.0	0.005919145803851326	0.0	0.007697092654118352	0.0	0.0034844706822276237	0.0	0.007786978341994375	0.0	0.0036015783035468164	0.0	0.006027545331771252	0.0	0.00817682444608563	0.0	0.005285858229005973	0.0	0.009008529117504709	0.0	0.009649452242044894	0.0	0.010217056477619307	0.0	0.006317143365973474	0.0	0.008056268983488154	0.0	0.004173043945342986
974	0.0	0.0006375575708154678	0.0	0.0006474799502222867	0.0	0.0006822137685335899	0.0	0.000699800449631207	0.0	0.0006551394075229633	0.0	0.0006384340312501466	0.0	0.0006982280204058739	0.0	0.0006754380822501977	0.0	0.0006724714917094547	0.0	0.0007256591974578756	0.0	0.0006315122460805678	0.0	0.0006787666724322632	0.0	0.0006886559969252811	0.0	0.0005929395515237052	0.0	0.0006341982757892398	0.0	0.0006472593241860805	0.0	0.0005923931392099916	0.0	0.0006536778413168703	0.0	0.0006935744458289302	0.0	0.00064118632241308	0.0	0.0006749585551346204	0.0	0.0006576809411900482	0.0	0.0006112442547793759	0.0	0.0006760049541937993	0.0	0.0007372630299750637	0.0	0.0006863868183522344	0.0	0.0006654769269793784	0.0	0.0007045286353285428	0.0	0.0006434608123797309	0.0	0.0006529747961686195	0.0	0.0006686609917604987	0.0	0.0006940646261745536	0.0	0.0006387621303758635	0.0	0.0006562059234609707	0.0	0.0005742632177096049	0.0	0.0006310033802983995	0.0	0.0006414069426255135	0.0	0.0006267292396017221	0.0	0.0006403676286107393	0.0	0.0007238631679337929	0.0	0.0006898546927240693	0.0	0.0007010510515709096	0.0	0.03678860793615012	0.0	0.038308356252268166	0.0	0.03940442187265466	0.0	0.039330436455906656	0.0	0.04133231748992019	0.0	0.04060998235829508	0.0	0.0402594202058312	0.0	0.038973633346978544	0.0	0.036951101369864785	0.0	0.03896402231523745	0.0	0.041544389348339684	0.0	0.037666726663902104	0.0	0.04135117174226854	0.0	0.04208518610906387	0.0	0.04162095643597865	0.0	0.039246162489228596	0.0	0.039851741904064514	0.0	0.038037388657889006	0.0	0.03861196506220217	0.0	0.04053240894401221	0.0	0.039491866487088724	0.0	0.037457779652590104	0.0	0.04132762001366333	0.0	0.03727057732633957	0.0	0.03833367868060359	0.0	0.041700945830590475	0.0	0.037602341368103184	0.0	0.04181592724400429	0.0	0.03867762417115269	0.0	0.04051449621489237	0.0	0.038198169226914415	0.0	0.03942445073924572	0.0	0.03989181523316935	0.0	0.041210456496281425	0.0	0.03993505997742105	0.0	0.036907674001355716	0.0	0.0396880921458862	0.0	0.03632889336542668	0.0	0.037318302361289614	0.0	0.0399797838285851	0.0	0.039552555268429115	0.0	0.03849074421472015
1257	0.0	0.0009249812261791794	0.0	0.0008663376855188257	0.0	0.0009043991401233085	0.0	0.0008432852777558515	0.0	0.0008966754419747653	0.0	0.0008807394890659171	0.0	0.0008930163793964953	0.0	0.0009460001041114104	0.0	0.0008701568583738336	0.0	0.000924232107607867	0.0	0.0009236999667833389	0.0	0.0008731331062527364	0.0	0.0008622443618059589	0.0	0.0009187715076419139	0.0	0.0009120934379824003	0.0	0.000869146152783773	0.0	0.0008997730553145423	0.0	0.0008423602268317499	0.0	0.0009012569083061866	0.0	0.0009314476643678906	0.0	0.0008870051402660193	0.0	0.0008943137679449462	0.0	0.0008916586243534795	0.0	0.0008834354817782614	0.0	0.000862610436601393	0.0	0.0008529504068747696	0.0	0.000886476979446558	0.0	0.0008847467838579272	0.0	0.0008886047805279171	0.0	0.0008677437165012694	0.0	0.0009133176058045656	0.0	0.0009183797893318788	0.0	0.0008794583799280222	0.0	0.000904630766001037	0.0	0.0009276188067203177	0.0	0.0008768709691451311	0.0	0.0008701708557808277	0.0	0.0009256536693081025	0.0	0.0008327539983128268	0.0	0.0008746674708615067	0.0	0.0008698795207817428	0.0	0.0008559970006775695	0.0	0.05039521758952447	0.0	0.04943456514106046	0.0	0.05143461096129054	0.0	0.05312151822037094	0.0	0.05106747124386879	0.0	0.05514179337129266	0.0	0.04808949632014181	0.0	0.053169068627490094	0.0	0.05426687218537405	0.0	0.05298437053218365	0.0	0.05174861382367305	0.0	0.05160899875162491	0.0	0.05314090039368564	0.0	0.051327602483477175	0.0	0.05066961147789652	0.0	0.05186218182063996	0.0	0.05016716276888233	0.0	0.0525432951701811	0.0	0.05041865826701317	0.0	0.053016609864720274	0.0	0.05003925320558252	0.0	0.05039353408560644	0.0	0.04990078942197483	0.0	0.05101795203208749	0.0	0.05217891729432231	0.0	0.051002607716654255	0.0	0.051974087682592214	0.0	0.05123619497094131	0.0	0.05450250891512976	0.0	0.05355029449942717	0.0	0.05470261899519298	0.0	0.05243505926931836	0.0	0.051118222163629254	0.0	0.05498760098968483	0.0	0.05211460190902859	0.0	0.05706133026670206	0.0	0.053225952939602625	0.0	0.055528587456947616	0.0	0.051284676348022216	0.0	0.05463964959323896	0.0	0.049904754633666275	0.0	0.05221773241141444
1622	0.0	0.0010824487136711137	0.0	0.0010171292936280824	0.0	0.0010113848069674529	0.0	0.0010076323729193025	0.0	0.0010260233549634333	0.0	0.0010239551844088888	0.0	0.0009910692917168152	0.0	0.0010159750719490141	0.0	0.001032877746175517	0.0	0.001066806796725907	0.0	0.0010114298323568808	0.0	0.0009926237494908298	0.0	0.0010345789910618422	0.0	0.0010209835881373763	0.0	0.0009786463711152855	0.0	0.0010296898936819842	0.0	0.0010366010133413062	0.0	0.0010240988067500094	0.0	0.0010527549988979506	0.0	0.0010032889587291251	0.0	0.0010205631945961002	0.0	0.0010356009402276653	0.0	0.001002699801521744	0.0	0.001005991605331803	0.0	0.0010324763195377158	0.0	0.0009990475212394059	0.0	0.001037645756984901	0.0	0.0010057809286041879	0.0	0.0010272563586429522	0.0	0.0010148316842647535	0.0	0.0009814070114728063	0.0	0.001020628741547839	0.0	0.0010068371840598611	0.0	0.000991340370814455	0.0	0.001018451832076705	0.0	0.001040483844397616	0.0	0.0010447605816822126	0.0	0.000994161189050634	0.0	0.0010187991411563335	0.0	0.001067584328472067	0.0	0.0009541109781727495	0.0	0.0010313743916221673	0.0	0.06095180805245205	0.0	0.05935135777931302	0.0	0.059500180403384985	0.0	0.06014704348265309	0.0	0.057539173678641975	0.0	0.062361420614932286	0.0	0.0604347464463928	0.0	0.05785459474318788	0.0	0.060369608637901515	0.0	0.05542897650618212	0.0	0.059797943050708846	0.0	0.06005870254481933	0.0	0.05867840194463398	0.0	0.056959870135209985	0.0	0.060674130081547	0.0	0.06091595965892279	0.0	0.05710496275572769	0.0	0.0601495024042021	0.0	0.06139100891165951	0.0	0.06205839187951512	0.0	0.058527940922565795	0.0	0.05912924408144623	0.0	0.059337051786302046	0.0	0.062455444845203226	0.0	0.06139871855807267	0.0	0.05891425037595499	0.0	0.06086863331808431	0.0	0.05858332672130019	0.0	0.0586569543527535	0.0	0.0592093303370818	0.0	0.057613664250862444	0.0	0.06132757285767685	0.0	0.06100714697510025	0.0	0.06124948908102814	0.0	0.057876785823699255	0.0	0.05913083103421955	0.0	0.06180555881376015	0.0	0.05826439120258172	0.0	0.061920848939103934	0.0	0.05824754028394293	0.0	0.06140940426558665	0.0	0.059508227259359475
2094	0.0	0.0010894419812732994	0.0	0.0010786451673349344	0.0	0.0010421970256876381	0.0	0.0011184691364588167	0.0	0.0011487299198480873	0.0	0.0010887034236058736	0.0	0.0011126588564384296	0.0	0.001078183099849218	0.0	0.0011287066073537315	0.0	0.00106951958087148	0.0	0.0011211553104671346	0.0	0.001115210957107275	0.0	0.001129114276336839	0.0	0.0011131571869979536	0.0	0.0011258620133504454	0.0	0.0011337166375205193	0.0	0.001051264245747381	0.0	0.0011398131536154718	0.0	0.0011334591102928368	0.0	0.0011335259847398374	0.0	0.0010926391546531582	0.0	0.001126278987386226	0.0	0.0010959717991653236	0.0	0.0011341878459409358	0.0	0.0011078670072754715	0.0	0.0011207227521452543	0.0	0.0010971712287873587	0.0	0.0011127406615185824	0.0	0.0011092179404409987	0.0	0.001104696438360118	0.0	0.001106037397409939	0.0	0.0011596932558904673	0.0	0.001112894123199004	0.0	0.0011059825702767984	0.0	0.001118772892593554	0.0	0.0011058061119463179	0.0	0.001120975154602473	0.0	0.0011094909973629948	0.0	0.0010946895173248028	0.0	0.0011452805561175119	0.0	0.0011018470558437667	0.0	0.0010968275600448537	0.0	0.06667797431954899	0.0	0.06718857788593237	0.0	0.06743071561818412	0.0	0.06621533422704198	0.0	0.06619417572643799	0.0	0.06304483986461794	0.0	0.064705652260035	0.0	0.06655135802298341	0.0	0.0647783865323816	0.0	0.0663606606600228	0.0	0.0670118346382907	0.0	0.06482686515945132	0.0	0.06589041365154108	0.0	0.06710617275963873	0.0	0.0657878298101767	0.0	0.06436908092001821	0.0	0.06568839433048089	0.0	0.06611031299854464	0.0	0.06569242056474091	0.0	0.06429301365972796	0.0	0.06569147638923988	0.0	0.06434521359522562	0.0	0.0652384983920196	0.0	0.06588612215870646	0.0	0.06600293488139876	0.0	0.06650064423960894	0.0	0.0650722825002406	0.0	0.06559574102884094	0.0	0.06557962308205047	0.0	0.06530217513505408	0.0	0.06399856439456901	0.0	0.06446978561101567	0.0	0.0649111772134851	0.0	0.06523619200737414	0.0	0.06480084731772871	0.0	0.06409087207003517	0.0	0.06500766018612816	0.0	0.06666888660760084	0.0	0.06491059406688228	0.0	0.06626363540173345	0.0	0.06474666536097651	0.0	0.06522068348611351
2703	0.0	0.0012027950509886781	0.0	0.0012027857639989687	0.0	0.0011795521610639158	0.0	0.0011732392512168635	0.0	0.0012022246272808026	0.0	0.0011833073179441879	0.0	0.0012340390096231175	0.0	0.0011571913872846877	0.0	0.0012072063339231007	0.0	0.0011973447653828005	0.0	0.0011956019464168036	0.0	0.0011723287464872898	0.0	0.0012065437340766211	0.0	0.0011958174185670043	0.0	0.0011829799738526671	0.0	0.0011815857165832025	0.0	0.001203757499990099	0.0	0.0012194398223587246	0.0	0.0011878943558062864	0.0	0.0011891892570652465	0.0	0.0011901891022637243	0.0	0.0011807461308237428	0.0	0.0011603616871627422	0.0	0.0011696031247038672	0.0	0.0011742794820072124	0.0	0.001187403081698948	0.0	0.0011964458319984063	0.0	0.00116808727612313	0.0	0.0012096618611982094	0.0	0.0011921967643420725	0.0	0.0011886757763614727	0.0	0.00118490271514442	0.0	0.0011806329729575848	0.0	0.0011794042072348996	0.0	0.0011973288900325313	0.0	0.0011647575524614765	0.0	0.0011700596881293287	0.0	0.0011816005894496055	0.0	0.0011837484999425306	0.0	0.0011977736574340537	0.0	0.0011747413203902315	0.0	0.0011790736382299776	0.0	0.07085285382328996	0.0	0.06903056291645007	0.0	0.07141723260143011	0.0	0.07026246495404716	0.0	0.0687823343052784	0.0	0.07021467092285631	0.0	0.07126340827711101	0.0	0.0699248585348614	0.0	0.06842061725586308	0.0	0.06965263473926363	0.0	0.06953868312530456	0.0	0.07007263948041828	0.0	0.06897758540716181	0.0	0.06795426457281341	0.0	0.07016149259055915	0.0	0.0694294032545608	0.0	0.06989530546692241	0.0	0.07000088800592275	0.0	0.06975903235660276	0.0	0.06820186838366589	0.0	0.0695513527772573	0.0	0.0696027969520488	0.0	0.06915726338001187	0.0	0.06925395680893047	0.0	0.06755771662708028	0.0	0.06948290303201692	0.0	0.06955916801612207	0.0	0.07209204203521133	0.0	0.06901375214898381	0.0	0.07036642810236993	0.0	0.06889153749788388	0.0	0.07066417119631999	0.0	0.06824940607620752	0.0	0.06843769672384885	0.0	0.06924045374908404	0.0	0.06825706506583137	0.0	0.0704949408218628	0.0	0.06789854168193668	0.0	0.0685714271615463	0.0	0.06967558062606871	0.0	0.0694409778310661	0.0	0.06926606414395439
3488	0.0	0.0012361786518383798	0.0	0.0012532313671770729	0.0	0.0012320807514452838	0.0	0.0012375027021304945	0.0	0.0012399514174437447	0.0	0.0011969963957994079	0.0	0.0012413040490411008	0.0	0.0012353586433961911	0.0	0.0012474919081238052	0.0	0.00122630598718137	0.0	0.0012158348065036424	0.0	0.0012555902710181118	0.0	0.0012201816327823934	0.0	0.0012021534316441816	0.0	0.0012348479454604164	0.0	0.001227312647852197	0.0	0.0012628408863716036	0.0	0.0012007294550145178	0.0	0.0012332138983790655	0.0	0.0012332546257160094	0.0	0.0012263554278645716	0.0	0.001251910228916567	0.0	0.0012198104958288183	0.0	0.0012501234958844306	0.0	0.0012111517183083064	0.0	0.0012249064301128858	0.0	0.0012218740867245015	0.0	0.0012312911491460386	0.0	0.0012197174780007216	0.0	0.0012235333298298882	0.0	0.0012378190404655316	0.0	0.0012302431578090109	0.0	0.0012167994819023006	0.0	0.0012381847813468132	0.0	0.001264245781827704	0.0	0.0012321239638110795	0.0	0.0012328881130233287	0.0	0.0012253720193614425	0.0	0.001232990226655053	0.0	0.0012658694279331893	0.0	0.0012224508841103562	0.0	0.0012481311043606703	0.0	0.07127118433512598	0.0	0.07245703128108373	0.0	0.0711008217624071	0.0	0.072778112549122	0.0	0.07204258166965728	0.0	0.07271342194894666	0.0	0.07228112142166351	0.0	0.07301649946397595	0.0	0.07158995816976975	0.0	0.07230385940070083	0.0	0.07288492330828945	0.0	0.07217911853553628	0.0	0.0739633739955982	0.0	0.07204003144406093	0.0	0.07299530333198265	0.0	0.0735774260045275	0.0	0.07316491809353724	0.0	0.07231726448123887	0.0	0.07240316756174846	0.0	0.07113506155475502	0.0	0.07157869647242912	0.0	0.07183437185097813	0.0	0.07265253476351423	0.0	0.07175950883412306	0.0	0.07249558354540335	0.0	0.07312771535698179	0.0	0.07271021013730322	0.0	0.07151745268144392	0.0	0.07291298889935134	0.0	0.07364395372089501	0.0	0.07329224039319913	0.0	0.07014082312885671	0.0	0.07130031199216788	0.0	0.07209862569922033	0.0	0.07293816719577051	0.0	0.07461785215627934	0.0	0.07230368672981895	0.0	0.07286262562352308	0.0	0.07126388050288128	0.0	0.07202102408173665	0.0	0.07304831483814189	0.0	0.07293038776761936
4502	0.0	0.0012710258098794717	0.0	0.0012708636010581773	0.0	0.001282909158517598	0.0	0.0012884881200459733	0.0	0.001280076211735139	0.0	0.001283459617878051	0.0	0.0012500568846320074	0.0	0.0012756458787980124	0.0	0.0012735709184127151	0.0	0.0012675663009524658	0.0	0.001267731355039452	0.0	0.0012736003744541243	0.0	0.0012705462542807638	0.0	0.0012903096440603716	0.0	0.00126698131596856	0.0	0.0012988383082512098	0.0	0.0012763504757457628	0.0	0.0012687834319490294	0.0	0.0012706907459699933	0.0	0.0012832607620516937	0.0	0.0012885277676329117	0.0	0.001275348866109579	0.0	0.001301129823844229	0.0	0.0012936952970582216	0.0	0.0012927430193186444	0.0	0.0012841425168783197	0.0	0.0012926146571730186	0.0	0.0012707687859442203	0.0	0.0012532265787533875	0.0	0.0012504281910943613	0.0	0.0013120215516278383	0.0	0.0012856758960468394	0.0	0.00127627772884565	0.0	0.0013005446853960316	0.0	0.0012836307421453233	0.0	0.0012561011290632862	0.0	0.001274191780772874	0.0	0.0012732672876528568	0.0	0.00130094931659351	0.0	0.0013045294105183494	0.0	0.0012591135298119789	0.0	0.001266947681713474	0.0	0.07421848621475084	0.0	0.07520908183708072	0.0	0.07373708650241302	0.0	0.07475222736247272	0.0	0.07479031660581748	0.0	0.07406714579384105	0.0	0.07446164508332648	0.0	0.07481055160892207	0.0	0.07470175992509985	0.0	0.07480766547285733	0.0	0.0758085964794571	0.0	0.07431910609470425	0.0	0.07560416821995158	0.0	0.07568680808640402	0.0	0.07329837650968407	0.0	0.07574058158953959	0.0	0.07451319163790456	0.0	0.07517827178954914	0.0	0.07359975775352616	0.0	0.07541583188019525	0.0	0.0728335703111817	0.0	0.07427105748264348	0.0	0.07435730526872655	0.0	0.07493511273635639	0.0	0.07625474087902813	0.0	0.07686183925917901	0.0	0.07370032024972083	0.0	0.07545402002849136	0.0	0.07411695104948232	0.0	0.07510589507162824	0.0	0.07438413198652304	0.0	0.07480460366709323	0.0	0.0740238011903024	0.0	0.0747120593165002	0.0	0.0770879792053201	0.0	0.07532321143807107	0.0	0.07500808522061672	0.0	0.07395305397811773	0.0	0.07453909876400822	0.0	0.07576813056019037	0.0	0.07401006199057795	0.0	0.07458658189596813
5811	0.0	0.0012911202653036035	0.0	0.0013185498687596734	0.0	0.0013072151415972212	0.0	0.0012968173174404676	0.0	0.0013165201017500889	0.0	0.0013101374937664163	0.0	0.001304540170955226	0.0	0.0013051212683740567	0.0	0.0012857571232604986	0.0	0.001277937802724993	0.0	0.0012961137181351616	0.0	0.0012846742693817378	0.0	0.0012915251501745958	0.0	0.0013287308472754175	0.0	0.0013116891070294244	0.0	0.0012777317482661097	0.0	0.0012887892166147403	0.0	0.0012939161384288296	0.0	0.0013014097650820365	0.0	0.001291924740941237	0.0	0.0012997820809515525	0.0	0.0012880434993614459	0.0	0.001291889148604423	0.0	0.001306335456042601	0.0	0.0013081440336589975	0.0	0.0013123301807365757	0.0	0.0012915901857128167	0.0	0.0013077153006501119	0.0	0.0013134636618938372	0.0	0.0012973314709945546	0.0	0.0012808964078045487	0.0	0.0013041705659037402	0.0	0.0013032114695377822	0.0	0.0013143955126137606	0.0	0.0013096270047714298	0.0	0.001311678167619909	0.0	0.0013053879021503135	0.0	0.0013169051457568776	0.0	0.0013003960613379437	0.0	0.0013101590961112734	0.0	0.0012883573493656204	0.0	0.0013180069117772054	0.0	0.07709326862904775	0.0	0.07620521732238131	0.0	0.07626367122083196	0.0	0.07632106410165838	0.0	0.07582233145387272	0.0	0.07762651153584395	0.0	0.07599845704160814	0.0	0.07687660597156845	0.0	0.07617511193292983	0.0	0.07668158327691885	0.0	0.0768240176514931	0.0	0.07577970582344119	0.0	0.07593711083506108	0.0	0.07557317630570122	0.0	0.07522990953413532	0.0	0.07522499059624368	0.0	0.07656622994010641	0.0	0.07636066934770501	0.0	0.07667419057381254	0.0	0.07611029112386586	0.0	0.07573941702996814	0.0	0.07668908147961084	0.0	0.07572932822496527	0.0	0.07742049848550832	0.0	0.07619520965241003	0.0	0.07570150510651778	0.0	0.07676706619344215	0.0	0.07588697204452079	0.0	0.07544497607303374	0.0	0.07607808612701532	0.0	0.07605689232316275	0.0	0.07454991048839119	0.0	0.07710703215900447	0.0	0.07668174032342158	0.0	0.07584618867923204	0.0	0.07593315604902083	0.0	0.07801538039226652	0.0	0.07762383000941271	0.0	0.07571112274011382	0.0	0.0762658764752661	0.0	0.07769380980577617	0.0	0.07709822094023441
7500	0.0	0.00133345895953262	0.0	0.0013265082350684893	0.0	0.0013189791637899402	0.0	0.0013215311706551017	0.0	0.0013150659741317224	0.0	0.0013130662387881606	0.0	0.0013082185831838908	0.0	0.0013249061661619766	0.0	0.0013313348359145862	0.0	0.0013280333186940234	0.0	0.0013332965441953102	0.0	0.0013193483431179574	0.0	0.0013194153851948179	0.0	0.0013262947785735646	0.0	0.0013075924791500727	0.0	0.001297714203412631	0.0	0.0013234654202068225	0.0	0.0013278766533919544	0.0	0.0013198614619484754	0.0	0.0013135288697423545	0.0	0.001323694835160786	0.0	0.0013354050560148289	0.0	0.001316344964076203	0.0	0.001341827673475309	0.0	0.0013318396861116562	0.0	0.001323635566437979	0.0	0.0013254250496761782	0.0	0.0013405835339898703	0.0	0.0013223111071847902	0.0	0.0013212524298996456	0.0	0.001327896876542385	0.0	0.0013119264265508896	0.0	0.001347593358867145	0.0	0.0013457849569526678	0.0	0.0013375318779307044	0.0	0.0013247438967370002	0.0	0.0013243262482611296	0.0	0.0013287292169814938	0.0	0.0013161249358616578	0.0	0.001319636148179905	0.0	0.0013430506229695043	0.0	0.0013373541905299393	0.0	0.07722605282600276	0.0	0.07763343590680864	0.0	0.07780281103819825	0.0	0.07737128083415498	0.0	0.07727692304619803	0.0	0.07837276561162738	0.0	0.07746397719137722	0.0	0.07685208632143291	0.0	0.07651438435210435	0.0	0.07722097627169286	0.0	0.07720790520124857	0.0	0.07726306767219604	0.0	0.07901682344186395	0.0	0.07787439775735126	0.0	0.0769782181110109	0.0	0.0763102560273657	0.0	0.07783795793725336	0.0	0.07590787451015332	0.0	0.07711018472395297	0.0	0.0766203406123669	0.0	0.07737802234534212	0.0	0.07663953915209659	0.0	0.07767311573047314	0.0	0.07692043534816188	0.0	0.0774680817696441	0.0	0.07803685409258894	0.0	0.07809864319817146	0.0	0.07735829317994596	0.0	0.07684498162840164	0.0	0.07827422081497087	0.0	0.0762729617585361	0.0	0.07771496339577266	0.0	0.07707006671310379	0.0	0.07820730937564184	0.0	0.07750320268884493	0.0	0.07758610356446463	0.0	0.07756179551159834	0.0	0.07934677502498479	0.0	0.07757860936100397	0.0	0.07744022616475185	0.0	0.0776269712898274	0.0	0.0784109272153588
