# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[a]_run28	std[a]_run28	mean[a]_run29	std[a]_run29	mean[a]_run30	std[a]_run30	mean[a]_run31	std[a]_run31	mean[a]_run32	std[a]_run32	mean[a]_run33	std[a]_run33	mean[a]_run34	std[a]_run34	mean[a]_run35	std[a]_run35	mean[a]_run36	std[a]_run36	mean[a]_run37	std[a]_run37	mean[a]_run38	std[a]_run38	mean[a]_run39	std[a]_run39	mean[a]_run40	std[a]_run40	mean[a]_run41	std[a]_run41	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27	mean[b]_run28	std[b]_run28	mean[b]_run29	std[b]_run29	mean[b]_run30	std[b]_run30	mean[b]_run31	std[b]_run31	mean[b]_run32	std[b]_run32	mean[b]_run33	std[b]_run33	mean[b]_run34	std[b]_run34	mean[b]_run35	std[b]_run35	mean[b]_run36	std[b]_run36	mean[b]_run37	std[b]_run37	mean[b]_run38	std[b]_run38	mean[b]_run39	std[b]_run39	mean[b]_run40	std[b]_run40	mean[b]_run41	std[b]_run41
755	0.0	0.001460299253266528	0.0	0.0023860885808550977	0.0	0.0018445057119270917	0.0	0.0015898038961772412	0.0	0.0023639347331999108	0.0	0.0019409498730875061	0.0	0.0022366610295637074	0.0	0.001964043739956363	0.0	0.00330223286526541	0.0	0.002358091117747658	0.0	0.002849762671196386	0.0	0.0009320868063801938	0.0	0.0016274164777456959	0.0	0.0026044699796168094	0.0	0.0019063425647856155	0.0	0.004251687319645785	0.0	0.002878110777055808	0.0	0.0015947532680518261	0.0	0.0017174427082017186	0.0	0.0022612926535422245	0.0	0.0010192135704548853	0.0	0.001495683744087975	0.0	0.0019222367258827436	0.0	0.0013518920784895102	0.0	0.0015670187456427965	0.0	0.0015437057940663932	0.0	0.002986345612283049	0.0	0.0008983394151368015	0.0	0.00203835917952431	0.0	0.0016160744955055425	0.0	0.0018240920716971992	0.0	0.0020308330681875226	0.0	0.0034045741628687502	0.0	0.0020324157260245253	0.0	0.0016736094863911378	0.0	0.002515116712565695	0.0	0.0017951359868476667	0.0	0.0016494205912817037	0.0	0.0022313808377654155	0.0	0.001475820482395927	0.0	0.0013957941916865515	0.0	0.0017875867158417109	0.0	0.09850554150109367	0.0	0.13837071523814912	0.0	0.15537180639012263	0.0	0.12763594250551483	0.0	0.14280226463717888	0.0	0.12699460552721123	0.0	0.1212308679297976	0.0	0.13303971003463483	0.0	0.1440972935038333	0.0	0.1178284408488411	0.0	0.13160337390389185	0.0	0.07457897400606492	0.0	0.0814213312762573	0.0	0.08507301042514769	0.0	0.1263800784089052	0.0	0.08523167117369353	0.0	0.11177113930397749	0.0	0.13264868669397692	0.0	0.1304010644538571	0.0	0.13178327202626783	0.0	0.12535010659237802	0.0	0.08988041679425579	0.0	0.11252084920780785	0.0	0.1811843185608716	0.0	0.1604073148236968	0.0	0.10003633832586717	0.0	0.0974245229344627	0.0	0.06877591485427312	0.0	0.09383915393485272	0.0	0.12202582709665372	0.0	0.05524104179327587	0.0	0.12345082948392999	0.0	0.05709760699171412	0.0	0.09555766540999251	0.0	0.12963125311007684	0.0	0.08379933194191204	0.0	0.14281667973681522	0.0	0.15297755188580106	0.0	0.16197606332667105	0.0	0.10014880666774773	0.0	0.12772002757395182	0.0	0.06615733522042479
974	0.0	0.001334748188602954	0.0	0.0013555210231611617	0.0	0.0014282374384253997	0.0	0.0014650557459996612	0.0	0.0013715563542837828	0.0	0.001336583087961256	0.0	0.0014617638126021236	0.0	0.0014140523116113115	0.0	0.0014078416546732737	0.0	0.0015191919031109944	0.0	0.0013220920982218074	0.0	0.0014210208269571974	0.0	0.0014417244599431247	0.0	0.001241338866598419	0.0	0.0013277153916345086	0.0	0.00135505913514404	0.0	0.001240194934066919	0.0	0.0013684965163406613	0.0	0.001452021397922365	0.0	0.0013423451019540227	0.0	0.0014130484054886308	0.0	0.0013768771403801297	0.0	0.001279660377677287	0.0	0.0014152390770651735	0.0	0.0015434849162319247	0.0	0.0014369738583839319	0.0	0.0013931982984794254	0.0	0.0014749543615659771	0.0	0.0013471068230941226	0.0	0.0013670246677091199	0.0	0.0013998642450441558	0.0	0.0014530476069399645	0.0	0.0013372699745010438	0.0	0.0013737891412218346	0.0	0.0012022393344632576	0.0	0.0013210267706152009	0.0	0.0013428069777788822	0.0	0.0013120787135080963	0.0	0.0013406311389807708	0.0	0.0015154318549778026	0.0	0.0014442339698593387	0.0	0.001467673923165287	0.0	0.07701818635954055	0.0	0.08019983050420383	0.0	0.08249448069482022	0.0	0.08233958973985761	0.0	0.08653059492317097	0.0	0.08501836206352807	0.0	0.08428444842276428	0.0	0.08159261044711642	0.0	0.07735837182080499	0.0	0.08157248942935375	0.0	0.08697457448178052	0.0	0.078856557410089	0.0	0.0865700669337332	0.0	0.08810675066448306	0.0	0.08713487025146652	0.0	0.08216315936004771	0.0	0.08343096020503425	0.0	0.07963255074418914	0.0	0.08083544574532599	0.0	0.0848559595152138	0.0	0.08267754893220297	0.0	0.07841911982385479	0.0	0.08652076059884985	0.0	0.07802720546615154	0.0	0.08025284385844617	0.0	0.08730233073574728	0.0	0.07872176463077901	0.0	0.08754304818669147	0.0	0.08097290529525335	0.0	0.08481845861515364	0.0	0.07996915026569547	0.0	0.08253641179975246	0.0	0.08351485506548632	0.0	0.08627547483995571	0.0	0.08360538939006962	0.0	0.07726745516620505	0.0	0.08308835393966672	0.0	0.07605575846496951	0.0	0.07812711942979393	0.0	0.08369902027465335	0.0	0.08280460293433653	0.0	0.0805816658295913
1257	0.0	0.001458753962786663	0.0	0.0013662693859012502	0.0	0.0014262947098346444	0.0	0.001329914279198254	0.0	0.0014141139487957464	0.0	0.0013889819420061721	0.0	0.0014083433754207785	0.0	0.0014919020641850271	0.0	0.001372292463320695	0.0	0.0014575725553660904	0.0	0.0014567333355910601	0.0	0.0013769861946794583	0.0	0.001359813955219941	0.0	0.0014489608434587785	0.0	0.0014384291047554736	0.0	0.0013706985166080667	0.0	0.0014189990811710779	0.0	0.0013284554153174303	0.0	0.0014213392112953332	0.0	0.00146895194526017	0.0	0.0013988632706849642	0.0	0.0014103894393113331	0.0	0.001406202109745934	0.0	0.0013932336932217313	0.0	0.001360391278351916	0.0	0.0013451567998073535	0.0	0.0013980303276299366	0.0	0.001395301699632007	0.0	0.0014013860046659713	0.0	0.0013684867857893684	0.0	0.0014403596949243969	0.0	0.0014483430788805498	0.0	0.0013869615517768641	0.0	0.001426659998510196	0.0	0.0014629135943096162	0.0	0.001382881041139378	0.0	0.001372314538117829	0.0	0.001459814448179558	0.0	0.001313305784684064	0.0	0.00137940598482228	0.0	0.001371855084377164	0.0	0.0013499614711423528	0.0	0.07947644912522338	0.0	0.07796143938621888	0.0	0.08111563828608963	0.0	0.08377599784733392	0.0	0.08053663570471048	0.0	0.08696209968261152	0.0	0.07584018068690367	0.0	0.0838509878502162	0.0	0.08558229357307874	0.0	0.08355970725897606	0.0	0.0816108406824878	0.0	0.08139065887354831	0.0	0.08380656476191571	0.0	0.08094687914088337	0.0	0.07990918566159674	0.0	0.08178994460474294	0.0	0.07911679223281413	0.0	0.08286410348454429	0.0	0.07951341655786871	0.0	0.08361055072775614	0.0	0.07891507075235492	0.0	0.07947379413294654	0.0	0.078696704598185	0.0	0.0804585407722126	0.0	0.08228945650218744	0.0	0.08043434181518401	0.0	0.08196642723483497	0.0	0.08080272370576044	0.0	0.08595390761624062	0.0	0.08445220518919098	0.0	0.08626949388331712	0.0	0.08269340861546946	0.0	0.0806166731186817	0.0	0.08671892853347209	0.0	0.08218802706717854	0.0	0.08998933091027658	0.0	0.08394069801228857	0.0	0.08757209844719413	0.0	0.08087918190722113	0.0	0.08617018714926165	0.0	0.07870295798809644	0.0	0.08235067039958506
1622	0.0	0.0014775398736037789	0.0	0.0013883790233802768	0.0	0.0013805378129956476	0.0	0.0013754157496043888	0.0	0.0014005193955709267	0.0	0.001397696347770917	0.0	0.0013528071838614323	0.0	0.001386803513582665	0.0	0.0014098756229812648	0.0	0.0014561886948419138	0.0	0.0013805992725432136	0.0	0.0013549290149596931	0.0	0.0014121978181324626	0.0	0.0013936401260543968	0.0	0.0013358499273156484	0.0	0.0014055242120452316	0.0	0.0014149578736487103	0.0	0.0013978923919188444	0.0	0.0014370080248254933	0.0	0.001369486999749998	0.0	0.001393066289888309	0.0	0.001413592776269722	0.0	0.001368682801588244	0.0	0.0013731761058196727	0.0	0.0014093276765925	0.0	0.001363697447844852	0.0	0.0014163839461929434	0.0	0.001372888532596517	0.0	0.001402202442608426	0.0	0.0013852427921617365	0.0	0.0013396181947202851	0.0	0.0013931557613187453	0.0	0.0013743303187363654	0.0	0.0013531772061734398	0.0	0.0013901842851608427	0.0	0.0014202579286404235	0.0	0.0014260956646801179	0.0	0.0013570276162367567	0.0	0.001390658361213716	0.0	0.001457250023793054	0.0	0.0013023591753481166	0.0	0.0014078235476554912	0.0	0.0831990704301454	0.0	0.08101445968192528	0.0	0.08121760220349075	0.0	0.08210056874066674	0.0	0.07854083277172141	0.0	0.0851231881653252	0.0	0.08249328258965637	0.0	0.07897138176120705	0.0	0.08240436963876117	0.0	0.07566041874000151	0.0	0.08162404749621874	0.0	0.08197998357439297	0.0	0.08009587659678259	0.0	0.07775008483740328	0.0	0.08282004067210522	0.0	0.08315013745976527	0.0	0.0779481359131476	0.0	0.08210392516262827	0.0	0.08379857853967891	0.0	0.0847095546750991	0.0	0.07989049766591853	0.0	0.08071127502206382	0.0	0.08099493203609927	0.0	0.08525153101201681	0.0	0.08380910218836818	0.0	0.08041780913455776	0.0	0.08308553711909535	0.0	0.07996609914710459	0.0	0.08006660068578915	0.0	0.08082059256712128	0.0	0.07864251222246424	0.0	0.08371198847956836	0.0	0.0832746079255871	0.0	0.08360540431348018	0.0	0.07900167253238156	0.0	0.08071344120875741	0.0	0.08436443815244067	0.0	0.07953075293618181	0.0	0.08452180889442282	0.0	0.07950775147303507	0.0	0.08382368815325528	0.0	0.08122858614241492
2094	0.0	0.0013605435973538997	0.0	0.0013470600559371325	0.0	0.0013015419956768522	0.0	0.0013967939996845458	0.0	0.0014345850117796243	0.0	0.001359621253692681	0.0	0.0013895378635924418	0.0	0.0013464830055112784	0.0	0.0014095790086327915	0.0	0.0013356636177161256	0.0	0.0014001486132493028	0.0	0.0013927250404081747	0.0	0.0014100881237893031	0.0	0.0013901602009576063	0.0	0.00140602655313285	0.0	0.0014158357571179263	0.0	0.0013128655433371538	0.0	0.0014234493575498257	0.0	0.0014155141456628953	0.0	0.001415597661446441	0.0	0.0013645363696596937	0.0	0.0014065472888529656	0.0	0.0013686983243403666	0.0	0.0014164242231495604	0.0	0.001383553589248131	0.0	0.0013996084151796187	0.0	0.0013701962253950242	0.0	0.0013896400254146827	0.0	0.0013852406946657711	0.0	0.0013795940417808017	0.0	0.0013812686910791658	0.0	0.0014482765134056828	0.0	0.0013898316751861492	0.0	0.0013812002205169534	0.0	0.00139717334385466	0.0	0.001380979851506155	0.0	0.0013999236265933774	0.0	0.0013855817002937172	0.0	0.0013670969537505496	0.0	0.0014302772929481037	0.0	0.001376035606172782	0.0	0.0013697670365852826	0.0	0.08327041972346545	0.0	0.08390808416541878	0.0	0.08421047653413184	0.0	0.08269265420078585	0.0	0.08266623052424205	0.0	0.07873319983846995	0.0	0.08080729621976564	0.0	0.083112295661263	0.0	0.08089813001380934	0.0	0.08287414431344622	0.0	0.08368735933739871	0.0	0.080958672279301	0.0	0.08228687893579224	0.0	0.08380517297887087	0.0	0.08215876767244881	0.0	0.08038697096189609	0.0	0.08203458822317526	0.0	0.08256149901999209	0.0	0.08203961636357943	0.0	0.08029197478427932	0.0	0.08203843723522297	0.0	0.08035716438523519	0.0	0.081472738166843	0.0	0.08228151952868343	0.0	0.08242740045183512	0.0	0.08304896203317287	0.0	0.08126516036901126	0.0	0.08191887865948429	0.0	0.08189874985071302	0.0	0.08155226051546291	0.0	0.07992425344680226	0.0	0.08051273545868917	0.0	0.08106396492201823	0.0	0.08146985785112527	0.0	0.08092618004145723	0.0	0.0800395313771564	0.0	0.08118445714917642	0.0	0.0832590705846236	0.0	0.08106323666260638	0.0	0.08275297485585574	0.0	0.08085851520421167	0.0	0.08145049012005898
2703	0.0	0.0014154862993385371	0.0	0.001415475370122721	0.0	0.0013881333498742946	0.0	0.0013807041229331656	0.0	0.0014148150071323948	0.0	0.0013925525342661181	0.0	0.0014522551531410174	0.0	0.0013618185018866107	0.0	0.0014206776330998871	0.0	0.0014090722351999632	0.0	0.001407021232107982	0.0	0.001379632612895662	0.0	0.0014198978651719547	0.0	0.0014072748063775537	0.0	0.0013921673056468816	0.0	0.0013905265007058748	0.0	0.0014166189389966438	0.0	0.0014350743794612133	0.0	0.0013979507018450515	0.0	0.0013994745815696544	0.0	0.0014006512302254166	0.0	0.0013895384502989013	0.0	0.0013655494085265177	0.0	0.0013764250171473728	0.0	0.0013819282985985707	0.0	0.0013973725553290792	0.0	0.001408014342678222	0.0	0.0013746411198024835	0.0	0.0014235673733035172	0.0	0.0014030139088573815	0.0	0.0013988703016463452	0.0	0.00139443004687899	0.0	0.0013894052826332413	0.0	0.0013879592332467494	0.0	0.0014090535525983128	0.0	0.0013707225983388477	0.0	0.001376962315062749	0.0	0.0013905440035536034	0.0	0.0013930717308438358	0.0	0.001409576968589034	0.0	0.0013824718042466306	0.0	0.0013875702094499945	0.0	0.08338182284127875	0.0	0.08123729471911775	0.0	0.08404600118773765	0.0	0.08268703501769377	0.0	0.0809451716363627	0.0	0.08263078952825204	0.0	0.0838649759803262	0.0	0.0822897293748635	0.0	0.08051949186052416	0.0	0.08196936801928092	0.0	0.08183526624673533	0.0	0.0824636425478242	0.0	0.08117494915283946	0.0	0.07997067364500705	0.0	0.08256820762726548	0.0	0.08170666232563997	0.0	0.08225495041336306	0.0	0.08237920320047061	0.0	0.08209458001570712	0.0	0.08026206144348325	0.0	0.08185017628377095	0.0	0.08191071737473926	0.0	0.08138639973093521	0.0	0.08150019153923846	0.0	0.07950400379651137	0.0	0.08176962251320008	0.0	0.08185937349781851	0.0	0.08484013773443931	0.0	0.08121751128967127	0.0	0.08280938205592436	0.0	0.081073685320261	0.0	0.08315977530859246	0.0	0.08031800526569928	0.0	0.08053959150502647	0.0	0.08148430072209885	0.0	0.08032701860082259	0.0	0.08296061978639498	0.0	0.07990509722903276	0.0	0.08069696960714762	0.0	0.08199637144631708	0.0	0.08172028364412681	0.0	0.08151443982437556
3488	0.0	0.0013955620995760114	0.0	0.001414813461979129	0.0	0.0013909358471585818	0.0	0.0013970568628150141	0.0	0.0013998212968057983	0.0	0.001351327982264122	0.0	0.0014013483264055655	0.0	0.0013946363654990244	0.0	0.001408334000847119	0.0	0.0013844165288313171	0.0	0.0013725952739747339	0.0	0.0014174765048914155	0.0	0.0013775025468830981	0.0	0.0013571499269809453	0.0	0.001394059822066213	0.0	0.0013855529806518117	0.0	0.0014256619592922745	0.0	0.0013555423536645121	0.0	0.0013922150934161392	0.0	0.001392261071825305	0.0	0.0013844723440191535	0.0	0.001413321986226883	0.0	0.0013770835583611788	0.0	0.0014113048854639777	0.0	0.001367308384102736	0.0	0.0013828365235480462	0.0	0.0013794132129291198	0.0	0.0013900444395607194	0.0	0.0013769785475237222	0.0	0.001381286386186413	0.0	0.001397413987402438	0.0	0.001388861328213127	0.0	0.0013736843272622644	0.0	0.0013978268841236556	0.0	0.0014272479912541462	0.0	0.0013909846309972673	0.0	0.001391847303781212	0.0	0.0013833621423235286	0.0	0.0013919625831658492	0.0	0.0014290809779058495	0.0	0.0013800643781710013	0.0	0.0014090556101719793	0.0	0.08046034729857394	0.0	0.0817990883059644	0.0	0.080268019474987	0.0	0.08216156734399958	0.0	0.0813312027224117	0.0	0.08208853603119592	0.0	0.08160049797083482	0.0	0.08243069004961362	0.0	0.08082022140035021	0.0	0.08162616761147956	0.0	0.08228214946786928	0.0	0.08148534361048826	0.0	0.08349964736207062	0.0	0.081328323690176	0.0	0.08240676105001185	0.0	0.08306393818043663	0.0	0.08259824464536618	0.0	0.08164130104086924	0.0	0.08173827980944588	0.0	0.08030667388503289	0.0	0.08080750770564109	0.0	0.08109614791760966	0.0	0.0820197985164257	0.0	0.08101163263429885	0.0	0.08184261120522922	0.0	0.08255624527168333	0.0	0.08208491011305391	0.0	0.0807383676073177	0.0	0.08231383362220249	0.0	0.08313904347318347	0.0	0.08274198291133184	0.0	0.07918424593898933	0.0	0.08049323045357482	0.0	0.08139447264173068	0.0	0.08234225821614125	0.0	0.0842385089454578	0.0	0.081625972677731	0.0	0.08225697688968073	0.0	0.08045210176590184	0.0	0.08130686566351206	0.0	0.08246660745548672	0.0	0.08233347576785366
4502	0.0	0.0013924937102257305	0.0	0.0013923159996224992	0.0	0.001405512712756119	0.0	0.0014116248379210596	0.0	0.0014024090302460427	0.0	0.0014061157777695975	0.0	0.0013695208513818512	0.0	0.0013975553044591998	0.0	0.0013952820466991813	0.0	0.0013887035870166807	0.0	0.0013888844147986086	0.0	0.0013953143177609254	0.0	0.0013919683250213433	0.0	0.0014136204392010332	0.0	0.001388062696875557	0.0	0.001422964160744734	0.0	0.0013983272374997102	0.0	0.001390037035357432	0.0	0.0013921266253224605	0.0	0.0014058979179234067	0.0	0.0014116682745019754	0.0	0.0013972299072113345	0.0	0.001425474669205979	0.0	0.0014173296483043164	0.0	0.0014162863644052474	0.0	0.0014068639392586899	0.0	0.0014161457350969936	0.0	0.0013922121233291998	0.0	0.001372993463104645	0.0	0.0013699276424236813	0.0	0.0014374072848258024	0.0	0.0014085438586049035	0.0	0.00139824753840937	0.0	0.0014248336109344692	0.0	0.0014063032558396654	0.0	0.0013761427250591617	0.0	0.0013959622429034722	0.0	0.00139494939891182	0.0	0.0014252769114505319	0.0	0.0014291991435827248	0.0	0.0013794430113811449	0.0	0.0013880258483015219	0.0	0.08131131125206457	0.0	0.08239657495225831	0.0	0.08078390569796468	0.0	0.08189606034631154	0.0	0.08193778965768551	0.0	0.08114550770772928	0.0	0.0815777080415282	0.0	0.08195995845577796	0.0	0.08184076989621458	0.0	0.08195679650085476	0.0	0.08305338330517179	0.0	0.08142154705441401	0.0	0.0828294184860932	0.0	0.08291995598214903	0.0	0.08030326958440989	0.0	0.08297886844821474	0.0	0.08163418073663468	0.0	0.08236282048632539	0.0	0.08063345287665162	0.0	0.08262308344043238	0.0	0.07979404333356778	0.0	0.08136890658908302	0.0	0.08146339680219129	0.0	0.0820964234946015	0.0	0.08354216430822162	0.0	0.08420728115264549	0.0	0.08074362581125859	0.0	0.08266492110878977	0.0	0.08120007269348921	0.0	0.08228352695531431	0.0	0.08149278726421591	0.0	0.081953442088037	0.0	0.08109802079807671	0.0	0.08185205356774419	0.0	0.08445503257530322	0.0	0.0825216115567823	0.0	0.08217636972744927	0.0	0.08102051249949031	0.0	0.08166256372450871	0.0	0.0830090501865054	0.0	0.08108296858666518	0.0	0.0817145846686013
5811	0.0	0.001383637819735296	0.0	0.0014130329409661098	0.0	0.0014008860034578044	0.0	0.0013897431044321597	0.0	0.0014108577273356032	0.0	0.0014040177620495825	0.0	0.0013980193529633388	0.0	0.0013986420899672045	0.0	0.0013778903720630168	0.0	0.0013695107439924928	0.0	0.0013889890874479005	0.0	0.0013767299243338897	0.0	0.001384071717362959	0.0	0.001423943455884706	0.0	0.0014056805589632356	0.0	0.001369289924329215	0.0	0.0013811397355426532	0.0	0.0013866340361987828	0.0	0.0013946646322036524	0.0	0.0013844999415276637	0.0	0.0013929203134271278	0.0	0.0013803405825727755	0.0	0.0013844617987576737	0.0	0.001399943282446016	0.0	0.0014018814569578882	0.0	0.001406367569964681	0.0	0.0013841414131401286	0.0	0.0014014220023109405	0.0	0.0014075822727613841	0.0	0.0013902941005877502	0.0	0.0013726813532623997	0.0	0.001397623263194366	0.0	0.0013965954410461341	0.0	0.001408580896927608	0.0	0.001403470693043694	0.0	0.0014056688356705739	0.0	0.0013989278298682528	0.0	0.001411270362366106	0.0	0.0013935782896869822	0.0	0.0014040409123494753	0.0	0.0013806769220658253	0.0	0.0014124510774204586	0.0	0.08261752602657964	0.0	0.08166583979967323	0.0	0.08172848231778784	0.0	0.08178998778914397	0.0	0.08125551755274768	0.0	0.08318897941692308	0.0	0.08144426373756286	0.0	0.08238533801507612	0.0	0.08163357715416895	0.0	0.08217634061702166	0.0	0.08232898138394883	0.0	0.08120983750578371	0.0	0.08137852165779172	0.0	0.0809885087424485	0.0	0.08062064457041071	0.0	0.0806153731571407	0.0	0.0820527214285265	0.0	0.0818324310206249	0.0	0.08216841817642258	0.0	0.08156411149296225	0.0	0.08116666174605094	0.0	0.08218437611696965	0.0	0.08115585000950476	0.0	0.08296820412939669	0.0	0.08165511501203597	0.0	0.0811260331752551	0.0	0.08226794896631444	0.0	0.08132479008166242	0.0	0.08085112209057377	0.0	0.08152959878889864	0.0	0.08150688630475413	0.0	0.07989191896493485	0.0	0.08263227580713295	0.0	0.08217650891697516	0.0	0.0812810843106773	0.0	0.08137428348441518	0.0	0.08360571337356724	0.0	0.08318610574087239	0.0	0.08113633997775636	0.0	0.0817308455937112	0.0	0.08326110006593102	0.0	0.08262283320456852
7500	0.0	0.0014057037182571793	0.0	0.0013983764142153406	0.0	0.0013904394294168066	0.0	0.0013931297000949775	0.0	0.0013863142291521276	0.0	0.0013842061512185106	0.0	0.001379095857077819	0.0	0.0013966875476756622	0.0	0.0014034645128833945	0.0	0.0013999841245297378	0.0	0.0014055325035063051	0.0	0.001390828610313891	0.0	0.001390899284627525	0.0	0.001398151392975312	0.0	0.0013784358316889132	0.0	0.0013680223661414184	0.0	0.001395168744317114	0.0	0.001399818971342184	0.0	0.001391369529134685	0.0	0.001384693846807371	0.0	0.0013954105886209865	0.0	0.0014077552512583053	0.0	0.0013876625128077416	0.0	0.0014145258362700144	0.0	0.0014039967150888766	0.0	0.0013953481088097928	0.0	0.0013972345435018497	0.0	0.0014132142912177958	0.0	0.0013939518923881482	0.0	0.0013928358575934347	0.0	0.0013998402901518492	0.0	0.0013830045857045575	0.0	0.0014206038976424058	0.0	0.0014186975192892431	0.0	0.0014099973011195662	0.0	0.0013965164867424272	0.0	0.001396076210713489	0.0	0.0014007177255177796	0.0	0.0013874305638024145	0.0	0.0013911320082121324	0.0	0.0014158150432898042	0.0	0.0014098099868882898	0.0	0.08141004177728026	0.0	0.08183949624781356	0.0	0.08201804786372381	0.0	0.0815631380158973	0.0	0.08146366806788773	0.0	0.08261888170070054	0.0	0.08166085651940624	0.0	0.08101581434176787	0.0	0.08065981619832718	0.0	0.0814046901830536	0.0	0.08139091094208491	0.0	0.08144906203099911	0.0	0.0832978335951432	0.0	0.08209351304138962	0.0	0.0811487797580131	0.0	0.08044462851442029	0.0	0.08205509896779702	0.0	0.08002044658451553	0.0	0.08128789611939219	0.0	0.08077151300606089	0.0	0.08157024477180806	0.0	0.0807917516931913	0.0	0.08188132586339049	0.0	0.08108786641380608	0.0	0.08166518347742062	0.0	0.08226477101139729	0.0	0.08232990775583489	0.0	0.08154944671052754	0.0	0.08100832472737836	0.0	0.08251499789828982	0.0	0.0804053136993758	0.0	0.08192544077093335	0.0	0.08124560457632171	0.0	0.08244446129992933	0.0	0.08170220719409092	0.0	0.08178959951184639	0.0	0.08176397448600405	0.0	0.08364566144835313	0.0	0.08178169928395047	0.0	0.08163581869863124	0.0	0.08183268138781145	0.0	0.08265911084151999
