# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[a]_run28	std[a]_run28	mean[a]_run29	std[a]_run29	mean[a]_run30	std[a]_run30	mean[a]_run31	std[a]_run31	mean[a]_run32	std[a]_run32	mean[a]_run33	std[a]_run33	mean[a]_run34	std[a]_run34	mean[a]_run35	std[a]_run35	mean[a]_run36	std[a]_run36	mean[a]_run37	std[a]_run37	mean[a]_run38	std[a]_run38	mean[a]_run39	std[a]_run39	mean[a]_run40	std[a]_run40	mean[a]_run41	std[a]_run41	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27	mean[b]_run28	std[b]_run28	mean[b]_run29	std[b]_run29	mean[b]_run30	std[b]_run30	mean[b]_run31	std[b]_run31	mean[b]_run32	std[b]_run32	mean[b]_run33	std[b]_run33	mean[b]_run34	std[b]_run34	mean[b]_run35	std[b]_run35	mean[b]_run36	std[b]_run36	mean[b]_run37	std[b]_run37	mean[b]_run38	std[b]_run38	mean[b]_run39	std[b]_run39	mean[b]_run40	std[b]_run40	mean[b]_run41	std[b]_run41
755	0.0	9.211212841220448e-05	0.0	0.00015050866955590013	0.0	0.00011634693821422034	0.0	0.00010028096659457322	0.0	0.00014911125867900343	0.0	0.00012243040154376987	0.0	0.00014108314272495405	0.0	0.00012388710654844635	0.0	0.00020829682481308004	0.0	0.00014874265761608644	0.0	0.00017975610446034924	0.0	5.879377080318446e-05	0.0	0.00010265347684245453	0.0	0.0001642836375294706	0.0	0.00012024745663081884	0.0	0.0002681861046492484	0.0	0.00018154423409290653	0.0	0.00010059316094559552	0.0	0.00010833211269855202	0.0	0.0001426368457114038	0.0	6.428951536556512e-05	0.0	9.434409610995812e-05	0.0	0.00012125002169048584	0.0	8.527406725348758e-05	0.0	9.884373466610024e-05	0.0	9.737321033044108e-05	0.0	0.00018837142449160281	0.0	5.666506736871065e-05	0.0	0.00012857474389207961	0.0	0.00010193805216342576	0.0	0.00011505929539305887	0.0	0.000128100015077182	0.0	0.0002147522651795833	0.0	0.0001281998452877287	0.0	0.00010556721958016875	0.0	0.00015864745056967327	0.0	0.00011323281592317717	0.0	0.00010404144285496292	0.0	0.0001407500810570274	0.0	9.309116982956081e-05	0.0	8.804330587312481e-05	0.0	0.00011275662625262581	0.0	0.0062134901923465	0.0	0.008728088480490847	0.0	0.009800475998210375	0.0	0.00805096510169543	0.0	0.009007619848048138	0.0	0.008010511123533862	0.0	0.0076469485616003354	0.0	0.00839182162643761	0.0	0.009089307122074973	0.0	0.007432331729130389	0.0	0.008301221033564506	0.0	0.004704260455609006	0.0	0.005135859725487651	0.0	0.005366198772727695	0.0	0.007971748246193766	0.0	0.0053762067072050616	0.0	0.007050251866743445	0.0	0.008367156824284011	0.0	0.008225382275032608	0.0	0.008312568569976881	0.0	0.007906780126808195	0.0	0.005669438284636193	0.0	0.0070975417457042	0.0	0.01142866654230271	0.0	0.010118103634064164	0.0	0.006310049136262352	0.0	0.006145302168006431	0.0	0.004338217585575514	0.0	0.005919145803851316	0.0	0.007697092654118433	0.0	0.003484470682227678	0.0	0.007786978341994307	0.0	0.003601578303546824	0.0	0.006027545331771241	0.0	0.008176824446085666	0.0	0.0052858582290061015	0.0	0.009008529117504925	0.0	0.009649452242045145	0.0	0.010217056477619491	0.0	0.006317143365973446	0.0	0.008056268983488232	0.0	0.004173043945343159
974	0.0	0.0006375575708154672	0.0	0.0006474799502222864	0.0	0.0006822137685335894	0.0	0.0006998004496312067	0.0	0.0006551394075229632	0.0	0.0006384340312501464	0.0	0.0006982280204058737	0.0	0.0006754380822501974	0.0	0.0006724714917094545	0.0	0.0007256591974578753	0.0	0.0006315122460805673	0.0	0.0006787666724322629	0.0	0.0006886559969252811	0.0	0.0005929395515237051	0.0	0.0006341982757892395	0.0	0.0006472593241860803	0.0	0.0005923931392099914	0.0	0.0006536778413168701	0.0	0.0006935744458289302	0.0	0.0006411863224130798	0.0	0.0006749585551346202	0.0	0.0006576809411900483	0.0	0.0006112442547793757	0.0	0.000676004954193799	0.0	0.0007372630299750634	0.0	0.000686386818352234	0.0	0.0006654769269793779	0.0	0.0007045286353285423	0.0	0.0006434608123797309	0.0	0.0006529747961686194	0.0	0.0006686609917604984	0.0	0.0006940646261745534	0.0	0.0006387621303758632	0.0	0.0006562059234609708	0.0	0.0005742632177096047	0.0	0.0006310033802983992	0.0	0.0006414069426255133	0.0	0.0006267292396017218	0.0	0.000640367628610739	0.0	0.0007238631679337924	0.0	0.000689854692724069	0.0	0.0007010510515709092	0.0	0.03678860793615088	0.0	0.03830835625226879	0.0	0.03940442187265513	0.0	0.03933043645590725	0.0	0.041332317489920875	0.0	0.0406099823582955	0.0	0.04025942020583181	0.0	0.03897363334697929	0.0	0.0369511013698655	0.0	0.03896402231523814	0.0	0.041544389348340184	0.0	0.03766672666390275	0.0	0.04135117174226912	0.0	0.04208518610906436	0.0	0.04162095643597937	0.0	0.03924616248922941	0.0	0.03985174190406527	0.0	0.03803738865788958	0.0	0.03861196506220267	0.0	0.04053240894401287	0.0	0.03949186648708936	0.0	0.03745777965259063	0.0	0.0413276200136641	0.0	0.03727057732634021	0.0	0.03833367868060406	0.0	0.04170094583059124	0.0	0.03760234136810379	0.0	0.04181592724400486	0.0	0.038677624171153266	0.0	0.040514496214892955	0.0	0.038198169226915005	0.0	0.039424450739246206	0.0	0.03989181523316993	0.0	0.041210456496281946	0.0	0.039935059977421763	0.0	0.036907674001356326	0.0	0.039688092145886894	0.0	0.036328893365427245	0.0	0.03731830236129011	0.0	0.0399797838285858	0.0	0.03955255526842983	0.0	0.03849074421472062
1257	0.0	0.0009249812261791793	0.0	0.0008663376855188254	0.0	0.0009043991401233083	0.0	0.0008432852777558511	0.0	0.0008966754419747653	0.0	0.0008807394890659165	0.0	0.0008930163793964951	0.0	0.0009460001041114104	0.0	0.0008701568583738329	0.0	0.0009242321076078668	0.0	0.0009236999667833388	0.0	0.0008731331062527362	0.0	0.0008622443618059587	0.0	0.0009187715076419137	0.0	0.0009120934379824	0.0	0.000869146152783773	0.0	0.000899773055314542	0.0	0.0008423602268317496	0.0	0.000901256908306186	0.0	0.0009314476643678903	0.0	0.000887005140266019	0.0	0.0008943137679449457	0.0	0.0008916586243534793	0.0	0.0008834354817782614	0.0	0.0008626104366013926	0.0	0.0008529504068747693	0.0	0.0008864769794465577	0.0	0.0008847467838579268	0.0	0.0008886047805279168	0.0	0.0008677437165012689	0.0	0.0009133176058045654	0.0	0.0009183797893318785	0.0	0.000879458379928022	0.0	0.0009046307660010367	0.0	0.0009276188067203175	0.0	0.0008768709691451308	0.0	0.0008701708557808271	0.0	0.0009256536693081022	0.0	0.0008327539983128267	0.0	0.0008746674708615066	0.0	0.0008698795207817427	0.0	0.000855997000677569	0.0	0.05039521758952538	0.0	0.04943456514106121	0.0	0.05143461096129126	0.0	0.05312151822037174	0.0	0.05106747124386973	0.0	0.05514179337129368	0.0	0.04808949632014259	0.0	0.053169068627490934	0.0	0.054266872185374834	0.0	0.052984370532184424	0.0	0.05174861382367403	0.0	0.05160899875162576	0.0	0.05314090039368655	0.0	0.051327602483477994	0.0	0.05066961147789738	0.0	0.05186218182064084	0.0	0.0501671627688831	0.0	0.052543295170181865	0.0	0.05041865826701401	0.0	0.05301660986472104	0.0	0.05003925320558335	0.0	0.050393534085607365	0.0	0.04990078942197567	0.0	0.05101795203208828	0.0	0.052178917294323224	0.0	0.051002607716655	0.0	0.05197408768259304	0.0	0.051236194970941944	0.0	0.05450250891513056	0.0	0.05355029449942805	0.0	0.05470261899519375	0.0	0.05243505926931916	0.0	0.05111822216363	0.0	0.05498760098968553	0.0	0.05211460190902961	0.0	0.057061330266702986	0.0	0.05322595293960335	0.0	0.05552858745694848	0.0	0.051284676348023174	0.0	0.05463964959323989	0.0	0.04990475463366705	0.0	0.05221773241141527
1622	0.0	0.0010824487136711137	0.0	0.001017129293628082	0.0	0.0010113848069674524	0.0	0.001007632372919302	0.0	0.001026023354963433	0.0	0.0010239551844088881	0.0	0.000991069291716815	0.0	0.001015975071949014	0.0	0.0010328777461755167	0.0	0.0010668067967259068	0.0	0.0010114298323568806	0.0	0.0009926237494908296	0.0	0.001034578991061842	0.0	0.0010209835881373757	0.0	0.000978646371115285	0.0	0.0010296898936819837	0.0	0.0010366010133413058	0.0	0.0010240988067500092	0.0	0.0010527549988979502	0.0	0.001003288958729125	0.0	0.0010205631945961002	0.0	0.0010356009402276648	0.0	0.0010026998015217436	0.0	0.0010059916053318026	0.0	0.0010324763195377154	0.0	0.0009990475212394057	0.0	0.0010376457569849008	0.0	0.0010057809286041874	0.0	0.0010272563586429515	0.0	0.0010148316842647533	0.0	0.0009814070114728059	0.0	0.0010206287415478385	0.0	0.0010068371840598605	0.0	0.0009913403708144545	0.0	0.0010184518320767047	0.0	0.0010404838443976157	0.0	0.0010447605816822124	0.0	0.0009941611890506338	0.0	0.001018799141156333	0.0	0.0010675843284720663	0.0	0.0009541109781727492	0.0	0.0010313743916221668	0.0	0.06095180805245312	0.0	0.059351357779314044	0.0	0.05950018040338587	0.0	0.060147043482653983	0.0	0.05753917367864289	0.0	0.062361420614933175	0.0	0.060434746446393885	0.0	0.0578545947431888	0.0	0.06036960863790247	0.0	0.05542897650618301	0.0	0.059797943050709894	0.0	0.060058702544820285	0.0	0.05867840194463492	0.0	0.05695987013521087	0.0	0.06067413008154793	0.0	0.06091595965892385	0.0	0.057104962755728586	0.0	0.06014950240420304	0.0	0.06139100891166044	0.0	0.06205839187951602	0.0	0.0585279409225667	0.0	0.0591292440814472	0.0	0.059337051786302955	0.0	0.0624554448452041	0.0	0.06139871855807362	0.0	0.05891425037595586	0.0	0.060868633318085195	0.0	0.05858332672130111	0.0	0.05865695435275432	0.0	0.059209330337082734	0.0	0.05761366425086339	0.0	0.06132757285767784	0.0	0.06100714697510116	0.0	0.061249489081029285	0.0	0.05787678582370023	0.0	0.05913083103422048	0.0	0.06180555881376116	0.0	0.058264391202582685	0.0	0.06192084893910487	0.0	0.05824754028394387	0.0	0.06140940426558766	0.0	0.05950822725936041
2094	0.0	0.0010894419812732992	0.0	0.0010786451673349341	0.0	0.001042197025687638	0.0	0.0011184691364588164	0.0	0.001148729919848087	0.0	0.0010887034236058734	0.0	0.001112658856438429	0.0	0.0010781830998492176	0.0	0.001128706607353731	0.0	0.0010695195808714795	0.0	0.001121155310467134	0.0	0.0011152109571072749	0.0	0.0011291142763368387	0.0	0.0011131571869979532	0.0	0.0011258620133504451	0.0	0.001133716637520519	0.0	0.0010512642457473807	0.0	0.0011398131536154714	0.0	0.0011334591102928364	0.0	0.001133525984739837	0.0	0.0010926391546531578	0.0	0.0011262789873862258	0.0	0.0010959717991653232	0.0	0.0011341878459409354	0.0	0.0011078670072754713	0.0	0.0011207227521452538	0.0	0.0010971712287873583	0.0	0.001112740661518582	0.0	0.001109217940440998	0.0	0.0011046964383601178	0.0	0.0011060373974099388	0.0	0.0011596932558904669	0.0	0.001112894123199004	0.0	0.0011059825702767984	0.0	0.0011187728925935536	0.0	0.0011058061119463174	0.0	0.0011209751546024723	0.0	0.0011094909973629944	0.0	0.0010946895173248022	0.0	0.0011452805561175112	0.0	0.001101847055843766	0.0	0.0010968275600448535	0.0	0.06667797431954992	0.0	0.06718857788593346	0.0	0.06743071561818503	0.0	0.06621533422704304	0.0	0.06619417572643903	0.0	0.063044839864619	0.0	0.064705652260036	0.0	0.06655135802298445	0.0	0.0647783865323827	0.0	0.06636066066002377	0.0	0.06701183463829177	0.0	0.06482686515945225	0.0	0.06589041365154209	0.0	0.0671061727596398	0.0	0.06578782981017772	0.0	0.06436908092001924	0.0	0.06568839433048188	0.0	0.06611031299854572	0.0	0.06569242056474196	0.0	0.06429301365972893	0.0	0.06569147638924086	0.0	0.06434521359522669	0.0	0.06523849839202052	0.0	0.06588612215870758	0.0	0.06600293488139979	0.0	0.06650064423960995	0.0	0.06507228250024165	0.0	0.06559574102884205	0.0	0.06557962308205142	0.0	0.06530217513505504	0.0	0.06399856439457006	0.0	0.06446978561101673	0.0	0.06491117721348603	0.0	0.06523619200737518	0.0	0.0648008473177298	0.0	0.06409087207003622	0.0	0.06500766018612913	0.0	0.06666888660760178	0.0	0.06491059406688335	0.0	0.06626363540173441	0.0	0.06474666536097752	0.0	0.06522068348611453
2703	0.0	0.0012027950509886777	0.0	0.0012027857639989683	0.0	0.0011795521610639156	0.0	0.0011732392512168632	0.0	0.0012022246272808022	0.0	0.0011833073179441874	0.0	0.0012340390096231171	0.0	0.0011571913872846875	0.0	0.0012072063339231	0.0	0.0011973447653828	0.0	0.0011956019464168031	0.0	0.0011723287464872896	0.0	0.001206543734076621	0.0	0.001195817418567004	0.0	0.001182979973852667	0.0	0.001181585716583202	0.0	0.0012037574999900985	0.0	0.0012194398223587242	0.0	0.001187894355806286	0.0	0.001189189257065246	0.0	0.0011901891022637239	0.0	0.0011807461308237426	0.0	0.0011603616871627418	0.0	0.0011696031247038668	0.0	0.0011742794820072122	0.0	0.0011874030816989474	0.0	0.001196445831998406	0.0	0.0011680872761231297	0.0	0.0012096618611982092	0.0	0.0011921967643420718	0.0	0.0011886757763614722	0.0	0.0011849027151444196	0.0	0.0011806329729575841	0.0	0.0011794042072348996	0.0	0.0011973288900325304	0.0	0.001164757552461476	0.0	0.0011700596881293282	0.0	0.0011816005894496051	0.0	0.0011837484999425302	0.0	0.001197773657434053	0.0	0.0011747413203902313	0.0	0.0011790736382299774	0.0	0.07085285382329118	0.0	0.06903056291645107	0.0	0.07141723260143121	0.0	0.07026246495404832	0.0	0.06878233430527946	0.0	0.07021467092285742	0.0	0.07126340827711204	0.0	0.06992485853486256	0.0	0.06842061725586408	0.0	0.06965263473926474	0.0	0.06953868312530559	0.0	0.07007263948041935	0.0	0.06897758540716284	0.0	0.06795426457281455	0.0	0.07016149259056033	0.0	0.06942940325456189	0.0	0.06989530546692352	0.0	0.07000088800592391	0.0	0.06975903235660388	0.0	0.06820186838366703	0.0	0.06955135277725837	0.0	0.06960279695204986	0.0	0.06915726338001299	0.0	0.06925395680893146	0.0	0.06755771662708131	0.0	0.06948290303201789	0.0	0.06955916801612323	0.0	0.0720920420352126	0.0	0.06901375214898489	0.0	0.07036642810237101	0.0	0.06889153749788503	0.0	0.07066417119632111	0.0	0.06824940607620862	0.0	0.06843769672385001	0.0	0.06924045374908512	0.0	0.06825706506583241	0.0	0.07049494082186385	0.0	0.06789854168193789	0.0	0.06857142716154749	0.0	0.06967558062606982	0.0	0.06944097783106716	0.0	0.06926606414395546
3488	0.0	0.0012361786518383796	0.0	0.0012532313671770724	0.0	0.0012320807514452834	0.0	0.0012375027021304943	0.0	0.0012399514174437443	0.0	0.0011969963957994074	0.0	0.0012413040490411	0.0	0.001235358643396191	0.0	0.001247491908123805	0.0	0.0012263059871813694	0.0	0.0012158348065036421	0.0	0.0012555902710181116	0.0	0.001220181632782393	0.0	0.001202153431644181	0.0	0.0012348479454604158	0.0	0.0012273126478521963	0.0	0.0012628408863716032	0.0	0.0012007294550145172	0.0	0.001233213898379065	0.0	0.001233254625716009	0.0	0.0012263554278645712	0.0	0.0012519102289165664	0.0	0.001219810495828818	0.0	0.0012501234958844304	0.0	0.001211151718308306	0.0	0.0012249064301128852	0.0	0.0012218740867245015	0.0	0.0012312911491460382	0.0	0.0012197174780007212	0.0	0.0012235333298298877	0.0	0.0012378190404655313	0.0	0.0012302431578090102	0.0	0.0012167994819023004	0.0	0.0012381847813468124	0.0	0.0012642457818277033	0.0	0.001232123963811079	0.0	0.001232888113023328	0.0	0.0012253720193614417	0.0	0.0012329902266550526	0.0	0.0012658694279331886	0.0	0.0012224508841103554	0.0	0.0012481311043606696	0.0	0.07127118433512708	0.0	0.07245703128108487	0.0	0.07110082176240823	0.0	0.07277811254912318	0.0	0.07204258166965845	0.0	0.07271342194894777	0.0	0.07228112142166472	0.0	0.07301649946397712	0.0	0.07158995816977087	0.0	0.07230385940070197	0.0	0.07288492330829065	0.0	0.07217911853553748	0.0	0.07396337399559944	0.0	0.07204003144406203	0.0	0.07299530333198377	0.0	0.07357742600452864	0.0	0.07316491809353845	0.0	0.07231726448124001	0.0	0.0724031675617496	0.0	0.07113506155475617	0.0	0.07157869647243029	0.0	0.07183437185097925	0.0	0.07265253476351534	0.0	0.07175950883412413	0.0	0.07249558354540453	0.0	0.07312771535698293	0.0	0.07271021013730437	0.0	0.07151745268144502	0.0	0.07291298889935259	0.0	0.07364395372089605	0.0	0.07329224039320029	0.0	0.0701408231288578	0.0	0.07130031199216906	0.0	0.07209862569922146	0.0	0.0729381671957716	0.0	0.07461785215628054	0.0	0.07230368672982007	0.0	0.07286262562352412	0.0	0.07126388050288245	0.0	0.07202102408173783	0.0	0.07304831483814303	0.0	0.07293038776762056
4502	0.0	0.0012710258098794715	0.0	0.0012708636010581769	0.0	0.0012829091585175977	0.0	0.0012884881200459733	0.0	0.0012800762117351385	0.0	0.0012834596178780506	0.0	0.0012500568846320072	0.0	0.001275645878798012	0.0	0.0012735709184127147	0.0	0.0012675663009524651	0.0	0.0012677313550394514	0.0	0.0012736003744541241	0.0	0.0012705462542807633	0.0	0.0012903096440603711	0.0	0.0012669813159685596	0.0	0.0012988383082512091	0.0	0.0012763504757457621	0.0	0.001268783431949029	0.0	0.0012706907459699931	0.0	0.0012832607620516933	0.0	0.0012885277676329113	0.0	0.0012753488661095783	0.0	0.0013011298238442283	0.0	0.0012936952970582212	0.0	0.001292743019318644	0.0	0.001284142516878319	0.0	0.0012926146571730181	0.0	0.0012707687859442197	0.0	0.001253226578753387	0.0	0.0012504281910943609	0.0	0.0013120215516278378	0.0	0.001285675896046839	0.0	0.0012762777288456498	0.0	0.0013005446853960314	0.0	0.0012836307421453229	0.0	0.0012561011290632856	0.0	0.0012741917807728735	0.0	0.0012732672876528564	0.0	0.0013009493165935093	0.0	0.001304529410518349	0.0	0.0012591135298119782	0.0	0.0012669476817134733	0.0	0.07421848621475194	0.0	0.07520908183708186	0.0	0.0737370865024142	0.0	0.07475222736247397	0.0	0.07479031660581867	0.0	0.07406714579384223	0.0	0.0744616450833277	0.0	0.07481055160892326	0.0	0.07470175992510096	0.0	0.07480766547285846	0.0	0.07580859647945831	0.0	0.07431910609470545	0.0	0.07560416821995276	0.0	0.0756868080864051	0.0	0.07329837650968522	0.0	0.07574058158954075	0.0	0.07451319163790576	0.0	0.07517827178955032	0.0	0.07359975775352742	0.0	0.07541583188019647	0.0	0.07283357031118287	0.0	0.07427105748264465	0.0	0.07435730526872772	0.0	0.07493511273635757	0.0	0.07625474087902934	0.0	0.07686183925918028	0.0	0.07370032024972205	0.0	0.07545402002849248	0.0	0.07411695104948349	0.0	0.07510589507162944	0.0	0.0743841319865242	0.0	0.0748046036670944	0.0	0.0740238011903036	0.0	0.07471205931650146	0.0	0.07708797920532139	0.0	0.0753232114380722	0.0	0.07500808522061796	0.0	0.0739530539781189	0.0	0.07453909876400942	0.0	0.07576813056019158	0.0	0.07401006199057916	0.0	0.07458658189596933
5811	0.0	0.0012911202653036033	0.0	0.0013185498687596727	0.0	0.0013072151415972205	0.0	0.001296817317440467	0.0	0.0013165201017500884	0.0	0.0013101374937664156	0.0	0.0013045401709552255	0.0	0.0013051212683740563	0.0	0.0012857571232604982	0.0	0.0012779378027249926	0.0	0.001296113718135161	0.0	0.0012846742693817376	0.0	0.0012915251501745952	0.0	0.0013287308472754173	0.0	0.0013116891070294242	0.0	0.0012777317482661093	0.0	0.0012887892166147399	0.0	0.0012939161384288292	0.0	0.001301409765082036	0.0	0.0012919247409412364	0.0	0.001299782080951552	0.0	0.0012880434993614454	0.0	0.0012918891486044229	0.0	0.0013063354560426006	0.0	0.0013081440336589973	0.0	0.0013123301807365752	0.0	0.001291590185712816	0.0	0.0013077153006501119	0.0	0.0013134636618938366	0.0	0.001297331470994554	0.0	0.0012808964078045485	0.0	0.0013041705659037398	0.0	0.0013032114695377818	0.0	0.0013143955126137601	0.0	0.0013096270047714292	0.0	0.0013116781676199083	0.0	0.0013053879021503135	0.0	0.001316905145756877	0.0	0.0013003960613379426	0.0	0.0013101590961112732	0.0	0.0012883573493656197	0.0	0.0013180069117772048	0.0	0.07709326862904892	0.0	0.07620521732238247	0.0	0.07626367122083318	0.0	0.07632106410165956	0.0	0.07582233145387397	0.0	0.07762651153584524	0.0	0.07599845704160928	0.0	0.07687660597156969	0.0	0.076175111932931	0.0	0.0766815832769201	0.0	0.07682401765149427	0.0	0.07577970582344241	0.0	0.07593711083506229	0.0	0.07557317630570247	0.0	0.07522990953413645	0.0	0.07522499059624489	0.0	0.07656622994010759	0.0	0.07636066934770615	0.0	0.07667419057381365	0.0	0.0761102911238671	0.0	0.07573941702996932	0.0	0.07668908147961212	0.0	0.0757293282249665	0.0	0.07742049848550951	0.0	0.07619520965241126	0.0	0.07570150510651896	0.0	0.0767670661934434	0.0	0.07588697204452205	0.0	0.07544497607303492	0.0	0.07607808612701646	0.0	0.076056892323164	0.0	0.07454991048839231	0.0	0.07710703215900566	0.0	0.0766817403234228	0.0	0.07584618867923328	0.0	0.075933156049022	0.0	0.07801538039226777	0.0	0.07762383000941395	0.0	0.07571112274011502	0.0	0.0762658764752673	0.0	0.07769380980577746	0.0	0.07709822094023566
7500	0.0	0.0013334589595326194	0.0	0.0013265082350684887	0.0	0.0013189791637899398	0.0	0.0013215311706551015	0.0	0.0013150659741317221	0.0	0.0013130662387881604	0.0	0.0013082185831838904	0.0	0.0013249061661619761	0.0	0.0013313348359145858	0.0	0.0013280333186940227	0.0	0.0013332965441953098	0.0	0.001319348343117957	0.0	0.0013194153851948177	0.0	0.0013262947785735643	0.0	0.0013075924791500725	0.0	0.0012977142034126304	0.0	0.0013234654202068216	0.0	0.0013278766533919542	0.0	0.0013198614619484748	0.0	0.0013135288697423539	0.0	0.0013236948351607854	0.0	0.0013354050560148282	0.0	0.0013163449640762024	0.0	0.0013418276734753084	0.0	0.0013318396861116558	0.0	0.0013236355664379784	0.0	0.0013254250496761775	0.0	0.0013405835339898701	0.0	0.0013223111071847897	0.0	0.001321252429899645	0.0	0.0013278968765423843	0.0	0.0013119264265508892	0.0	0.0013475933588671446	0.0	0.001345784956952667	0.0	0.001337531877930704	0.0	0.001324743896737	0.0	0.0013243262482611293	0.0	0.0013287292169814934	0.0	0.0013161249358616574	0.0	0.0013196361481799044	0.0	0.0013430506229695036	0.0	0.0013373541905299386	0.0	0.07722605282600402	0.0	0.07763343590680993	0.0	0.07780281103819947	0.0	0.07737128083415624	0.0	0.07727692304619928	0.0	0.07837276561162859	0.0	0.07746397719137842	0.0	0.07685208632143413	0.0	0.07651438435210554	0.0	0.07722097627169411	0.0	0.07720790520124976	0.0	0.07726306767219734	0.0	0.07901682344186516	0.0	0.07787439775735247	0.0	0.07697821811101209	0.0	0.07631025602736685	0.0	0.07783795793725462	0.0	0.07590787451015452	0.0	0.07711018472395424	0.0	0.0766203406123681	0.0	0.07737802234534334	0.0	0.07663953915209785	0.0	0.07767311573047439	0.0	0.07692043534816309	0.0	0.07746808176964536	0.0	0.07803685409259022	0.0	0.07809864319817268	0.0	0.07735829317994722	0.0	0.0768449816284028	0.0	0.07827422081497211	0.0	0.07627296175853727	0.0	0.07771496339577393	0.0	0.07707006671310497	0.0	0.07820730937564307	0.0	0.07750320268884618	0.0	0.0775861035644659	0.0	0.07756179551159957	0.0	0.07934677502498597	0.0	0.07757860936100516	0.0	0.07744022616475311	0.0	0.07762697128982861	0.0	0.07841092721536004
