# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27
755	0.0	0.00010344172505440458	0.0	0.00011390627273335213	0.0	0.00015658192128047724	0.0	0.00014229058056174174	0.0	7.645800999683542e-05	0.0	9.735770863970117e-05	0.0	0.00017144742604596438	0.0	9.514079869718805e-05	0.0	9.7679697156756e-05	0.0	0.00013843372015232344	0.0	0.0001395768854820811	0.0	9.457362176017694e-05	0.0	0.00013319775928606143	0.0	0.00011596252963494223	0.0	0.0001809231529361336	0.0	0.0001557090216392714	0.0	8.703784625584365e-05	0.0	9.50714832154478e-05	0.0	0.00016252432529346493	0.0	0.00011978536058386038	0.0	8.91729606219997e-05	0.0	9.633006508845988e-05	0.0	9.105180594501032e-05	0.0	0.0002070957886744921	0.0	7.456244690842549e-05	0.0	0.00018498518736942486	0.0	8.333260571001985e-05	0.0	0.00014156033500639577	0.0	0.006242524473638847	0.0	0.003727384278617848	0.0	0.003448010306932941	0.0	0.00976232694491088	0.0	0.005437183507580943	0.0	0.00839299291495756	0.0	0.007258672751081848	0.0	0.011249319360997692	0.0	0.005207952759365416	0.0	0.006950360042749315	0.0	0.006960969348098748	0.0	0.008890861907768199	0.0	0.010770920803164495	0.0	0.0009976141027873207	0.0	0.00579269202257471	0.0	0.005615984339875102	0.0	0.008050119743694031	0.0	0.006252682451906196	0.0	0.004019679306321843	0.0	0.007577002281930637	0.0	0.005142773578316315	0.0	0.008527331057179921	0.0	0.003452021940361349	0.0	0.006515522847387512	0.0	0.008217427675866149	0.0	0.007620351556252662	0.0	0.007567471773610857	0.0	0.00712339098855871
974	0.0	0.0006398979125463794	0.0	0.0006681765400412321	0.0	0.0006930133303379208	0.0	0.0006607924544236932	0.0	0.0006413158380840151	0.0	0.0006721184463890769	0.0	0.0007065242746181958	0.0	0.0007464088298938742	0.0	0.0006534232960047343	0.0	0.0006708053850316457	0.0	0.0007018528482345254	0.0	0.000708176569906295	0.0	0.0007236246728123953	0.0	0.0006094226974861052	0.0	0.0006991098990831831	0.0	0.0007254630182584883	0.0	0.0006933095806663454	0.0	0.0006594586498182016	0.0	0.0005852538368174023	0.0	0.0006492226454371012	0.0	0.0006717952423003538	0.0	0.0007515324602770931	0.0	0.0006931704398566871	0.0	0.0006688328237978018	0.0	0.0005881200190195777	0.0	0.0007102630450421535	0.0	0.0007067834584189095	0.0	0.0006414957950005073	0.0	0.038181302333247825	0.0	0.04028660436753519	0.0	0.038027510613287685	0.0	0.04162761691548892	0.0	0.04117507152154923	0.0	0.036873921666954065	0.0	0.04053699202266342	0.0	0.040036893810063895	0.0	0.040113133435612784	0.0	0.03730211004896409	0.0	0.038203387791878	0.0	0.041382723482821744	0.0	0.03772757354995804	0.0	0.03855249848542271	0.0	0.038418202507356954	0.0	0.03987276448165402	0.0	0.04224669094365946	0.0	0.03837886143909531	0.0	0.038118692992503325	0.0	0.038299278117038496	0.0	0.03956682500676215	0.0	0.038563511220858146	0.0	0.03774381121963915	0.0	0.04149923447981335	0.0	0.03866040872271663	0.0	0.03955050656498508	0.0	0.041074384732620546	0.0	0.038234005701700664
1257	0.0	0.0009175175299492053	0.0	0.0008749229673732266	0.0	0.0008581017252043512	0.0	0.0008640576529291918	0.0	0.0008565718002997392	0.0	0.0008508229347194077	0.0	0.0008848427370302115	0.0	0.0009238397113149979	0.0	0.0009015270261886632	0.0	0.0009121501134541993	0.0	0.0009247212322413	0.0	0.0008696430381230496	0.0	0.000903165295931306	0.0	0.000931888354048466	0.0	0.0008932850804749978	0.0	0.0008804645448233388	0.0	0.0008813587700037757	0.0	0.0009274907887423199	0.0	0.0008984844299951062	0.0	0.0008895905196489246	0.0	0.0008642508030863255	0.0	0.0009293299461482434	0.0	0.000940038546763462	0.0	0.0008804045971785265	0.0	0.0009037613602549932	0.0	0.0009456367021830342	0.0	0.0009107692812410892	0.0	0.0009140484066420702	0.0	0.05506808927665375	0.0	0.05656601300509144	0.0	0.048933930664998314	0.0	0.05110890199693877	0.0	0.04999989673681257	0.0	0.05265796052605389	0.0	0.05226608802409975	0.0	0.053062186986903924	0.0	0.05040473169233467	0.0	0.05071564187742354	0.0	0.0516916222526726	0.0	0.04899376100724205	0.0	0.05028066053510007	0.0	0.05167408281021904	0.0	0.05136842696575888	0.0	0.05049807246621448	0.0	0.0524875352228585	0.0	0.050894808029114176	0.0	0.05023542295944601	0.0	0.0527011579716806	0.0	0.05303029952355896	0.0	0.050428280576000316	0.0	0.05375591545919683	0.0	0.04972761436356548	0.0	0.055502244828181016	0.0	0.050118753405097555	0.0	0.052662422965994674	0.0	0.049949223876199364
1622	0.0	0.0009846883127041463	0.0	0.0010129821619209694	0.0	0.0010123203424236048	0.0	0.0010526526503532845	0.0	0.0009883077119715827	0.0	0.0010557093271252671	0.0	0.0010389299664480902	0.0	0.0010540265299609811	0.0	0.0010419161821464725	0.0	0.001089053607529199	0.0	0.001083431682503198	0.0	0.0010245501188125127	0.0	0.0010917649161170193	0.0	0.0010749503011416683	0.0	0.0010041220527773579	0.0	0.001028274980076965	0.0	0.0010485943587742802	0.0	0.0010207198803496526	0.0	0.0010104296976929062	0.0	0.0010382627804271644	0.0	0.0010473407180998425	0.0	0.0010110596008952235	0.0	0.0010676112203379332	0.0	0.001062684380476278	0.0	0.0010329024483600006	0.0	0.0010409712227760252	0.0	0.00102711504587483	0.0	0.0010189349111924975	0.0	0.059954081639927756	0.0	0.06104923879503704	0.0	0.060612856051656214	0.0	0.059412636738587606	0.0	0.059096450600815385	0.0	0.059065189617276775	0.0	0.05919517129105633	0.0	0.058403317074497064	0.0	0.060184365391013114	0.0	0.05757885977465616	0.0	0.05760604630455831	0.0	0.06348603536381452	0.0	0.06018109976548637	0.0	0.058155141448598735	0.0	0.056892275124879016	0.0	0.06003231008576313	0.0	0.05920324154607495	0.0	0.06020819652677981	0.0	0.060378022603683086	0.0	0.06030715467911039	0.0	0.05948396350934746	0.0	0.059743138568733395	0.0	0.057943307000147756	0.0	0.060990507801802075	0.0	0.0585963147269436	0.0	0.05933437458029734	0.0	0.05885848543147078	0.0	0.05711269187901366
2094	0.0	0.001077026812457545	0.0	0.0011381797886675842	0.0	0.001118130573598126	0.0	0.0011253550087421825	0.0	0.0011483052391503068	0.0	0.0011354947391963698	0.0	0.0010681222371681119	0.0	0.0011532012557853917	0.0	0.0011851886824463924	0.0	0.001152224837606062	0.0	0.0011632522619779582	0.0	0.0011563171311178184	0.0	0.001150525723310305	0.0	0.0011109351183233912	0.0	0.0011157267974924283	0.0	0.0011460404130734022	0.0	0.0011676671712993732	0.0	0.001099584193089333	0.0	0.0011565026832691143	0.0	0.001104430437254081	0.0	0.0011556056984665952	0.0	0.0011330659838857786	0.0	0.0011540864225631153	0.0	0.001149459847784533	0.0	0.0011092113899907215	0.0	0.0011198824573185576	0.0	0.0011088002349970891	0.0	0.0011323507564207488	0.0	0.06692167832560045	0.0	0.06528746058514982	0.0	0.06673450020865632	0.0	0.06414562040359663	0.0	0.0657016302693421	0.0	0.06474998985922921	0.0	0.06550820494608493	0.0	0.06511352300006747	0.0	0.0680722878374005	0.0	0.06767834261993438	0.0	0.06561003394292024	0.0	0.06561112704013235	0.0	0.06531186801894104	0.0	0.06704635447446815	0.0	0.06483575463535174	0.0	0.06617071076205944	0.0	0.06547503926066352	0.0	0.06479737811493315	0.0	0.06501475134060608	0.0	0.06565026566783934	0.0	0.06378143748136393	0.0	0.06315453880104281	0.0	0.06595202955616485	0.0	0.06754290034837454	0.0	0.06568786229104366	0.0	0.06520174915605649	0.0	0.06711866314529996	0.0	0.06382719727364887
2703	0.0	0.0011634386929270462	0.0	0.0011408800411690132	0.0	0.001176703316355702	0.0	0.0011781511051442708	0.0	0.0012055320595216526	0.0	0.0011831142317045044	0.0	0.0011777724544336237	0.0	0.0011869020358421683	0.0	0.0012447237343012195	0.0	0.0012199886403705497	0.0	0.0011913101906575155	0.0	0.00124028158937777	0.0	0.0012303310300194963	0.0	0.0011852015670370407	0.0	0.0011982139129427972	0.0	0.0011924222741787776	0.0	0.0011696901588026712	0.0	0.0011490927182297482	0.0	0.0012022709549651559	0.0	0.0012006812927241684	0.0	0.0011877231300819104	0.0	0.0012099219456649308	0.0	0.0012105395244548982	0.0	0.0012576226899539277	0.0	0.0012040194912564149	0.0	0.0012252048173531712	0.0	0.001194638261354621	0.0	0.0012407494322505342	0.0	0.06858408990493128	0.0	0.06965041140208128	0.0	0.06886873750422869	0.0	0.06888204064346208	0.0	0.06626835789051339	0.0	0.0690830081280095	0.0	0.06921176975444436	0.0	0.06747751097900012	0.0	0.06936213100994064	0.0	0.06917676300738965	0.0	0.06988641944861566	0.0	0.06853626837497108	0.0	0.06813052920657514	0.0	0.06943963577400025	0.0	0.07097369912961604	0.0	0.06753209043509364	0.0	0.07107441745360099	0.0	0.06893264207919604	0.0	0.0715091576516887	0.0	0.06928748301354137	0.0	0.07085326056831408	0.0	0.06867284999636726	0.0	0.06799774533498486	0.0	0.07034729526457353	0.0	0.06846695039908698	0.0	0.07103052995537583	0.0	0.06886024523663188	0.0	0.07127108004022087
3488	0.0	0.0012198369655105287	0.0	0.0012435031216308694	0.0	0.0012458133081057474	0.0	0.0012432039091680187	0.0	0.0012523434803792088	0.0	0.0012579011784933924	0.0	0.0012202698349065286	0.0	0.0012292136171237846	0.0	0.0012638244011781798	0.0	0.001241954757051772	0.0	0.001286792626450653	0.0	0.0012880124017775891	0.0	0.0012727939509031285	0.0	0.0012624759743657017	0.0	0.0012043184848754586	0.0	0.0012393174923414903	0.0	0.0012283215658487258	0.0	0.001242593258006781	0.0	0.0012387525818199723	0.0	0.0012199692171538181	0.0	0.0012455419974177386	0.0	0.001230086247705095	0.0	0.001273350054540784	0.0	0.0013110393524321375	0.0	0.0012942630461854022	0.0	0.0012480232347458387	0.0	0.0012654142804340222	0.0	0.001286513027282661	0.0	0.07301637096237434	0.0	0.07128639118602018	0.0	0.07578812296022612	0.0	0.0719433131640162	0.0	0.0724364521767653	0.0	0.07337540946798145	0.0	0.0712945066638736	0.0	0.07036272222547571	0.0	0.07306242155818332	0.0	0.07424102050292299	0.0	0.07151168382481464	0.0	0.07241817087987362	0.0	0.0754313728581439	0.0	0.07031717413494716	0.0	0.0727148472544742	0.0	0.0721827618792462	0.0	0.07282440738722132	0.0	0.0729607426865852	0.0	0.07283067981269828	0.0	0.07420348833532847	0.0	0.072307019645952	0.0	0.07310232106530265	0.0	0.07281365218422552	0.0	0.07381875763674951	0.0	0.0720250166232667	0.0	0.07234579110257072	0.0	0.07419578064179608	0.0	0.0735220383292995
4502	0.0	0.0012700305111414823	0.0	0.0012462119747641564	0.0	0.0012943870475038588	0.0	0.0013019397020673032	0.0	0.0013072019581225457	0.0	0.001256559322109047	0.0	0.0013031437751150519	0.0	0.0013238954328001129	0.0	0.0013136769172300703	0.0	0.001317003961516459	0.0	0.0012915231118481314	0.0	0.0013143552721932247	0.0	0.0012953508416441435	0.0	0.0013118990643063697	0.0	0.0012764841728321926	0.0	0.0012757017094887154	0.0	0.0012567499550779455	0.0	0.0012643172265340327	0.0	0.001289666796505801	0.0	0.0012671837289946056	0.0	0.001270541305963929	0.0	0.001274951901504298	0.0	0.001307472082976925	0.0	0.00129969848812015	0.0	0.0012701947651383488	0.0	0.0012706609682793344	0.0	0.0013154203513319035	0.0	0.0013120985426667365	0.0	0.07514272228747718	0.0	0.07439009691956225	0.0	0.07505872684565101	0.0	0.07477365631400075	0.0	0.0742963287897543	0.0	0.07448285618550655	0.0	0.07409703257757594	0.0	0.0744041635283758	0.0	0.07320767556969948	0.0	0.07547622283157471	0.0	0.07393984140714928	0.0	0.07435472458829129	0.0	0.0749473503381189	0.0	0.07537265352807292	0.0	0.07470901560438568	0.0	0.07343730266109286	0.0	0.07414411427355445	0.0	0.07324216353342052	0.0	0.0736459222472596	0.0	0.07439534961660596	0.0	0.07435052820396504	0.0	0.07509859462050834	0.0	0.07515953462597565	0.0	0.07494102076389944	0.0	0.07459194228210408	0.0	0.07555706729214398	0.0	0.07429284083247133	0.0	0.0764698035716768
5811	0.0	0.0012883525830330361	0.0	0.001283934505002707	0.0	0.001308583581141863	0.0	0.0013133951184047688	0.0	0.0012965126229012264	0.0	0.001329311071529138	0.0	0.001312971394637889	0.0	0.001334088412800574	0.0	0.0013458994994907845	0.0	0.0013352626903258382	0.0	0.0013414044958671126	0.0	0.0013470109065862245	0.0	0.0013480038353579286	0.0	0.0013408013852795652	0.0	0.0013130099743721678	0.0	0.0013115267576050387	0.0	0.0012781671392888985	0.0	0.0012935488282862335	0.0	0.0013020525241886909	0.0	0.0012878714364366925	0.0	0.0013220615928489323	0.0	0.0012996981916539908	0.0	0.0013105258192884063	0.0	0.0013344061342274738	0.0	0.0013564680048181808	0.0	0.0013201410562662175	0.0	0.0013386618542505588	0.0	0.0013334621224197515	0.0	0.07623252144065373	0.0	0.07593574004086111	0.0	0.07494869737495724	0.0	0.07679873419342133	0.0	0.07661887975293787	0.0	0.077580119168997	0.0	0.07758552375038412	0.0	0.07613040408828166	0.0	0.07568336696419495	0.0	0.07456652779442424	0.0	0.07721966204818749	0.0	0.07534902886960108	0.0	0.07655784462634894	0.0	0.0771547079840513	0.0	0.0752053958236484	0.0	0.07607415985666949	0.0	0.0764196102751089	0.0	0.07611865481120948	0.0	0.07611292710352664	0.0	0.07568606871250075	0.0	0.0759462367130323	0.0	0.07644350865567774	0.0	0.0756231286211007	0.0	0.07720478203207969	0.0	0.07653817374604165	0.0	0.07547672573786535	0.0	0.07563443890379709	0.0	0.07583884580297946
7500	0.0	0.0013271912524105592	0.0	0.0013020151201167882	0.0	0.0013208223623391115	0.0	0.0013603571210177832	0.0	0.001311950321842523	0.0	0.0013208036374934256	0.0	0.0013397567568587425	0.0	0.0013367157705190791	0.0	0.0013727229225135957	0.0	0.001354740626851573	0.0	0.0013543190299409869	0.0	0.0013696446307079814	0.0	0.001356625215727898	0.0	0.001358665869522245	0.0	0.0013164488135744726	0.0	0.001313504256628983	0.0	0.0013214350176572666	0.0	0.0013207857863629104	0.0	0.0013209455401008562	0.0	0.0013405103115708757	0.0	0.001354824107512308	0.0	0.0013223644887628185	0.0	0.0013615360628387023	0.0	0.0013912834776533371	0.0	0.0013410738483841797	0.0	0.0013416071881466897	0.0	0.0013483223911081779	0.0	0.0013709690418245244	0.0	0.07792543051955883	0.0	0.07745894265214795	0.0	0.07650431681663304	0.0	0.07772679941175922	0.0	0.07698968419409895	0.0	0.07729143906786336	0.0	0.07727188509513433	0.0	0.0785504423560175	0.0	0.07716470292225266	0.0	0.07639288124203684	0.0	0.07812975982235193	0.0	0.07779792895332065	0.0	0.0774738488789069	0.0	0.07727098548821695	0.0	0.07743615978166364	0.0	0.0767837784773223	0.0	0.07757559732231281	0.0	0.07820644976422048	0.0	0.07681832827847992	0.0	0.07643949144424136	0.0	0.07756262569276019	0.0	0.07737332872957489	0.0	0.0783140147211693	0.0	0.07752764731898204	0.0	0.07856110080782251	0.0	0.078369165727962	0.0	0.07704827565974331	0.0	0.0769224770857781
